"ple0053","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Hamburg","Urban Area","242","0.879794357766022","0.84128858687865","0.918300128653394","2"
"No","1985","Schleswig-Holstein","Urban Area","151","0.897378044035538","0.851625778669212","0.943130309401865","2"
"No","1985","Hamburg","Rural Area","6","","","","2"
"No","1985","Schleswig-Holstein","Rural Area","159","0.849195143552352","0.797627932767965","0.900762354336739","2"
"No","1985","Lower Saxony","Urban Area","524","0.896965743049635","0.872246294681642","0.921685191417628","2"
"No","1985","Lower Saxony","Rural Area","466","0.878845912250954","0.850986741327856","0.906705083174053","2"
"No","1985","Bremen","Urban Area","108","0.921264545464783","0.872253220332275","0.970275870597291","2"
"No","1985","Bremen","Rural Area","","","","","2"
"No","1985","North Rhine-Westphalia","Urban Area","2552","0.88632239177978","0.874753752726659","0.897891030832901","2"
"No","1985","Baden-Württemberg","Urban Area","1555","0.889804057550643","0.875162333991659","0.904445781109628","2"
"No","1985","North Rhine-Westphalia","Rural Area","65","0.868216100920256","0.790621455102061","0.945810746738451","2"
"No","1985","Baden-Württemberg","Rural Area","259","0.899003262762981","0.864791593501433","0.93321493202453","2"
"No","1985","Bavaria","Urban Area","893","0.875850511812419","0.855534180078647","0.896166843546192","2"
"No","1985","Bavaria","Rural Area","780","0.868928241881839","0.846855492027919","0.89100099173576","2"
"No","1985","Hesse","Urban Area","886","0.906613880780291","0.888424258606595","0.924803502953986","2"
"No","1985","Rhineland-Palatinate,Saarland","Urban Area","558","0.88415508088734","0.859243219377393","0.909066942397287","2"
"No","1985","Hesse","Rural Area","138","0.877915650560435","0.826209271835552","0.929622029285318","2"
"No","1985","Rhineland-Palatinate,Saarland","Rural Area","128","0.905851945017603","0.857477236641987","0.954226653393219","2"
"No","1985","Berlin","Urban Area","332","0.899490840969705","0.868728721727933","0.930252960211478","2"
"No","1985","Berlin","Rural Area","","","","","2"
"No","1985","Brandenburg","Urban Area","","","","","2"
"No","1985","Saxony","Urban Area","","","","","2"
"No","1985","Brandenburg","Rural Area","","","","","2"
"No","1985","Saxony","Rural Area","","","","","2"
"No","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
