"ple0053","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","lower secondary degree","27","","",""
"Yes","1984","Schleswig-Holstein","secondary school degree","9","","",""
"Yes","1984","Schleswig-Holstein","college entrance qualification","1","","",""
"Yes","1984","Schleswig-Holstein","Other degree","1","","",""
"Yes","1984","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Yes","1984","Hamburg","lower secondary degree","19","","",""
"Yes","1984","Hamburg","secondary school degree","4","","",""
"Yes","1984","Hamburg","college entrance qualification","4","","",""
"Yes","1984","Hamburg","Other degree","7","","",""
"Yes","1984","Hamburg","no degree/no degree yet","1","","",""
"Yes","1984","Lower Saxony","lower secondary degree","75","0.115733171987465","0.0917416204903321","0.139724723484597"
"Yes","1984","Lower Saxony","secondary school degree","26","","",""
"Yes","1984","Lower Saxony","college entrance qualification","11","","",""
"Yes","1984","Lower Saxony","Other degree","12","","",""
"Yes","1984","Lower Saxony","no degree/no degree yet","13","","",""
"Yes","1984","Bremen","lower secondary degree","10","","",""
"Yes","1984","Bremen","secondary school degree","3","","",""
"Yes","1984","Bremen","college entrance qualification","","","",""
"Yes","1984","Bremen","Other degree","3","","",""
"Yes","1984","Bremen","no degree/no degree yet","2","","",""
"Yes","1984","North Rhine-Westphalia","lower secondary degree","180","0.117580225457491","0.101712583446737","0.133447867468244"
"Yes","1984","North Rhine-Westphalia","secondary school degree","60","0.130141551517803","0.100228395279193","0.160054707756412"
"Yes","1984","North Rhine-Westphalia","college entrance qualification","30","0.081764457957219","0.0540317813313162","0.109497134583122"
"Yes","1984","North Rhine-Westphalia","Other degree","46","0.114653196502037","0.0825773385542712","0.146729054449802"
"Yes","1984","North Rhine-Westphalia","no degree/no degree yet","47","0.0807238171761599","0.0542260717438968","0.107221562608423"
"Yes","1984","Hesse","lower secondary degree","69","0.13502795065206","0.10636211248087","0.163693788823251"
"Yes","1984","Hesse","secondary school degree","16","","",""
"Yes","1984","Hesse","college entrance qualification","4","","",""
"Yes","1984","Hesse","Other degree","30","0.172854186181494","0.12134390658493","0.224364465778058"
"Yes","1984","Hesse","no degree/no degree yet","24","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","lower secondary degree","63","0.123627083084712","0.0960179319070291","0.151236234262394"
"Yes","1984","Rhineland-Palatinate,Saarland","secondary school degree","13","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","college entrance qualification","2","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","Other degree","7","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","6","","",""
"Yes","1984","Baden-Württemberg","lower secondary degree","121","0.118526218778638","0.0990586362091638","0.137993801348112"
"Yes","1984","Baden-Württemberg","secondary school degree","34","0.105394696904257","0.0701753110125963","0.140614082795918"
"Yes","1984","Baden-Württemberg","college entrance qualification","19","","",""
"Yes","1984","Baden-Württemberg","Other degree","47","0.124628707231888","0.0902698184532286","0.158987596010547"
"Yes","1984","Baden-Württemberg","no degree/no degree yet","43","0.0919359231529616","0.0614029048528775","0.122468941453046"
"Yes","1984","Bavaria","lower secondary degree","141","0.128954902038533","0.109247457638163","0.148662346438904"
"Yes","1984","Bavaria","secondary school degree","30","0.0820180603939478","0.0544295591108222","0.109606561677073"
"Yes","1984","Bavaria","college entrance qualification","25","","",""
"Yes","1984","Bavaria","Other degree","23","","",""
"Yes","1984","Bavaria","no degree/no degree yet","13","","",""
"Yes","1984","Berlin","lower secondary degree","24","","",""
"Yes","1984","Berlin","secondary school degree","6","","",""
"Yes","1984","Berlin","college entrance qualification","4","","",""
"Yes","1984","Berlin","Other degree","3","","",""
"Yes","1984","Berlin","no degree/no degree yet","4","","",""
"Yes","1984","Brandenburg","lower secondary degree","","","",""
"Yes","1984","Brandenburg","secondary school degree","","","",""
"Yes","1984","Brandenburg","college entrance qualification","","","",""
"Yes","1984","Brandenburg","Other degree","","","",""
"Yes","1984","Brandenburg","no degree/no degree yet","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","1984","Saxony","lower secondary degree","","","",""
"Yes","1984","Saxony","secondary school degree","","","",""
"Yes","1984","Saxony","college entrance qualification","","","",""
"Yes","1984","Saxony","Other degree","","","",""
"Yes","1984","Saxony","no degree/no degree yet","","","",""
"Yes","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Yes","1984","Saxony-Anhalt","secondary school degree","","","",""
"Yes","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Yes","1984","Saxony-Anhalt","Other degree","","","",""
"Yes","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","1984","Thuringia","lower secondary degree","","","",""
"Yes","1984","Thuringia","secondary school degree","","","",""
