"ple0053","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","1-pers.-HH","Urban Area","111","0.121354939324635","0.101095926232761","0.141613952416508"
"Yes","1985","1-pers.-HH","Rural Area","28","","",""
"Yes","1985","(Married) couple without C. ","Urban Area","212","0.112612538563074","0.0985238725301617","0.126701204595985"
"Yes","1985","(Married) couple without C. ","Rural Area","52","0.106608440502925","0.0795305681911816","0.133686312814669"
"Yes","1985","Single parent ","Urban Area","41","0.0920926334226598","0.064730329600545","0.119454937244775"
"Yes","1985","Single parent ","Rural Area","8","","",""
"Yes","1985","Couple + C. LE 16 ","Urban Area","293","0.135404120891206","0.120880429492228","0.149927812290185"
"Yes","1985","Couple + C. LE 16 ","Rural Area","85","0.158359053135934","0.127764838853586","0.188953267418282"
"Yes","1985","Couple + C. GT 16 ","Urban Area","154","0.0877855154033818","0.0740939308085309","0.101477099998233"
"Yes","1985","Couple + C. GT 16 ","Rural Area","38","0.0999401227531146","0.0699813949825793","0.12989885052365"
"Yes","1985","Couple + C. LE and GT 16","Urban Area","118","0.0852586324751377","0.0691670130550548","0.101350251895221"
"Yes","1985","Couple + C. LE and GT 16","Rural Area","29","","",""
"No","1985","1-pers.-HH","Urban Area","887","0.878645060675365","0.858386047583492","0.898904073767239"
"No","1985","1-pers.-HH","Rural Area","150","0.839020598942902","0.785031067900035","0.893010129985769"
"No","1985","(Married) couple without C. ","Urban Area","1722","0.887387461436926","0.873298795404014","0.901476127469838"
"No","1985","(Married) couple without C. ","Rural Area","447","0.893391559497075","0.866313687185331","0.920469431808818"
"No","1985","Single parent ","Urban Area","388","0.90790736657734","0.880545062755225","0.935269670399455"
"No","1985","Single parent ","Rural Area","107","0.929901825319342","0.883238995177611","0.976564655461073"
"No","1985","Couple + C. LE 16 ","Urban Area","1839","0.864595879108794","0.850072187709815","0.879119570507773"
"No","1985","Couple + C. LE 16 ","Rural Area","462","0.841640946864066","0.811046732581718","0.872235161146414"
"No","1985","Couple + C. GT 16 ","Urban Area","1487","0.912214484596618","0.898522900001767","0.925906069191469"
"No","1985","Couple + C. GT 16 ","Rural Area","347","0.900059877246885","0.87010114947635","0.930018605017421"
"No","1985","Couple + C. LE and GT 16","Urban Area","1039","0.914741367524862","0.898649748104779","0.930832986944945"
"No","1985","Couple + C. LE and GT 16","Rural Area","303","0.915814961139336","0.88594735782985","0.945682564448821"
"Yes","1986","1-pers.-HH","Urban Area","120","0.138113503805518","0.116185406876771","0.160041600734266"
"Yes","1986","1-pers.-HH","Rural Area","19","","",""
"Yes","1986","(Married) couple without C. ","Urban Area","258","0.138891214163807","0.123498132129157","0.154284296198456"
"Yes","1986","(Married) couple without C. ","Rural Area","57","0.129380750522875","0.0980567110948252","0.160704789950925"
"Yes","1986","Single parent ","Urban Area","46","0.109975336589521","0.0790438718293595","0.140906801349683"
"Yes","1986","Single parent ","Rural Area","14","","",""
"Yes","1986","Couple + C. LE 16 ","Urban Area","270","0.133243135762466","0.118018455116732","0.148467816408201"
"Yes","1986","Couple + C. LE 16 ","Rural Area","58","0.119837921180277","0.0911404254669295","0.148535416893624"
"Yes","1986","Couple + C. GT 16 ","Urban Area","168","0.0946385315357627","0.080637251462662","0.108639811608863"
"Yes","1986","Couple + C. GT 16 ","Rural Area","45","0.0967758035880242","0.0686343622301169","0.124917244945931"
"Yes","1986","Couple + C. LE and GT 16","Urban Area","101","0.0932299557273815","0.075905452834329","0.110554458620434"
"Yes","1986","Couple + C. LE and GT 16","Rural Area","39","0.117316178104107","0.0818919825713932","0.152740373636821"
"No","1986","1-pers.-HH","Urban Area","831","0.861886496194482","0.839958399265734","0.883814593123229"
"No","1986","1-pers.-HH","Rural Area","148","0.876508883931168","0.826610569610521","0.926407198251816"
"No","1986","(Married) couple without C. ","Urban Area","1681","0.861108785836194","0.845715703801544","0.876501867870843"
"No","1986","(Married) couple without C. ","Rural Area","384","0.870619249477125","0.839295210049075","0.901943288905175"
"No","1986","Single parent ","Urban Area","347","0.890024663410479","0.859093198650317","0.920956128170641"
"No","1986","Single parent ","Rural Area","103","0.872123060565687","0.811611247995861","0.932634873135513"
"No","1986","Couple + C. LE 16 ","Urban Area","1644","0.866756864237534","0.851532183591799","0.881981544883268"
"No","1986","Couple + C. LE 16 ","Rural Area","434","0.880162078819723","0.851464583106376","0.908859574533071"
"No","1986","Couple + C. GT 16 ","Urban Area","1511","0.905361468464237","0.891360188391137","0.919362748537338"
"No","1986","Couple + C. GT 16 ","Rural Area","379","0.903224196411976","0.875082755054069","0.931365637769883"
"No","1986","Couple + C. LE and GT 16","Urban Area","981","0.906770044272618","0.889445541379566","0.924094547165671"
