"ple0053","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Part Time","indirect migration background","16","","","","2"
"No","1984","Not Working","indirect migration background","58","1","1","1","2"
"No","1984","Full Time","no migration background","3340","0.904789165528772","0.895320408993847","0.914257922063697","2"
"No","1984","Part Time","no migration background","1206","0.877506969817439","0.860209223475392","0.894804716159486","2"
"No","1984","Part Time","direct migration background","428","0.877449638406539","0.848385191711548","0.90651408510153","2"
"No","1984","Not Working","direct migration background","851","0.852136240881316","0.830102618536773","0.874169863225859","2"
"No","1984","Full Time","indirect migration background","48","0.986627324072901","0.955407377993695","1.01784727015211","2"
"No","1984","Not Working","no migration background","3163","0.875344698914476","0.864551195319114","0.886138202509838","2"
"No","1984","Full Time","direct migration background","1723","0.897994680095634","0.884467516513721","0.911521843677548","2"
"Yes","1984","Full Time","no migration background","351","0.0952108344712275","0.0857420779363025","0.104679591006153","1"
"Yes","1984","Full Time","direct migration background","200","0.102005319904366","0.0884781563224524","0.115532483486279","1"
"Yes","1984","Full Time","indirect migration background","4","","","","1"
"Yes","1984","Part Time","no migration background","174","0.122493030182561","0.105195283840515","0.139790776524608","1"
"Yes","1984","Part Time","direct migration background","61","0.122550361593461","0.0934859148984699","0.151614808288452","1"
"Yes","1984","Part Time","indirect migration background","2","","","","1"
"Yes","1984","Not Working","no migration background","435","0.124655301085524","0.113861797490163","0.135448804680886","1"
"Yes","1984","Not Working","direct migration background","146","0.147863759118684","0.125830136774141","0.169897381463227","1"
"Yes","1984","Not Working","indirect migration background","","","","","1"
"No","1985","Part Time","indirect migration background","19","","","","2"
"No","1985","Not Working","indirect migration background","63","0.918964244572414","0.855931024708821","0.981997464436007","2"
"No","1985","Full Time","no migration background","3068","0.918360570008701","0.909075900498023","0.927645239519379","2"
"No","1985","Full Time","indirect migration background","44","0.811965933176367","0.704727569956949","0.919204296395785","2"
"No","1985","Part Time","no migration background","1205","0.883434192580966","0.8665093771232","0.900359008038731","2"
"No","1985","Part Time","direct migration background","403","0.870681767941612","0.84008421409265","0.901279321790574","2"
"No","1985","Not Working","direct migration background","766","0.868923681432198","0.84675162261137","0.891095740253027","2"
"No","1985","Not Working","no migration background","2803","0.856737789092205","0.844709726013896","0.868765852170513","2"
"No","1985","Full Time","direct migration background","1431","0.925269099725138","0.912339940650102","0.938198258800173","2"
"Yes","1985","Full Time","no migration background","273","0.0816394299912993","0.0723547604806212","0.0909240995019774","1"
"Yes","1985","Full Time","direct migration background","158","0.0747309002748621","0.0618017411998266","0.0876600593498975","1"
"Yes","1985","Full Time","indirect migration background","7","","","","1"
"Yes","1985","Part Time","no migration background","176","0.116565807419034","0.0996409919612687","0.1334906228768","1"
"Yes","1985","Part Time","direct migration background","59","0.129318232058388","0.0987206782094264","0.15991578590735","1"
"Yes","1985","Part Time","indirect migration background","2","","","","1"
"Yes","1985","Not Working","no migration background","456","0.143262210907795","0.131234147829487","0.155290273986104","1"
"Yes","1985","Not Working","direct migration background","124","0.131076318567802","0.108904259746973","0.15324837738863","1"
"Yes","1985","Not Working","indirect migration background","9","","","","1"
"No","1986","Full Time","indirect migration background","52","0.801647413824814","0.69720793183738","0.906086895812247","2"
"No","1986","Full Time","no migration background","2988","0.915928285142093","0.906408465852907","0.925448104431278","2"
"No","1986","Part Time","direct migration background","389","0.856912796574684","0.824878849017201","0.888946744132167","2"
"No","1986","Part Time","indirect migration background","30","0.846146154943315","0.728284180962315","0.964008128924315","2"
"No","1986","Not Working","no migration background","2571","0.846958859453862","0.834094971413402","0.859822747494323","2"
"No","1986","Not Working","direct migration background","704","0.82969478675085","0.804483656999939","0.85490591650176","2"
"No","1986","Not Working","indirect migration background","55","0.706689718420513","0.595148307460742","0.818231129380285","2"
"No","1986","Part Time","no migration background","1156","0.864486263705457","0.846126031631651","0.882846495779263","2"
"No","1986","Full Time","direct migration background","1370","0.903363611878899","0.888592513235876","0.918134710521921","2"
"Yes","1986","Full Time","no migration background","276","0.0840717148579074","0.0745518955687217","0.093591534147093","1"
"Yes","1986","Full Time","direct migration background","167","0.0966363881211014","0.0818652894780789","0.111407486764124","1"
"Yes","1986","Full Time","indirect migration background","4","","","","1"
"Yes","1986","Part Time","no migration background","179","0.135513736294543","0.117153504220737","0.153873968368349","1"
"Yes","1986","Part Time","direct migration background","70","0.143087203425316","0.111053255867832","0.175121150982799","1"
"Yes","1986","Part Time","indirect migration background","6","","","","1"
"Yes","1986","Not Working","no migration background","438","0.153041140546138","0.140177252505677","0.165905028586598","1"
"Yes","1986","Not Working","direct migration background","150","0.17030521324915","0.14509408349824","0.195516343000061","1"
"Yes","1986","Not Working","indirect migration background","9","","","","1"
"No","1987","Full Time","no migration background","2988","0.911543405294291","0.901822708401469","0.921264102187113","2"
"No","1987","Full Time","indirect migration background","62","0.862648756060235","0.779604533831436","0.945692978289035","2"
"No","1987","Part Time","indirect migration background","29","","","","2"
"No","1987","Part Time","direct migration background","380","0.869285184274995","0.837930664585199","0.900639703964791","2"
"No","1987","Not Working","direct migration background","736","0.865469888123828","0.842611429526099","0.888328346721558","2"
"No","1987","Not Working","indirect migration background","69","0.891769085677814","0.82145872440814","0.962079446947488","2"
"No","1987","Part Time","no migration background","1149","0.866123481945361","0.84784352674279","0.884403437147932","2"
"No","1987","Not Working","no migration background","2424","0.839991946849729","0.826539363641955","0.853444530057504","2"
"No","1987","Full Time","direct migration background","1400","0.899763860310219","0.884764795915791","0.914762924704646","2"
"Yes","1987","Full Time","no migration background","290","0.088456594705709","0.0787358978128867","0.0981772915985313","1"
"Yes","1987","Full Time","direct migration background","140","0.100236139689781","0.0852370752953538","0.115235204084209","1"
"Yes","1987","Full Time","indirect migration background","4","","","","1"
"Yes","1987","Part Time","no migration background","184","0.133876518054639","0.115596562852068","0.15215647325721","1"
"Yes","1987","Part Time","direct migration background","64","0.130714815725005","0.0993602960352095","0.162069335414801","1"
"Yes","1987","Part Time","indirect migration background","6","","","","1"
"Yes","1987","Not Working","no migration background","429","0.160008053150271","0.146555469942496","0.173460636358045","1"
"Yes","1987","Not Working","direct migration background","120","0.134530111876172","0.111671653278442","0.157388570473901","1"
"Yes","1987","Not Working","indirect migration background","6","","","","1"
"No","1988","Full Time","no migration background","2831","0.912317317137801","0.902385037472331","0.92224959680327","2"
"No","1988","Part Time","no migration background","1134","0.859678762130269","0.84095633426426","0.878401189996279","2"
"No","1988","Part Time","indirect migration background","47","0.875795193850549","0.785277499652693","0.966312888048405","2"
"No","1988","Part Time","direct migration background","410","0.87115859486025","0.840870252809044","0.901446936911457","2"
"No","1988","Not Working","no migration background","2234","0.837686301518981","0.823639112898304","0.851733490139657","2"
"No","1988","Full Time","indirect migration background","68","0.92012509079909","0.858357472355741","0.98189270924244","2"
"No","1988","Not Working","direct migration background","690","0.868610660924842","0.845331545594656","0.891889776255028","2"
"No","1988","Not Working","indirect migration background","89","0.887955509424865","0.825822648681778","0.950088370167952","2"
"No","1988","Full Time","direct migration background","1278","0.909239463237705","0.894202444167989","0.924276482307422","2"
"Yes","1988","Full Time","no migration background","284","0.0876826828621995","0.07775040319673","0.097614962527669","1"
"Yes","1988","Full Time","direct migration background","124","0.0907605367622949","0.0757235176925785","0.105797555832011","1"
"Yes","1988","Full Time","indirect migration background","6","","","","1"
"Yes","1988","Part Time","no migration background","188","0.140321237869731","0.121598810003721","0.15904366573574","1"
"Yes","1988","Part Time","direct migration background","60","0.12884140513975","0.0985530630885432","0.159129747190956","1"
"Yes","1988","Part Time","indirect migration background","4","","","","1"
"Yes","1988","Not Working","no migration background","413","0.162313698481019","0.148266509860343","0.176360887101696","1"
"Yes","1988","Not Working","direct migration background","119","0.131389339075158","0.108110223744972","0.154668454405344","1"
"Yes","1988","Not Working","indirect migration background","10","","","","1"
"No","1989","Part Time","indirect migration background","48","0.949604505054855","0.89125751571563","1.00795149439408","2"
"No","1989","Full Time","no migration background","2820","0.919796182215013","0.910199355235094","0.929393009194932","2"
"No","1989","Part Time","no migration background","1042","0.847021401416672","0.826969742915888","0.867073059917456","2"
"No","1989","Part Time","direct migration background","353","0.815733913531052","0.778611342688221","0.852856484373883","2"
"No","1989","Not Working","no migration background","2128","0.837964182546488","0.823548690514247","0.852379674578729","2"
"No","1989","Full Time","indirect migration background","94","0.986116266785788","0.962831096664215","1.00940143690736","2"
"No","1989","Not Working","direct migration background","697","0.891979641862537","0.870510207827056","0.913449075898018","2"
"No","1989","Not Working","indirect migration background","95","0.854063343482063","0.787786459888979","0.920340227075146","2"
"No","1989","Full Time","direct migration background","1249","0.91990893178909","0.905535771518082","0.934282092060097","2"
"Yes","1989","Full Time","no migration background","257","0.0802038177849871","0.0706069908050677","0.0898006447649064","1"
"Yes","1989","Full Time","direct migration background","121","0.0800910682109102","0.0657179079399028","0.0944642284819177","1"
"Yes","1989","Full Time","indirect migration background","3","","","","1"
