"ple0053","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","16-34 y.","lower secondary degree","200","0.112819187697259","0.0983635673404933","0.127274808054024"
"Yes","1984","16-34 y.","secondary school degree","107","0.103163706435141","0.0844878272813894","0.121839585588893"
"Yes","1984","16-34 y.","college entrance qualification","42","0.0623646259530751","0.0440405879054676","0.0806886640006826"
"Yes","1984","16-34 y.","Other degree","72","0.140008310161576","0.110183996822082","0.169832623501069"
"Yes","1984","16-34 y.","no degree/no degree yet","42","0.0658171804999457","0.0444842761063083","0.0871500848935831"
"Yes","1984","35-65 y.","lower secondary degree","375","0.115267557779024","0.10438350809124","0.126151607466808"
"Yes","1984","35-65 y.","secondary school degree","67","0.0875700272657866","0.0673669890774143","0.107773065454159"
"Yes","1984","35-65 y.","college entrance qualification","46","0.0879217860436613","0.0637215550748991","0.112122017012424"
"Yes","1984","35-65 y.","Other degree","106","0.124338947364814","0.103040191253171","0.145637703476456"
"Yes","1984","35-65 y.","no degree/no degree yet","112","0.139200570621585","0.11468707764192","0.16371406360125"
"Yes","1984","66 and older","lower secondary degree","154","0.156904872698674","0.134039859119813","0.179769886277534"
"Yes","1984","66 and older","secondary school degree","27","","",""
"Yes","1984","66 and older","college entrance qualification","12","","",""
"Yes","1984","66 and older","Other degree","1","","",""
"Yes","1984","66 and older","no degree/no degree yet","","","",""
"No","1984","16-34 y.","lower secondary degree","1640","0.887180812302741","0.872725191945976","0.901636432659507"
"No","1984","16-34 y.","secondary school degree","912","0.896836293564859","0.878160414411107","0.915512172718611"
"No","1984","16-34 y.","college entrance qualification","627","0.937635374046925","0.919311335999317","0.955959412094532"
"No","1984","16-34 y.","Other degree","448","0.859991689838424","0.830167376498931","0.889816003177918"
"No","1984","16-34 y.","no degree/no degree yet","477","0.934182819500054","0.912849915106417","0.955515723893692"
"No","1984","35-65 y.","lower secondary degree","2932","0.884732442220976","0.873848392533192","0.895616491908759"
"No","1984","35-65 y.","secondary school degree","685","0.912429972734213","0.892226934545841","0.932633010922586"
"No","1984","35-65 y.","college entrance qualification","480","0.912078213956339","0.887877982987576","0.936278444925101"
"No","1984","35-65 y.","Other degree","816","0.875661052635186","0.854362296523544","0.896959808746829"
"No","1984","35-65 y.","no degree/no degree yet","654","0.860799429378415","0.83628593639875","0.88531292235808"
"No","1984","66 and older","lower secondary degree","818","0.843095127301326","0.820230113722466","0.865960140880187"
"No","1984","66 and older","secondary school degree","155","0.855169826000495","0.804040730769831","0.906298921231159"
"No","1984","66 and older","college entrance qualification","85","0.880343708250789","0.815755070328199","0.944932346173378"
"No","1984","66 and older","Other degree","6","","",""
"No","1984","66 and older","no degree/no degree yet","18","","",""
"Yes","1985","16-34 y.","lower secondary degree","184","0.107749039591655","0.0926966827736295","0.12280139640968"
"Yes","1985","16-34 y.","secondary school degree","113","0.108073647357264","0.0886452047171802","0.127502089997348"
"Yes","1985","16-34 y.","college entrance qualification","64","0.0919841891061205","0.0696634559868355","0.114304922225405"
"Yes","1985","16-34 y.","Other degree","46","0.117935891336574","0.0864461828460214","0.149425599827126"
"Yes","1985","16-34 y.","no degree/no degree yet","55","0.105224556089599","0.0763564158880304","0.134092696291168"
"Yes","1985","35-65 y.","lower secondary degree","321","0.10534403826631","0.0943876999579365","0.116300376574683"
"Yes","1985","35-65 y.","secondary school degree","63","0.0907066032946439","0.0698733002290055","0.111539906360282"
"Yes","1985","35-65 y.","college entrance qualification","48","0.093142038365105","0.0677183394580249","0.118565737272185"
"Yes","1985","35-65 y.","Other degree","107","0.142739030842108","0.118737943966968","0.166740117717248"
"Yes","1985","35-65 y.","no degree/no degree yet","75","0.119483448186633","0.0945481797146618","0.144418716658603"
"Yes","1985","66 and older","lower secondary degree","129","0.158501407714081","0.133640665832149","0.183362149596012"
"Yes","1985","66 and older","secondary school degree","29","","",""
"Yes","1985","66 and older","college entrance qualification","13","","",""
"Yes","1985","66 and older","Other degree","1","","",""
"Yes","1985","66 and older","no degree/no degree yet","2","","",""
"No","1985","16-34 y.","lower secondary degree","1446","0.892250960408345","0.87719860359032","0.90730331722637"
"No","1985","16-34 y.","secondary school degree","868","0.891926352642736","0.872497910002651","0.91135479528282"
"No","1985","16-34 y.","college entrance qualification","580","0.90801581089388","0.885695077774595","0.930336544013164"
"No","1985","16-34 y.","Other degree","357","0.882064108663426","0.850574400172874","0.913553817153979"
"No","1985","16-34 y.","no degree/no degree yet","379","0.894775443910401","0.865907303708832","0.92364358411197"
"No","1985","35-65 y.","lower secondary degree","2695","0.89465596173369","0.883699623425317","0.905612300042064"
"No","1985","35-65 y.","secondary school degree","667","0.909293396705356","0.888460093639718","0.930126699770994"
"No","1985","35-65 y.","college entrance qualification","454","0.906857961634895","0.881434262727815","0.932281660541975"
"No","1985","35-65 y.","Other degree","709","0.857260969157892","0.833259882282752","0.881262056033032"
"No","1985","35-65 y.","no degree/no degree yet","575","0.880516551813367","0.855581283341397","0.905451820285338"
"No","1985","66 and older","lower secondary degree","700","0.841498592285919","0.816637850403988","0.866359334167851"
"No","1985","66 and older","secondary school degree","142","0.816602142836769","0.758598880335999","0.87460540533754"
"No","1985","66 and older","college entrance qualification","74","0.864564097141142","0.7926599455041","0.936468248778184"
"No","1985","66 and older","Other degree","6","","",""
"No","1985","66 and older","no degree/no degree yet","15","","",""
"Yes","1986","16-34 y.","lower secondary degree","178","0.10679292409761","0.0916358608168007","0.121949987378419"
"Yes","1986","16-34 y.","secondary school degree","118","0.125922129319511","0.105000976111734","0.146843282527288"
"Yes","1986","16-34 y.","college entrance qualification","63","0.0907666815989867","0.0691268111412174","0.112406552056756"
"Yes","1986","16-34 y.","Other degree","53","0.148558650350702","0.11135197419963","0.185765326501774"
"Yes","1986","16-34 y.","no degree/no degree yet","55","0.110166272944204","0.0800429552233016","0.140289590665106"
"Yes","1986","35-65 y.","lower secondary degree","326","0.115881521049625","0.104067823055996","0.127695219043254"
"Yes","1986","35-65 y.","secondary school degree","71","0.10850416340737","0.0855460396012127","0.131462287213528"
"Yes","1986","35-65 y.","college entrance qualification","39","0.0800561191967731","0.0560764341990185","0.104035804194528"
