"ple0053","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1994","Not Employed","Rural Area","1272","0.816609633478962","0.797077803778886","0.836141463179038","2"
"No","1994","Employed","Urban Area","5000","0.900973537255255","0.893103801241707","0.908843273268802","2"
"No","1994","Employed","Rural Area","2542","0.904840642801889","0.893971860876954","0.915709424726824","2"
"Yes","1994","Not Employed","Urban Area","482","0.18523076791372","0.171470738201455","0.198990797625984","1"
"Yes","1994","Not Employed","Rural Area","236","0.183390366521038","0.163858536820962","0.202922196221114","1"
"Yes","1994","Employed","Rural Area","258","0.0951593571981111","0.0842905752731761","0.106028139123046","1"
"Yes","1994","Employed","Urban Area","534","0.0990264627447452","0.0911567267311977","0.106896198758293","1"
"No","1995","Not Employed","Rural Area","1304","0.827909931979395","0.809256739179133","0.846563124779657","2"
"No","1995","Employed","Urban Area","5066","0.904969668214442","0.897291684933226","0.912647651495657","2"
"No","1995","Employed","Rural Area","2595","0.895788965300779","0.884638058881368","0.906939871720189","2"
"No","1995","Not Employed","Urban Area","2755","0.832258146866455","0.819392686484538","0.845123607248372","2"
"Yes","1995","Employed","Rural Area","289","0.104211034699221","0.0930601282798111","0.115361941118632","1"
"Yes","1995","Not Employed","Urban Area","485","0.167741853133545","0.154876392751628","0.180607313515462","1"
"Yes","1995","Not Employed","Rural Area","269","0.172090068020605","0.153436875220343","0.190743260820867","1"
"Yes","1995","Employed","Urban Area","538","0.0950303317855583","0.0873523485043428","0.102708315066774","1"
"No","1996","Not Employed","Rural Area","1270","0.80125001226946","0.781299744131512","0.821200280407408","2"
"No","1996","Employed","Urban Area","5002","0.907688403212849","0.900066038345003","0.915310768080695","2"
"No","1996","Employed","Rural Area","2585","0.901938098968586","0.891086001078356","0.912790196858815","2"
"No","1996","Not Employed","Urban Area","2619","0.830886587040523","0.817729191314156","0.84404398276689","2"
"Yes","1996","Employed","Rural Area","300","0.098061901031414","0.0872098031411844","0.108913998921644","1"
"Yes","1996","Not Employed","Urban Area","499","0.169113412959477","0.15595601723311","0.182270808685844","1"
"Yes","1996","Not Employed","Rural Area","267","0.19874998773054","0.178799719592593","0.218700255868488","1"
"Yes","1996","Employed","Urban Area","538","0.092311596787151","0.0846892319193054","0.0999339616549967","1"
"No","1997","Not Employed","Rural Area","1315","0.827992048122443","0.809324571758345","0.846659524486542","2"
"No","1997","Not Employed","Urban Area","2634","0.820833060413221","0.80745368155991","0.834212439266532","2"
"No","1997","Employed","Urban Area","4848","0.906524807761442","0.898727459396434","0.91432215612645","2"
"No","1997","Employed","Rural Area","2504","0.905127238322501","0.894238059827347","0.916016416817656","2"
"Yes","1997","Not Employed","Urban Area","522","0.179166939586779","0.165787560733468","0.19254631844009","1"
"Yes","1997","Not Employed","Rural Area","255","0.172007951877557","0.153340475513458","0.190675428241655","1"
"Yes","1997","Employed","Urban Area","506","0.0934751922385583","0.0856778438735502","0.101272540603566","1"
"Yes","1997","Employed","Rural Area","278","0.0948727616774986","0.0839835831823445","0.105761940172653","1"
"No","1998","Not Employed","Rural Area","1486","0.820624797090497","0.802978902133048","0.838270692047945","2"
"No","1998","Employed","Rural Area","2757","0.900457680103367","0.889855135090577","0.911060225116157","2"
"No","1998","Not Employed","Urban Area","3033","0.831801710953916","0.81960184557709","0.844001576330742","2"
"No","1998","Employed","Urban Area","5282","0.90564830073978","0.898136341712242","0.913160259767318","2"
"Yes","1998","Not Employed","Urban Area","578","0.168198289046084","0.155998423669258","0.180398154422909","1"
"Yes","1998","Not Employed","Rural Area","330","0.179375202909503","0.161729307952055","0.197021097866952","1"
"Yes","1998","Employed","Urban Area","535","0.0943516992602201","0.0868397402326825","0.101863658287758","1"
"Yes","1998","Employed","Rural Area","306","0.0995423198966331","0.0889397748838432","0.110144864909423","1"
"No","1999","Not Employed","Rural Area","1380","0.80324089011221","0.78428153350954","0.82220024671488","2"
"No","1999","Employed","Rural Area","2751","0.91046658980221","0.900312283371918","0.920620896232501","2"
"No","1999","Not Employed","Urban Area","2719","0.816228069713354","0.802951496882631","0.829504642544078","2"
"No","1999","Employed","Urban Area","5208","0.901738152740075","0.894046253461306","0.909430052018845","2"
"Yes","1999","Not Employed","Urban Area","550","0.183771930286646","0.170495357455923","0.197048503117369","1"
"Yes","1999","Not Employed","Rural Area","309","0.19675910988779","0.17779975328512","0.21571846649046","1"
"Yes","1999","Employed","Urban Area","545","0.0982618472599247","0.0905699479811553","0.105953746538694","1"
"Yes","1999","Employed","Rural Area","286","0.0895334101977902","0.0793791037674988","0.0996877166280817","1"
"No","2000","Not Employed","Rural Area","2550","0.822561002817972","0.809038078704036","0.836083926931907","2"
"No","2000","Employed","Rural Area","4700","0.899473097504659","0.891321230593171","0.907624964416146","2"
"No","2000","Not Employed","Urban Area","5045","0.84179365291266","0.832545826661442","0.851041479163879","2"
"No","2000","Employed","Urban Area","9038","0.91041352067443","0.904798092407799","0.91602894894106","2"
"Yes","2000","Not Employed","Rural Area","516","0.177438997182028","0.163916073068092","0.190961921295964","1"
"Yes","2000","Employed","Urban Area","898","0.0895864793255703","0.0839710510589399","0.0952019075922007","1"
"Yes","2000","Employed","Rural Area","527","0.100526902495341","0.0923750355838538","0.108678769406829","1"
"Yes","2000","Not Employed","Urban Area","937","0.15820634708734","0.148958520836121","0.167454173338558","1"
"No","2001","Not Employed","Rural Area","2313","0.817035604582874","0.802706942471555","0.831364266694194","2"
"No","2001","Employed","Rural Area","4241","0.896412432461882","0.887716364884672","0.905108500039091","2"
"No","2001","Not Employed","Urban Area","4446","0.834295875710596","0.82429618315601","0.844295568265182","2"
"No","2001","Employed","Urban Area","8351","0.909923808204318","0.904063848530055","0.915783767878581","2"
"Yes","2001","Not Employed","Rural Area","484","0.182964395417125","0.168635733305805","0.197293057528445","1"
"Yes","2001","Employed","Urban Area","818","0.0900761917956821","0.0842162321214187","0.0959361514699455","1"
"Yes","2001","Employed","Rural Area","476","0.103587567538118","0.0948914999609085","0.112283635115328","1"
"Yes","2001","Not Employed","Urban Area","865","0.165704124289404","0.155704431734818","0.17570381684399","1"
"No","2002","Not Employed","Urban Area","4599","0.832316146232241","0.822415940697108","0.842216351767374","2"
"No","2002","Not Employed","Rural Area","2318","0.808623791345597","0.794099504164307","0.823148078526888","2"
"No","2002","Employed","Rural Area","4389","0.905223169626911","0.896971262506097","0.913475076747724","2"
"No","2002","Employed","Urban Area","9079","0.908622499288262","0.90296986759427","0.914275130982255","2"
"Yes","2002","Not Employed","Rural Area","500","0.191376208654403","0.176851921473112","0.205900495835693","1"
"Yes","2002","Not Employed","Urban Area","871","0.167683853767759","0.157783648232626","0.177584059302892","1"
"Yes","2002","Employed","Urban Area","903","0.0913775007117377","0.085724869017745","0.0970301324057303","1"
"Yes","2002","Employed","Rural Area","451","0.0947768303730891","0.0865249232522756","0.103028737493903","1"
"No","2003","Employed","Rural Area","4140","0.906795278651753","0.898373888692583","0.915216668610922","2"
"No","2003","Not Employed","Urban Area","4572","0.836854760969395","0.827018713063657","0.846690808875133","2"
"No","2003","Not Employed","Rural Area","2296","0.816592317778951","0.802143913314503","0.831040722243398","2"
"No","2003","Employed","Urban Area","8564","0.904719299915118","0.89880284008691","0.910635759743326","2"
"Yes","2003","Not Employed","Rural Area","460","0.183407682221049","0.168959277756602","0.197856086685497","1"
"Yes","2003","Employed","Rural Area","438","0.0932047213482475","0.0847833313890781","0.101626111307417","1"
"Yes","2003","Not Employed","Urban Area","849","0.163145239030605","0.153309191124867","0.172981286936343","1"
"Yes","2003","Employed","Urban Area","896","0.0952807000848821","0.0893642402566736","0.101197159913091","1"
"No","2004","Employed","Rural Area","4020","0.911352323347763","0.902977642123891","0.919727004571636","2"
"No","2004","Not Employed","Urban Area","4546","0.821259177874395","0.811077002915438","0.831441352833352","2"
"No","2004","Not Employed","Rural Area","2263","0.805729780846588","0.790953540516457","0.820506021176719","2"
"No","2004","Employed","Urban Area","8236","0.909790405674071","0.903888437683428","0.915692373664715","2"
"Yes","2004","Not Employed","Rural Area","491","0.194270219153412","0.179493978823281","0.209046459483543","1"
"Yes","2004","Employed","Rural Area","405","0.0886476766522367","0.0802729954283639","0.0970223578761094","1"
"Yes","2004","Not Employed","Urban Area","893","0.178740822125605","0.168558647166648","0.188922997084562","1"
"Yes","2004","Employed","Urban Area","815","0.0902095943259286","0.084307626335285","0.0961115623165722","1"
"No","2005","Not Employed","Urban Area","4469","0.840357328991007","0.83043539720875","0.850279260773265","2"
"No","2005","Not Employed","Rural Area","2238","0.833225274107004","0.819069705598097","0.847380842615911","2"
"No","2005","Employed","Urban Area","7939","0.914969402296576","0.909093082043661","0.92084572254949","2"
"No","2005","Employed","Rural Area","3782","0.895830006766057","0.886574835055842","0.905085178476271","2"
"Yes","2005","Not Employed","Rural Area","426","0.166774725892996","0.152619157384089","0.180930294401903","1"
"Yes","2005","Employed","Rural Area","403","0.104169993233943","0.0949148215237287","0.113425164944158","1"
"Yes","2005","Not Employed","Urban Area","766","0.159642671008993","0.149720739226735","0.169564602791251","1"
"Yes","2005","Employed","Urban Area","716","0.0850305977034245","0.0791542774505097","0.0909069179563393","1"
"No","2006","Not Employed","Urban Area","4727","0.824988341001024","0.815071669310528","0.834905012691521","2"
"No","2006","Not Employed","Rural Area","2407","0.804713869755751","0.790379498827139","0.819048240684363","2"
"No","2006","Employed","Urban Area","8229","0.915090917322409","0.909329182200107","0.920852652444711","2"
"No","2006","Employed","Rural Area","4096","0.905984140945833","0.897430361447874","0.914537920443792","2"
"Yes","2006","Not Employed","Rural Area","531","0.19528613024425","0.180951759315638","0.209620501172862","1"
"Yes","2006","Employed","Rural Area","376","0.0940158590541667","0.0854620795562075","0.102569638552126","1"
"Yes","2006","Not Employed","Urban Area","913","0.175011658998976","0.165094987308479","0.184928330689473","1"
"Yes","2006","Employed","Urban Area","762","0.0849090826775906","0.0791473475552886","0.0906708177998926","1"
"No","2007","Not Employed","Urban Area","4373","0.82858109624405","0.818373965653728","0.838788226834372","2"
"No","2007","Not Employed","Rural Area","2270","0.813006920240782","0.798439462576921","0.827574377904644","2"
"No","2007","Employed","Urban Area","7653","0.910167231418217","0.904038860645112","0.916295602191321","2"
"No","2007","Employed","Rural Area","3813","0.910247520562032","0.901616635338881","0.918878405785182","2"
"Yes","2007","Not Employed","Urban Area","864","0.17141890375595","0.161211773165628","0.181626034346272","1"
"Yes","2007","Not Employed","Rural Area","482","0.186993079759218","0.172425622095356","0.201560537423079","1"
"Yes","2007","Employed","Rural Area","400","0.0897524794379685","0.0811215942148177","0.0983833646611192","1"
"Yes","2007","Employed","Urban Area","710","0.0898327685817832","0.0837043978086789","0.0959611393548875","1"
"No","2008","Not Employed","Rural Area","2099","0.813739140117611","0.798710833780997","0.828767446454224","2"
"No","2008","Employed","Urban Area","7281","0.918316090627509","0.912281963961419","0.924350217293599","2"
