"ple0053","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Working","higher vocational","154","0.823655208920111","0.768884840596494","0.878425577243729","2"
"No","1984","Not Working","higher education","144","0.900527547504692","0.85385951822734","0.947195576782044","2"
"No","1984","Not Working","general elemantary","1542","0.870632256390618","0.854935272460488","0.886329240320748","2"
"No","1984","Not Working","inadequately","325","0.90005211223022","0.869895890307795","0.930208334152645","2"
"No","1984","Not Working","in school","169","0.957130948330009","0.927373498668194","0.986888397991824","2"
"No","1984","Not Working","middle vocational","1638","0.869952108175644","0.854771940193812","0.885132276157477","2"
"No","1984","Not Working","vocational + Abi","75","0.944686501944681","0.894905343497075","0.994467660392286","2"
"No","1984","Full Time","higher vocational","328","0.898002117555661","0.866953954039998","0.929050281071323","2"
"No","1984","Full Time","higher education","430","0.916506886291143","0.891417915510872","0.941595857071413","2"
"No","1984","Full Time","inadequately","449","0.851025237029469","0.820303143189394","0.881747330869545","2"
"No","1984","Full Time","general elemantary","1037","0.893118289848761","0.875315519065307","0.910921060632215","2"
"No","1984","Full Time","in school","1","","","","2"
"No","1984","Full Time","middle vocational","2677","0.907199658025928","0.896731031328479","0.917668284723376","2"
"No","1984","Full Time","vocational + Abi","159","0.924934050676727","0.886333060057393","0.963535041296061","2"
"No","1984","Part Time","in school","8","","","","2"
"No","1984","Part Time","inadequately","106","0.875270390180338","0.816639825632398","0.933900954728278","2"
"No","1984","Part Time","general elemantary","478","0.876107668518031","0.848523571886464","0.903691765149598","2"
"No","1984","Part Time","middle vocational","768","0.876353676676999","0.854592420403868","0.89811493295013","2"
"No","1984","Part Time","vocational + Abi","42","0.852533298822961","0.755221464052618","0.949845133593303","2"
"No","1984","Part Time","higher vocational","88","0.817213929785824","0.743982817508732","0.890445042062916","2"
"No","1984","Part Time","higher education","155","0.935873887283909","0.898494494611409","0.973253279956408","2"
"Yes","1984","Full Time","in school","","","","","1"
"Yes","1984","Full Time","inadequately","67","0.148974762970531","0.118252669130455","0.179696856810606","1"
"Yes","1984","Full Time","general elemantary","120","0.106881710151239","0.0890789393677854","0.124684480934693","1"
"Yes","1984","Full Time","middle vocational","274","0.0928003419740724","0.0823317152766239","0.103268968671521","1"
"Yes","1984","Full Time","vocational + Abi","20","","","","1"
"Yes","1984","Full Time","higher vocational","37","0.101997882444339","0.0709497189286767","0.133046045960001","1"
"Yes","1984","Full Time","higher education","37","0.0834931137088574","0.0584041429285867","0.108582084489128","1"
"Yes","1984","Part Time","in school","","","","","1"
"Yes","1984","Part Time","inadequately","16","","","","1"
"Yes","1984","Part Time","general elemantary","70","0.123892331481969","0.0963082348504016","0.151476428113536","1"
"Yes","1984","Part Time","middle vocational","111","0.123646323323001","0.10188506704987","0.145407579596132","1"
"Yes","1984","Part Time","vocational + Abi","9","","","","1"
"Yes","1984","Part Time","higher vocational","19","","","","1"
"Yes","1984","Part Time","higher education","10","","","","1"
"Yes","1984","Not Working","in school","9","","","","1"
"Yes","1984","Not Working","inadequately","55","0.09994788776978","0.0697916658473551","0.130104109692205","1"
"Yes","1984","Not Working","general elemantary","214","0.129367743609382","0.113670759679252","0.145064727539512","1"
"Yes","1984","Not Working","middle vocational","248","0.130047891824356","0.114867723842523","0.145228059806188","1"
"Yes","1984","Not Working","vocational + Abi","6","","","","1"
"Yes","1984","Not Working","higher vocational","32","0.176344791079889","0.121574422756271","0.231115159403506","1"
"Yes","1984","Not Working","higher education","14","","","","1"
"No","1985","Not Working","general elemantary","1317","0.854581423846195","0.836923194067537","0.872239653624854","2"
"No","1985","Not Working","inadequately","293","0.833359905295625","0.793864998727122","0.872854811864128","2"
"No","1985","Not Working","in school","166","0.922420458700389","0.883340877081055","0.961500040319724","2"
