"ple0053","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","66 and older","higher vocational","69","0.827482916612913","0.746199000920498","0.908766832305328","2"
"No","1984","66 and older","higher education","57","0.900875101141134","0.827084425506638","0.974665776775629","2"
"No","1984","66 and older","general elemantary","431","0.829490055051945","0.797134797519222","0.861845312584669","2"
"No","1984","66 and older","inadequately","15","","","","2"
"No","1984","66 and older","in school","","","","","2"
"No","1984","66 and older","middle vocational","492","0.85922243247143","0.830819944719595","0.887624920223265","2"
"No","1984","66 and older","vocational + Abi","18","","","","2"
"No","1984","16-34 y.","higher vocational","186","0.884188521686571","0.841011259344341","0.927365784028801","2"
"No","1984","16-34 y.","higher education","229","0.924557464600411","0.891554296627888","0.957560632572933","2"
"No","1984","16-34 y.","inadequately","274","0.878111908702342","0.841634462726123","0.914589354678561","2"
"No","1984","16-34 y.","general elemantary","1139","0.89075502732691","0.873665778338152","0.907844276315668","2"
"No","1984","16-34 y.","in school","178","0.95958014248117","0.931353104803686","0.987807180158653","2"
"No","1984","16-34 y.","middle vocational","1953","0.899352733175898","0.886720343962065","0.911985122389731","2"
"No","1984","16-34 y.","vocational + Abi","151","0.942488301211975","0.906746999065003","0.978229603358947","2"
"No","1984","35-65 y.","in school","","","","","2"
"No","1984","35-65 y.","inadequately","591","0.860792495754233","0.835038245252374","0.886546746256092","2"
"No","1984","35-65 y.","general elemantary","1487","0.894782289290574","0.880030805881713","0.909533772699434","2"
"No","1984","35-65 y.","middle vocational","2638","0.890195613789037","0.878934497152342","0.901456730425733","2"
"No","1984","35-65 y.","vocational + Abi","107","0.883537906420222","0.827966934050388","0.939108878790056","2"
"No","1984","35-65 y.","higher vocational","315","0.860388826022239","0.824784327809388","0.895993324235091","2"
"No","1984","35-65 y.","higher education","443","0.916228554036982","0.891469989013742","0.940987119060223","2"
"Yes","1984","16-34 y.","in school","9","","","","1"
"Yes","1984","16-34 y.","inadequately","35","0.121888091297658","0.0854106453214392","0.158365537273877","1"
"Yes","1984","16-34 y.","general elemantary","141","0.10924497267309","0.0921557236843318","0.126334221661848","1"
"Yes","1984","16-34 y.","middle vocational","226","0.100647266824102","0.0880148776102685","0.113279656037935","1"
"Yes","1984","16-34 y.","vocational + Abi","12","","","","1"
"Yes","1984","16-34 y.","higher vocational","25","","","","1"
"Yes","1984","16-34 y.","higher education","17","","","","1"
"Yes","1984","35-65 y.","in school","","","","","1"
"Yes","1984","35-65 y.","inadequately","103","0.139207504245767","0.113453253743908","0.164961754747626","1"
"Yes","1984","35-65 y.","general elemantary","175","0.105217710709426","0.0904662273005657","0.119969194118287","1"
"Yes","1984","35-65 y.","middle vocational","323","0.109804386210962","0.0985432695742665","0.121065502847658","1"
"Yes","1984","35-65 y.","vocational + Abi","21","","","","1"
"Yes","1984","35-65 y.","higher vocational","49","0.139611173977761","0.104006675764909","0.175215672190612","1"
"Yes","1984","35-65 y.","higher education","38","0.0837714459630176","0.0590128809397771","0.108530010986258","1"
"Yes","1984","66 and older","in school","","","","","1"
