"ple0053","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","Hamburg","103","0.909918258076342","0.857131079884992","0.962705436267693","2"
"No","1984","16-34 y.","Hesse","460","0.909389054219096","0.884524635910728","0.934253472527464","2"
"No","1984","16-34 y.","Rhineland-Palatinate,Saarland","288","0.902992465925635","0.870360041145322","0.935624890705948","2"
"No","1984","16-34 y.","Brandenburg","","","","","2"
"No","1984","16-34 y.","North Rhine-Westphalia","1157","0.907191473259008","0.891320301256927","0.923062645261089","2"
"No","1984","16-34 y.","Saxony-Anhalt","","","","","2"
"No","1984","35-65 y.","Schleswig-Holstein","187","0.911106534300149","0.87224374386362","0.949969324736678","2"
"No","1984","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1984","35-65 y.","Hamburg","131","0.847701095491133","0.79039123129984","0.905010959682427","2"
"No","1984","35-65 y.","Lower Saxony","575","0.905998410865082","0.883335813101215","0.928661008628948","2"
"No","1984","16-34 y.","Saxony","","","","","2"
"No","1984","16-34 y.","Berlin","127","0.918698549927868","0.87310071635929","0.964296383496445","2"
"No","1984","16-34 y.","Baden-Württemberg","757","0.895981081611077","0.875494044124394","0.91646811909776","2"
"No","1984","35-65 y.","Bremen","57","0.879682368073927","0.801782222166268","0.957582513981586","2"
"No","1984","16-34 y.","Bavaria","698","0.90655438944999","0.885942866050762","0.927165912849218","2"
"No","1984","35-65 y.","Hesse","558","0.887484797267455","0.862906754645005","0.912062839889906","2"
"No","1984","16-34 y.","Schleswig-Holstein","121","0.902162073314525","0.852230581701107","0.952093564927944","2"
"No","1984","35-65 y.","North Rhine-Westphalia","1497","0.887982746935714","0.872937248045149","0.903028245826279","2"
"No","1984","16-34 y.","Thuringia","","","","","2"
"No","1984","16-34 y.","Lower Saxony","387","0.870958788595133","0.839810721309667","0.902106855880598","2"
"No","1984","16-34 y.","Bremen","30","0.941859798524936","0.860781523895444","1.02293807315443","2"
"No","1984","35-65 y.","Rhineland-Palatinate,Saarland","383","0.89768279169305","0.868903567495053","0.926462015891047","2"
"No","1984","35-65 y.","Baden-Württemberg","1056","0.89056900475834","0.872884008254636","0.908254001262043","2"
"No","1984","35-65 y.","Bavaria","972","0.884430411437271","0.865545800195645","0.903315022678897","2"
"No","1984","35-65 y.","Berlin","205","0.903408371989964","0.864810031719328","0.942006712260601","2"
"No","1984","35-65 y.","Brandenburg","","","","","2"
"No","1984","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1984","35-65 y.","Saxony","","","","","2"
"No","1984","35-65 y.","Saxony-Anhalt","","","","","2"
"No","1984","66 and older","Schleswig-Holstein","38","0.875830714434987","0.778390343262718","0.973271085607255","2"
"No","1984","66 and older","Hamburg","40","0.871340447053963","0.774583060087783","0.968097834020143","2"
"No","1984","66 and older","Lower Saxony","136","0.87766198580051","0.82574054528957","0.92958342631145","2"
"No","1984","66 and older","Hesse","89","0.85843970301221","0.791442441454458","0.925436964569962","2"
"No","1984","66 and older","Rhineland-Palatinate,Saarland","92","0.815607770473622","0.743786833799763","0.88742870714748","2"
"No","1984","35-65 y.","Thuringia","","","","","2"
"No","1984","66 and older","Bremen","27","","","","2"
"No","1984","66 and older","North Rhine-Westphalia","240","0.839752576756568","0.797312286774468","0.882192866738669","2"
"No","1984","66 and older","Baden-Württemberg","185","0.861934437981673","0.815823000611743","0.908045875351603","2"
"No","1984","66 and older","Bavaria","200","0.843851205269343","0.797636927139131","0.890065483399554","2"
"No","1984","66 and older","Berlin","37","0.824538231694033","0.715796608423655","0.933279854964412","2"
"No","1984","66 and older","Brandenburg","","","","","2"
"No","1984","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"No","1984","66 and older","Saxony","","","","","2"
"No","1984","66 and older","Saxony-Anhalt","","","","","2"
"No","1984","66 and older","Thuringia","","","","","2"
"Yes","1984","16-34 y.","Schleswig-Holstein","15","","","","1"
"Yes","1984","16-34 y.","Hamburg","10","","","","1"
"Yes","1984","16-34 y.","Lower Saxony","58","0.129041211404867","0.0978931441194017","0.160189278690333","1"
"Yes","1984","16-34 y.","Bremen","2","","","","1"
"Yes","1984","16-34 y.","North Rhine-Westphalia","127","0.0928085267409924","0.0769373547389112","0.108679698743073","1"
"Yes","1984","16-34 y.","Hesse","52","0.090610945780904","0.0657465274725364","0.115475364089272","1"
"Yes","1984","16-34 y.","Rhineland-Palatinate,Saarland","28","","","","1"
"Yes","1984","16-34 y.","Baden-Württemberg","96","0.104018918388923","0.0835318809022397","0.124505955875606","1"
"Yes","1984","16-34 y.","Bavaria","68","0.0934456105500096","0.0728340871507817","0.114057133949238","1"
"Yes","1984","16-34 y.","Berlin","11","","","","1"
"Yes","1984","16-34 y.","Brandenburg","","","","","1"
"Yes","1984","16-34 y.","Mecklenburg-Western Pomerania","","","","","1"
"Yes","1984","16-34 y.","Saxony","","","","","1"
"Yes","1984","16-34 y.","Saxony-Anhalt","","","","","1"
"Yes","1984","16-34 y.","Thuringia","","","","","1"
"Yes","1984","35-65 y.","Schleswig-Holstein","19","","","","1"
"Yes","1984","35-65 y.","Hamburg","20","","","","1"
"Yes","1984","35-65 y.","Lower Saxony","62","0.0940015891349184","0.0713389913710521","0.116664186898785","1"
"Yes","1984","35-65 y.","Bremen","10","","","","1"
"Yes","1984","35-65 y.","North Rhine-Westphalia","191","0.112017253064286","0.096971754173721","0.127062751954851","1"
"Yes","1984","35-65 y.","Hesse","77","0.112515202732545","0.0879371601100943","0.137093245354995","1"
"Yes","1984","35-65 y.","Rhineland-Palatinate,Saarland","43","0.10231720830695","0.0735379841089525","0.131096432504947","1"
"Yes","1984","35-65 y.","Baden-Württemberg","141","0.10943099524166","0.0917459987379567","0.127115991745364","1"
"Yes","1984","35-65 y.","Bavaria","129","0.115569588562729","0.096684977321103","0.134454199804355","1"
"Yes","1984","35-65 y.","Berlin","20","","","","1"
"Yes","1984","35-65 y.","Brandenburg","","","","","1"
"Yes","1984","35-65 y.","Mecklenburg-Western Pomerania","","","","","1"
"Yes","1984","35-65 y.","Saxony","","","","","1"
"Yes","1984","35-65 y.","Saxony-Anhalt","","","","","1"
"Yes","1984","35-65 y.","Thuringia","","","","","1"
"Yes","1984","66 and older","Schleswig-Holstein","6","","","","1"
"Yes","1984","66 and older","Hamburg","6","","","","1"
"Yes","1984","66 and older","Lower Saxony","17","","","","1"
"Yes","1984","66 and older","Bremen","6","","","","1"
"Yes","1984","66 and older","North Rhine-Westphalia","47","0.160247423243432","0.117807133261331","0.202687713225532","1"
"Yes","1984","66 and older","Hesse","15","","","","1"
"Yes","1984","66 and older","Rhineland-Palatinate,Saarland","20","","","","1"
"Yes","1984","66 and older","Baden-Württemberg","30","0.138065562018327","0.0919541246483967","0.184176999388257","1"
"Yes","1984","66 and older","Bavaria","37","0.156148794730657","0.109934516600446","0.202363072860869","1"
"Yes","1984","66 and older","Berlin","10","","","","1"
"Yes","1984","66 and older","Brandenburg","","","","","1"
"Yes","1984","66 and older","Mecklenburg-Western Pomerania","","","","","1"
"Yes","1984","66 and older","Saxony","","","","","1"
"Yes","1984","66 and older","Saxony-Anhalt","","","","","1"
