"ple0053","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1984","1-pers.-HH","1158","0.866871348984478","0.848620958812238","0.885121739156717","2"
"No","1984","Single parent ","525","0.905322965816566","0.881455392625722","0.92919053900741","2"
"No","1984","(Married) couple without C. ","2401","0.883862859292615","0.871775688579211","0.89595003000602","2"
"No","1984","Couple + C. LE 16 ","2684","0.873847395200272","0.862115984150614","0.88557880624993","2"
"No","1984","Couple + C. GT 16 ","1800","0.90970566358575","0.897107112376959","0.92230421479454","2"
"No","1984","Couple + C. LE and GT 16","1545","0.907602967460826","0.893905511627358","0.921300423294294","2"
"Yes","1984","1-pers.-HH","173","0.133128651015522","0.114878260843283","0.151379041187762","1"
"Yes","1984","(Married) couple without C. ","298","0.116137140707385","0.10404996999398","0.128224311420789","1"
"Yes","1984","Single parent ","53","0.0946770341834341","0.07080946099259","0.118544607374278","1"
"Yes","1984","Couple + C. LE 16 ","393","0.126152604799728","0.11442119375007","0.137884015849386","1"
"Yes","1984","Couple + C. GT 16 ","188","0.0902943364142503","0.0776957852054598","0.102892887623041","1"
"Yes","1984","Couple + C. LE and GT 16","172","0.0923970325391736","0.0786995767057057","0.106094488372641","1"
"No","1985","1-pers.-HH","1037","0.871930005835494","0.852831080245814","0.891028931425175","2"
"No","1985","(Married) couple without C. ","2169","0.888763880858672","0.876270121143144","0.901257640574199","2"
"No","1985","Single parent ","495","0.913340502151507","0.889699107997028","0.936981896305987","2"
"No","1985","Couple + C. LE 16 ","2301","0.859174146829591","0.846002395292488","0.872345898366693","2"
"No","1985","Couple + C. GT 16 ","1834","0.909498947841546","0.897006248583337","0.921991647099754","2"
"No","1985","Couple + C. LE and GT 16","1342","0.915062188600784","0.900901754071627","0.929222623129942","2"
"Yes","1985","1-pers.-HH","139","0.128069994164506","0.108971068574825","0.147168919754186","1"
"Yes","1985","(Married) couple without C. ","264","0.111236119141328","0.0987423594258007","0.123729878856856","1"
"Yes","1985","Single parent ","49","0.0866594978484926","0.0630181036940128","0.110300892002972","1"
"Yes","1985","Couple + C. LE 16 ","378","0.140825853170409","0.127654101633307","0.153997604707512","1"
"Yes","1985","Couple + C. GT 16 ","192","0.0905010521584545","0.0780083529002465","0.102993751416663","1"
"Yes","1985","Couple + C. LE and GT 16","147","0.0849378113992155","0.0707773768700577","0.0990982459283733","1"
"No","1986","(Married) couple without C. ","2065","0.863091952328485","0.849281667530149","0.876902237126821","2"
"No","1986","1-pers.-HH","979","0.8644215512227","0.844354418988434","0.884488683456966","2"
"No","1986","Couple + C. LE 16 ","2078","0.869891256135668","0.856448571685259","0.883333940586077","2"
"No","1986","Single parent ","450","0.885311097859094","0.857656225718443","0.912965969999746","2"
"No","1986","Couple + C. GT 16 ","1890","0.904869004610629","0.892329443646337","0.917408565574922","2"
"No","1986","Couple + C. LE and GT 16","1259","0.899233664484759","0.883459976534348","0.915007352435171","2"
"Yes","1986","1-pers.-HH","139","0.1355784487773","0.115511316543034","0.155645581011566","1"
"Yes","1986","(Married) couple without C. ","315","0.136908047671515","0.123097762873178","0.150718332469851","1"
"Yes","1986","Single parent ","60","0.114688902140906","0.0870340300002537","0.142343774281557","1"
"Yes","1986","Couple + C. LE 16 ","328","0.130108743864332","0.116666059413923","0.143551428314741","1"
"Yes","1986","Couple + C. GT 16 ","213","0.0951309953893707","0.0825914344250784","0.107670556353663","1"
"Yes","1986","Couple + C. LE and GT 16","140","0.10076633551524","0.0849926475648289","0.116540023465652","1"
"No","1987","1-pers.-HH","954","0.844270506234527","0.822968193621066","0.865572818847989","2"
"No","1987","(Married) couple without C. ","2067","0.873967504461996","0.860546176370243","0.887388832553749","2"
"No","1987","Couple + C. LE 16 ","2037","0.864426646232875","0.850626757092568","0.878226535373182","2"
"No","1987","Single parent ","463","0.880154766067878","0.85232002710285","0.907989505032907","2"
