"ple0053","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","(0) in school","7","","",""
"Yes","1984","no migration background","(1a) inadequately completed","6","","",""
"Yes","1984","no migration background","(1b) general elementary school","233","0.123337450319711","0.108742773061201","0.137932127578222"
"Yes","1984","no migration background","(1c) basic vocational qualification","427","0.123371675098544","0.112481283344882","0.134262066852207"
"Yes","1984","no migration background","(2b) intermediate general qualification","43","0.113077303808087","0.082310562987522","0.143844044628653"
"Yes","1984","no migration background","(2a) intermediate vocational","139","0.104720359327339","0.0881331554073041","0.121307563247375"
"Yes","1984","no migration background","(2c_gen) general maturity certificate","15","","",""
"Yes","1984","no migration background","(2c_voc) vocational maturity certificate","30","0.0920182442642652","0.0597371487253047","0.124299339803226"
"Yes","1984","no migration background","(3a) lower tertiary education","22","","",""
"Yes","1984","no migration background","(3b) higher tertiary education","36","0.0848525580924876","0.0583283047332595","0.111376811451716"
"Yes","1984","direct migration background","(0) in school","2","","",""
"Yes","1984","direct migration background","(1a) inadequately completed","139","0.128718312856096","0.108365197984689","0.149071427727503"
"Yes","1984","direct migration background","(1b) general elementary school","127","0.145094034564863","0.123522449147365","0.166665619982361"
"Yes","1984","direct migration background","(1c) basic vocational qualification","78","0.126944802626834","0.102661497014034","0.151228108239635"
"Yes","1984","direct migration background","(2b) intermediate general qualification","4","","",""
"Yes","1984","direct migration background","(2a) intermediate vocational","6","","",""
"Yes","1984","direct migration background","(2c_gen) general maturity certificate","15","","",""
"Yes","1984","direct migration background","(2c_voc) vocational maturity certificate","25","","",""
"Yes","1984","direct migration background","(3a) lower tertiary education","1","","",""
"Yes","1984","direct migration background","(3b) higher tertiary education","2","","",""
"Yes","1984","indirect migration background","(0) in school","","","",""
"Yes","1984","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1984","indirect migration background","(1b) general elementary school","1","","",""
"Yes","1984","indirect migration background","(1c) basic vocational qualification","2","","",""
"Yes","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1984","indirect migration background","(2a) intermediate vocational","3","","",""
"Yes","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1984","indirect migration background","(3b) higher tertiary education","","","",""
"No","1984","no migration background","(0) in school","152","0.960007056293306","0.9295506661303","0.990463446456311"
"No","1984","no migration background","(1a) inadequately completed","62","0.90888241368134","0.840483597028163","0.977281230334516"
"No","1984","no migration background","(1b) general elementary school","1717","0.876662549680289","0.862067872421778","0.891257226938799"
"No","1984","no migration background","(1c) basic vocational qualification","3076","0.876628324901456","0.865737933147793","0.887518716655118"
"No","1984","no migration background","(2b) intermediate general qualification","364","0.886922696191913","0.856155955371347","0.917689437012478"
"No","1984","no migration background","(2a) intermediate vocational","1170","0.895279640672661","0.878692436752625","0.911866844592696"
"No","1984","no migration background","(2c_gen) general maturity certificate","265","0.948751596334591","0.922923909835586","0.974579282833597"
