"ple0053","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","in school","","","",""
"Yes","1984","1-pers.-HH","inadequately","11","","",""
"Yes","1984","1-pers.-HH","general elemantary","65","0.169193991805801","0.132126423325352","0.206261560286249"
"Yes","1984","1-pers.-HH","middle vocational","72","0.121726451395008","0.0959893502926395","0.147463552497377"
"Yes","1984","1-pers.-HH","vocational + Abi","3","","",""
"Yes","1984","1-pers.-HH","higher vocational","13","","",""
"Yes","1984","1-pers.-HH","higher education","9","","",""
"Yes","1984","(Married) couple without C. ","in school","1","","",""
"Yes","1984","(Married) couple without C. ","inadequately","13","","",""
"Yes","1984","(Married) couple without C. ","general elemantary","79","0.118606530284673","0.0946375963697298","0.142575464199615"
"Yes","1984","(Married) couple without C. ","middle vocational","158","0.117667882123845","0.100867389254507","0.134468374993182"
"Yes","1984","(Married) couple without C. ","vocational + Abi","9","","",""
"Yes","1984","(Married) couple without C. ","higher vocational","21","","",""
"Yes","1984","(Married) couple without C. ","higher education","16","","",""
"Yes","1984","Single parent ","in school","1","","",""
"Yes","1984","Single parent ","inadequately","8","","",""
"Yes","1984","Single parent ","general elemantary","18","","",""
"Yes","1984","Single parent ","middle vocational","21","","",""
"Yes","1984","Single parent ","vocational + Abi","","","",""
"Yes","1984","Single parent ","higher vocational","3","","",""
"Yes","1984","Single parent ","higher education","2","","",""
"Yes","1984","Couple + C. LE 16 ","in school","","","",""
"Yes","1984","Couple + C. LE 16 ","inadequately","46","0.15075086234689","0.111486349881149","0.19001537481263"
"Yes","1984","Couple + C. LE 16 ","general elemantary","82","0.117551275118994","0.0930352679893173","0.142067282248671"
"Yes","1984","Couple + C. LE 16 ","middle vocational","196","0.130575788449628","0.113581350304326","0.14757022659493"
"Yes","1984","Couple + C. LE 16 ","vocational + Abi","14","","",""
"Yes","1984","Couple + C. LE 16 ","higher vocational","30","0.148500820469627","0.10005911087409","0.196942530065165"
"Yes","1984","Couple + C. LE 16 ","higher education","21","","",""
"Yes","1984","Couple + C. GT 16 ","in school","3","","",""
"Yes","1984","Couple + C. GT 16 ","inadequately","19","","",""
"Yes","1984","Couple + C. GT 16 ","general elemantary","63","0.109491786719505","0.0842743941286936","0.134709179310316"
"Yes","1984","Couple + C. GT 16 ","middle vocational","87","0.0899852798330073","0.0716430458146885","0.108327513851326"
"Yes","1984","Couple + C. GT 16 ","vocational + Abi","2","","",""
"Yes","1984","Couple + C. GT 16 ","higher vocational","11","","",""
"Yes","1984","Couple + C. GT 16 ","higher education","3","","",""
"Yes","1984","Couple + C. LE and GT 16","in school","3","","",""
"Yes","1984","Couple + C. LE and GT 16","inadequately","27","","",""
"Yes","1984","Couple + C. LE and GT 16","general elemantary","57","0.0985007657101132","0.0745368737516111","0.122464657668615"
"Yes","1984","Couple + C. LE and GT 16","middle vocational","68","0.087544946492975","0.0663486971169387","0.108741195869011"
"Yes","1984","Couple + C. LE and GT 16","vocational + Abi","6","","",""
"Yes","1984","Couple + C. LE and GT 16","higher vocational","5","","",""
"Yes","1984","Couple + C. LE and GT 16","higher education","6","","",""
"No","1984","1-pers.-HH","in school","1","","",""
"No","1984","1-pers.-HH","inadequately","59","0.868267438117538","0.789040586641616","0.947494289593459"
"No","1984","1-pers.-HH","general elemantary","328","0.830806008194199","0.793738439713751","0.867873576674648"
"No","1984","1-pers.-HH","middle vocational","548","0.878273548604992","0.852536447502623","0.904010649707361"
"No","1984","1-pers.-HH","vocational + Abi","43","0.956715468307315","0.897908751323704","1.01552218529093"
"No","1984","1-pers.-HH","higher vocational","69","0.850430288964052","0.77323650112301","0.927624076805094"
"No","1984","1-pers.-HH","higher education","107","0.919049271122616","0.869413031140994","0.968685511104238"
"No","1984","(Married) couple without C. ","in school","1","","",""
"No","1984","(Married) couple without C. ","inadequately","115","0.878057674039081","0.821370884034544","0.934744464043617"
"No","1984","(Married) couple without C. ","general elemantary","620","0.881393469715327","0.857424535800385","0.90536240363027"
"No","1984","(Married) couple without C. ","middle vocational","1255","0.882332117876155","0.865531625006818","0.899132610745493"
"No","1984","(Married) couple without C. ","vocational + Abi","75","0.906463079260714","0.844193627479955","0.968732531041473"
"No","1984","(Married) couple without C. ","higher vocational","140","0.857394078329409","0.803381591580474","0.911406565078343"
"No","1984","(Married) couple without C. ","higher education","187","0.922130639559387","0.885268579515199","0.958992699603576"
"No","1984","Single parent ","in school","16","","",""
"No","1984","Single parent ","inadequately","42","0.849338767827633","0.750186119112841","0.948491416542425"
"No","1984","Single parent ","general elemantary","182","0.896494875747873","0.854277821700983","0.938711929794762"
"No","1984","Single parent ","middle vocational","238","0.916195506670548","0.882449223991107","0.949941789349989"
"No","1984","Single parent ","vocational + Abi","8","","",""
"No","1984","Single parent ","higher vocational","23","","",""
"No","1984","Single parent ","higher education","15","","",""
"No","1984","Couple + C. LE 16 ","in school","","","",""
"No","1984","Couple + C. LE 16 ","inadequately","273","0.84924913765311","0.80998462518737","0.888513650118851"
"No","1984","Couple + C. LE 16 ","general elemantary","581","0.882448724881006","0.857932717751329","0.906964732010683"
"No","1984","Couple + C. LE 16 ","middle vocational","1314","0.869424211550372","0.85242977340507","0.886418649695674"
"No","1984","Couple + C. LE 16 ","vocational + Abi","71","0.866128226142845","0.793738950125238","0.938517502160451"
"No","1984","Couple + C. LE 16 ","higher vocational","177","0.851499179530372","0.803057469934835","0.89994088912591"
"No","1984","Couple + C. LE 16 ","higher education","244","0.91237645078393","0.87833385971962","0.94641904184824"
"No","1984","Couple + C. GT 16 ","in school","76","0.970915319299733","0.933859418736442","1.00797121986302"
"No","1984","Couple + C. GT 16 ","inadequately","127","0.94326677734322","0.905742904183172","0.980790650503267"
"No","1984","Couple + C. GT 16 ","general elemantary","526","0.890508213280495","0.865290820689684","0.915725605871306"
"No","1984","Couple + C. GT 16 ","middle vocational","848","0.910014720166993","0.891672486148674","0.928356954185312"
"No","1984","Couple + C. GT 16 ","vocational + Abi","36","0.986643374309676","0.950144054405181","1.02314269421417"
"No","1984","Couple + C. GT 16 ","higher vocational","83","0.879452420336681","0.813630645886863","0.945274194786499"
"No","1984","Couple + C. GT 16 ","higher education","94","0.959624620986646","0.920453029108345","0.998796212864947"
"No","1984","Couple + C. LE and GT 16","in school","75","0.970668865964871","0.933223268283304","1.00811446364644"
"No","1984","Couple + C. LE and GT 16","inadequately","194","0.886232036741527","0.844368523848493","0.928095549634561"
"No","1984","Couple + C. LE and GT 16","general elemantary","537","0.901499234289887","0.877535342331385","0.925463126248389"
"No","1984","Couple + C. LE and GT 16","middle vocational","615","0.912455053507025","0.891258804130989","0.933651302883061"
"No","1984","Couple + C. LE and GT 16","vocational + Abi","17","","",""
"No","1984","Couple + C. LE and GT 16","higher vocational","42","0.887560604168083","0.797246116569743","0.977875091766422"
"No","1984","Couple + C. LE and GT 16","higher education","53","0.884626728381984","0.80310850279665","0.966144953967318"
"Yes","1985","1-pers.-HH","in school","","","",""
"Yes","1985","1-pers.-HH","inadequately","4","","",""
"Yes","1985","1-pers.-HH","general elemantary","61","0.184577557341241","0.143157192697873","0.22599792198461"
"Yes","1985","1-pers.-HH","middle vocational","60","0.118976804105488","0.0919925544496302","0.145961053761346"
"Yes","1985","1-pers.-HH","vocational + Abi","","","",""
"Yes","1985","1-pers.-HH","higher vocational","9","","",""
"Yes","1985","1-pers.-HH","higher education","4","","",""
"Yes","1985","(Married) couple without C. ","in school","","","",""
"Yes","1985","(Married) couple without C. ","inadequately","11","","",""
"Yes","1985","(Married) couple without C. ","general elemantary","66","0.111828038808545","0.0865263887518671","0.137129688865223"
"Yes","1985","(Married) couple without C. ","middle vocational","141","0.11154591001702","0.0944067350953611","0.12868508493868"
"Yes","1985","(Married) couple without C. ","vocational + Abi","8","","",""
"Yes","1985","(Married) couple without C. ","higher vocational","17","","",""
"Yes","1985","(Married) couple without C. ","higher education","21","","",""
