"ple0053","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","(0) in school","in school","9","","",""
"Yes","1984","(0) in school","inadequately","","","",""
"Yes","1984","(0) in school","general elemantary","","","",""
"Yes","1984","(0) in school","middle vocational","","","",""
"Yes","1984","(0) in school","vocational + Abi","","","",""
"Yes","1984","(0) in school","higher vocational","","","",""
"Yes","1984","(0) in school","higher education","","","",""
"Yes","1984","(1a) inadequately completed","in school","","","",""
"Yes","1984","(1a) inadequately completed","inadequately","134","0.1210060449952","0.100731487871998","0.141280602118403"
"Yes","1984","(1a) inadequately completed","general elemantary","","","",""
"Yes","1984","(1a) inadequately completed","middle vocational","11","","",""
"Yes","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","1984","(1a) inadequately completed","higher vocational","","","",""
"Yes","1984","(1a) inadequately completed","higher education","","","",""
"Yes","1984","(1b) general elementary school","in school","","","",""
"Yes","1984","(1b) general elementary school","inadequately","4","","",""
"Yes","1984","(1b) general elementary school","general elemantary","357","0.125037492641883","0.113175836511541","0.136899148772224"
"Yes","1984","(1b) general elementary school","middle vocational","","","",""
"Yes","1984","(1b) general elementary school","vocational + Abi","","","",""
"Yes","1984","(1b) general elementary school","higher vocational","","","",""
"Yes","1984","(1b) general elementary school","higher education","","","",""
"Yes","1984","(1c) basic vocational qualification","in school","","","",""
"Yes","1984","(1c) basic vocational qualification","inadequately","","","",""
"Yes","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","1984","(1c) basic vocational qualification","middle vocational","464","0.120327527292112","0.110199513941563","0.130455540642662"
"Yes","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","1984","(1c) basic vocational qualification","higher vocational","43","0.156681711976873","0.115479796183797","0.197883627769949"
"Yes","1984","(1c) basic vocational qualification","higher education","","","",""
"Yes","1984","(2b) intermediate general qualification","in school","","","",""
"Yes","1984","(2b) intermediate general qualification","inadequately","","","",""
"Yes","1984","(2b) intermediate general qualification","general elemantary","47","0.11254266470471","0.0840920759017483","0.140993253507672"
"Yes","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","1984","(2b) intermediate general qualification","higher education","","","",""
"Yes","1984","(2a) intermediate vocational","in school","","","",""
"Yes","1984","(2a) intermediate vocational","inadequately","","","",""
"Yes","1984","(2a) intermediate vocational","general elemantary","","","",""
"Yes","1984","(2a) intermediate vocational","middle vocational","123","0.0985551349852066","0.0816768274756875","0.115433442494726"
"Yes","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","1984","(2a) intermediate vocational","higher vocational","25","","",""
"Yes","1984","(2a) intermediate vocational","higher education","","","",""
"Yes","1984","(2c_gen) general maturity certificate","in school","","","",""
"Yes","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","1984","(2c_gen) general maturity certificate","middle vocational","30","0.0562780692006167","0.0340518965512239","0.0785042418500094"
"Yes","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","vocational + Abi","35","0.0803192900760572","0.0501130711452652","0.110525509006849"
"Yes","1984","(2c_voc) vocational maturity certificate","higher vocational","20","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","1984","(3a) lower tertiary education","in school","","","",""
"Yes","1984","(3a) lower tertiary education","inadequately","","","",""
"Yes","1984","(3a) lower tertiary education","general elemantary","","","",""
"Yes","1984","(3a) lower tertiary education","middle vocational","","","",""
"Yes","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","1984","(3a) lower tertiary education","higher vocational","","","",""
"Yes","1984","(3a) lower tertiary education","higher education","23","","",""
"Yes","1984","(3b) higher tertiary education","in school","","","",""
"Yes","1984","(3b) higher tertiary education","inadequately","","","",""
"Yes","1984","(3b) higher tertiary education","general elemantary","","","",""
"Yes","1984","(3b) higher tertiary education","middle vocational","","","",""
"Yes","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","1984","(3b) higher tertiary education","higher vocational","","","",""
"Yes","1984","(3b) higher tertiary education","higher education","38","0.0804531470419404","0.0572089970858041","0.103697296998077"
"No","1984","(0) in school","in school","178","0.95958014248117","0.931353104803686","0.987807180158653"
"No","1984","(0) in school","inadequately","","","",""
"No","1984","(0) in school","general elemantary","","","",""
"No","1984","(0) in school","middle vocational","1","","",""
"No","1984","(0) in school","vocational + Abi","","","",""
"No","1984","(0) in school","higher vocational","","","",""
"No","1984","(0) in school","higher education","","","",""
"No","1984","(1a) inadequately completed","in school","","","",""
"No","1984","(1a) inadequately completed","inadequately","860","0.8789939550048","0.858719397881598","0.899268512128002"
"No","1984","(1a) inadequately completed","general elemantary","","","",""
"No","1984","(1a) inadequately completed","middle vocational","106","0.900381649458587","0.846114357379214","0.95464894153796"
"No","1984","(1a) inadequately completed","vocational + Abi","","","",""
"No","1984","(1a) inadequately completed","higher vocational","3","","",""
"No","1984","(1a) inadequately completed","higher education","","","",""
"No","1984","(1b) general elementary school","in school","","","",""
"No","1984","(1b) general elementary school","inadequately","20","","",""
"No","1984","(1b) general elementary school","general elemantary","2630","0.874962507358117","0.863100851227776","0.886824163488459"
"No","1984","(1b) general elementary school","middle vocational","","","",""
"No","1984","(1b) general elementary school","vocational + Abi","","","",""
"No","1984","(1b) general elementary school","higher vocational","","","",""
"No","1984","(1b) general elementary school","higher education","","","",""
"No","1984","(1c) basic vocational qualification","in school","","","",""
"No","1984","(1c) basic vocational qualification","inadequately","","","",""
"No","1984","(1c) basic vocational qualification","general elemantary","","","",""
"No","1984","(1c) basic vocational qualification","middle vocational","3500","0.879672472707888","0.869544459357338","0.889800486058437"
"No","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","1984","(1c) basic vocational qualification","higher vocational","256","0.843318288023127","0.802116372230051","0.884520203816203"
"No","1984","(1c) basic vocational qualification","higher education","","","",""
"No","1984","(2b) intermediate general qualification","in school","","","",""
"No","1984","(2b) intermediate general qualification","inadequately","","","",""
"No","1984","(2b) intermediate general qualification","general elemantary","427","0.88745733529529","0.859006746492328","0.915907924098252"
"No","1984","(2b) intermediate general qualification","middle vocational","","","",""
"No","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","1984","(2b) intermediate general qualification","higher vocational","","","",""
"No","1984","(2b) intermediate general qualification","higher education","","","",""
"No","1984","(2a) intermediate vocational","in school","","","",""
"No","1984","(2a) intermediate vocational","inadequately","","","",""
"No","1984","(2a) intermediate vocational","general elemantary","","","",""
"No","1984","(2a) intermediate vocational","middle vocational","1075","0.901444865014793","0.884566557505274","0.918323172524313"
"No","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"No","1984","(2a) intermediate vocational","higher vocational","185","0.878454908185825","0.834260543660539","0.922649272711112"
"No","1984","(2a) intermediate vocational","higher education","","","",""
"No","1984","(2c_gen) general maturity certificate","in school","","","",""
"No","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"No","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","1984","(2c_gen) general maturity certificate","middle vocational","383","0.943721930799383","0.921495758149991","0.965948103448776"
"No","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","1984","(2c_gen) general maturity certificate","higher education","","","",""
"No","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"No","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","1984","(2c_voc) vocational maturity certificate","vocational + Abi","276","0.919680709923943","0.889474490993151","0.949886928854735"
"No","1984","(2c_voc) vocational maturity certificate","higher vocational","124","0.874314294352343","0.820171136967155","0.92845745173753"
"No","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","1984","(3a) lower tertiary education","in school","","","",""
"No","1984","(3a) lower tertiary education","inadequately","","","",""
"No","1984","(3a) lower tertiary education","general elemantary","","","",""
"No","1984","(3a) lower tertiary education","middle vocational","","","",""
"No","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"No","1984","(3a) lower tertiary education","higher vocational","","","",""
"No","1984","(3a) lower tertiary education","higher education","241","0.911884894986985","0.877691571096049","0.946078218877922"
"No","1984","(3b) higher tertiary education","in school","","","",""
"No","1984","(3b) higher tertiary education","inadequately","","","",""
"No","1984","(3b) higher tertiary education","general elemantary","","","",""
"No","1984","(3b) higher tertiary education","middle vocational","","","",""
"No","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"No","1984","(3b) higher tertiary education","higher vocational","","","",""
"No","1984","(3b) higher tertiary education","higher education","488","0.91954685295806","0.896302703001923","0.942791002914196"
