"ple0053","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","West Germany","960","0.112527945186931","0.105875655898709","0.119180234475153"
"Yes","1984","no migration background","East Germany","","","",""
"Yes","1984","direct migration background","West Germany","407","0.120928626328208","0.109983740915206","0.13187351174121"
"Yes","1984","direct migration background","East Germany","","","",""
"Yes","1984","indirect migration background","West Germany","6","","",""
"Yes","1984","indirect migration background","East Germany","","","",""
"No","1984","no migration background","West Germany","7709","0.887472054813069","0.880819765524847","0.894124344101291"
"No","1984","no migration background","East Germany","","","",""
"No","1984","direct migration background","West Germany","3002","0.879071373671792","0.86812648825879","0.890016259084794"
"No","1984","direct migration background","East Germany","","","",""
"No","1984","indirect migration background","West Germany","122","0.98994820705232","0.972667117928674","1.00722929617597"
"No","1984","indirect migration background","East Germany","","","",""
"Yes","1985","no migration background","West Germany","905","0.114793495416291","0.107799902102194","0.121787088730387"
"Yes","1985","no migration background","East Germany","","","",""
"Yes","1985","direct migration background","West Germany","341","0.104267590304338","0.093222624100672","0.115312556508004"
"Yes","1985","direct migration background","East Germany","","","",""
"Yes","1985","indirect migration background","West Germany","18","","",""
"Yes","1985","indirect migration background","East Germany","","","",""
"No","1985","no migration background","West Germany","7076","0.885206504583709","0.878212911269613","0.892200097897806"
"No","1985","no migration background","East Germany","","","",""
"No","1985","direct migration background","West Germany","2600","0.895732409695662","0.884687443491996","0.906777375899328"
"No","1985","direct migration background","East Germany","","","",""
"No","1985","indirect migration background","West Germany","126","0.892091885823276","0.841416310150836","0.942767461495716"
"No","1985","indirect migration background","East Germany","","","",""
"Yes","1986","no migration background","West Germany","893","0.122555781745882","0.115187105091276","0.129924458400488"
"Yes","1986","no migration background","East Germany","","","",""
"Yes","1986","direct migration background","West Germany","387","0.130908141040924","0.1185246860567","0.143291596025148"
"Yes","1986","direct migration background","East Germany","","","",""
"Yes","1986","indirect migration background","West Germany","19","","",""
"Yes","1986","indirect migration background","East Germany","","","",""
"No","1986","no migration background","West Germany","6715","0.877444218254118","0.870075541599512","0.884812894908724"
"No","1986","no migration background","East Germany","","","",""
"No","1986","direct migration background","West Germany","2463","0.869091858959076","0.856708403974852","0.8814753139433"
"No","1986","direct migration background","East Germany","","","",""
"No","1986","indirect migration background","West Germany","137","0.769876650326204","0.703826059102773","0.835927241549635"
"No","1986","indirect migration background","East Germany","","","",""
"Yes","1987","no migration background","West Germany","903","0.126211485220475","0.118677671454502","0.133745298986448"
"Yes","1987","no migration background","East Germany","","","",""
"Yes","1987","direct migration background","West Germany","324","0.117553403688908","0.105707976124112","0.129398831253704"
"Yes","1987","direct migration background","East Germany","","","",""
"Yes","1987","indirect migration background","West Germany","16","","",""
"Yes","1987","indirect migration background","East Germany","","","",""
"No","1987","no migration background","West Germany","6561","0.873788514779525","0.866254701013552","0.881322328545498"
"No","1987","no migration background","East Germany","","","",""
"No","1987","direct migration background","West Germany","2516","0.882446596311092","0.870601168746296","0.894292023875888"
"No","1987","direct migration background","East Germany","","","",""
"No","1987","indirect migration background","West Germany","160","0.890046666082813","0.843829602698277","0.936263729467348"
"No","1987","indirect migration background","East Germany","","","",""
"Yes","1988","no migration background","West Germany","885","0.12785931425156","0.120083099000073","0.135635529503046"
"Yes","1988","no migration background","East Germany","","","",""
"Yes","1988","direct migration background","West Germany","303","0.112607770608377","0.100641972390129","0.124573568826624"
"Yes","1988","direct migration background","East Germany","","","",""
"Yes","1988","indirect migration background","West Germany","20","","",""
"Yes","1988","indirect migration background","East Germany","","","",""
"No","1988","no migration background","West Germany","6199","0.87214068574844","0.864364470496954","0.879916900999926"
"No","1988","no migration background","East Germany","","","",""
"No","1988","direct migration background","West Germany","2378","0.887392229391623","0.875426431173376","0.899358027609871"
"No","1988","direct migration background","East Germany","","","",""
"No","1988","indirect migration background","West Germany","204","0.893457029637336","0.853053126879341","0.933860932395331"
"No","1988","indirect migration background","East Germany","","","",""
"Yes","1989","no migration background","West Germany","835","0.126067717821899","0.118192952870914","0.133942482772885"
"Yes","1989","no migration background","East Germany","","","",""
