"ple0053","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","(0) in school","","","",""
"Yes","1984","1-pers.-HH","(1a) inadequately completed","11","","",""
"Yes","1984","1-pers.-HH","(1b) general elementary school","58","0.162773978641277","0.124745613593589","0.200802343688965"
"Yes","1984","1-pers.-HH","(1c) basic vocational qualification","62","0.154756192510961","0.119575847749482","0.189936537272441"
"Yes","1984","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","1984","1-pers.-HH","(2a) intermediate vocational","16","","",""
"Yes","1984","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"Yes","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1984","1-pers.-HH","(3a) lower tertiary education","4","","",""
"Yes","1984","1-pers.-HH","(3b) higher tertiary education","5","","",""
"Yes","1984","(Married) couple without C. ","(0) in school","1","","",""
"Yes","1984","(Married) couple without C. ","(1a) inadequately completed","14","","",""
"Yes","1984","(Married) couple without C. ","(1b) general elementary school","74","0.117890916818023","0.0931190397373499","0.142662793898696"
"Yes","1984","(Married) couple without C. ","(1c) basic vocational qualification","136","0.129979555511291","0.110187788455798","0.149771322566783"
"Yes","1984","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Yes","1984","(Married) couple without C. ","(2a) intermediate vocational","37","0.107394512467916","0.0751417230049085","0.139647301930924"
"Yes","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Yes","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","12","","",""
"Yes","1984","(Married) couple without C. ","(3a) lower tertiary education","7","","",""
"Yes","1984","(Married) couple without C. ","(3b) higher tertiary education","9","","",""
"Yes","1984","Single parent ","(0) in school","1","","",""
"Yes","1984","Single parent ","(1a) inadequately completed","8","","",""
"Yes","1984","Single parent ","(1b) general elementary school","15","","",""
"Yes","1984","Single parent ","(1c) basic vocational qualification","18","","",""
"Yes","1984","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","1984","Single parent ","(2a) intermediate vocational","4","","",""
"Yes","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1984","Single parent ","(3a) lower tertiary education","1","","",""
"Yes","1984","Single parent ","(3b) higher tertiary education","1","","",""
"Yes","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1984","Couple + C. LE 16 ","(1a) inadequately completed","46","0.134569621289536","0.099317405192103","0.16982183738697"
"Yes","1984","Couple + C. LE 16 ","(1b) general elementary school","76","0.112435695353403","0.0876496171776195","0.137221773529187"
"Yes","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","147","0.127592469551082","0.108483297618609","0.146701641483555"
"Yes","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","7","","",""
"Yes","1984","Couple + C. LE 16 ","(2a) intermediate vocational","58","0.142081828403065","0.107475787695082","0.176687869111047"
"Yes","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","9","","",""
"Yes","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","21","","",""
"Yes","1984","Couple + C. LE 16 ","(3a) lower tertiary education","6","","",""
"Yes","1984","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"Yes","1984","Couple + C. GT 16 ","(0) in school","3","","",""
"Yes","1984","Couple + C. GT 16 ","(1a) inadequately completed","21","","",""
"Yes","1984","Couple + C. GT 16 ","(1b) general elementary school","51","0.110237477935215","0.0812366248829177","0.139238330987513"
"Yes","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","68","0.0992467589351878","0.0765900870411249","0.121903430829251"
"Yes","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","13","","",""
"Yes","1984","Couple + C. GT 16 ","(2a) intermediate vocational","18","","",""
"Yes","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","6","","",""
"Yes","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1984","Couple + C. GT 16 ","(3a) lower tertiary education","3","","",""
"Yes","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","1984","Couple + C. LE and GT 16","(0) in school","3","","",""
