"ple0053","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","in school","9","","",""
"Yes","1984","Not Employed","inadequately","55","0.09994788776978","0.0697916658473551","0.130104109692205"
"Yes","1984","Not Employed","general elemantary","214","0.129367743609382","0.113670759679252","0.145064727539512"
"Yes","1984","Not Employed","middle vocational","248","0.130047891824356","0.114867723842523","0.145228059806188"
"Yes","1984","Not Employed","vocational + Abi","6","","",""
"Yes","1984","Not Employed","higher vocational","32","0.176344791079889","0.121574422756271","0.231115159403506"
"Yes","1984","Not Employed","higher education","14","","",""
"Yes","1984","Employed","in school","","","",""
"Yes","1984","Employed","inadequately","83","0.142745296572746","0.115601312389086","0.169889280756405"
"Yes","1984","Employed","general elemantary","190","0.11338027047225","0.0983307265323751","0.128429814412124"
"Yes","1984","Employed","middle vocational","385","0.100150692372957","0.0906433184385024","0.109658066307411"
"Yes","1984","Employed","vocational + Abi","29","","",""
"Yes","1984","Employed","higher vocational","56","0.120239298275972","0.0908977796760864","0.149580816875857"
"Yes","1984","Employed","higher education","47","0.0784761512702567","0.0575103391694631","0.0994419633710502"
"No","1984","Not Employed","in school","169","0.957130948330009","0.927373498668194","0.986888397991824"
"No","1984","Not Employed","inadequately","325","0.90005211223022","0.869895890307795","0.930208334152645"
"No","1984","Not Employed","general elemantary","1542","0.870632256390618","0.854935272460488","0.886329240320748"
"No","1984","Not Employed","middle vocational","1638","0.869952108175644","0.854771940193812","0.885132276157477"
"No","1984","Not Employed","vocational + Abi","75","0.944686501944681","0.894905343497075","0.994467660392286"
"No","1984","Not Employed","higher vocational","154","0.823655208920111","0.768884840596494","0.878425577243729"
"No","1984","Not Employed","higher education","144","0.900527547504692","0.85385951822734","0.947195576782044"
"No","1984","Employed","in school","9","","",""
"No","1984","Employed","inadequately","555","0.857254703427254","0.830110719243595","0.884398687610914"
"No","1984","Employed","general elemantary","1515","0.88661972952775","0.871570185587876","0.901669273467625"
"No","1984","Employed","middle vocational","3445","0.899849307627043","0.890341933692589","0.909356681561498"
"No","1984","Employed","vocational + Abi","201","0.908160661749954","0.870837374364809","0.9454839491351"
"No","1984","Employed","higher vocational","416","0.879760701724029","0.850419183124143","0.909102220323914"
"No","1984","Employed","higher education","585","0.921523848729743","0.90055803662895","0.942489660830537"
"Yes","1985","Not Employed","in school","14","","",""
"Yes","1985","Not Employed","inadequately","49","0.166640094704375","0.127145188135872","0.206135001272878"
"Yes","1985","Not Employed","general elemantary","214","0.145418576153805","0.127760346375146","0.163076805932463"
"Yes","1985","Not Employed","middle vocational","246","0.142633810526951","0.126112211617315","0.159155409436587"
"Yes","1985","Not Employed","vocational + Abi","7","","",""
"Yes","1985","Not Employed","higher vocational","28","","",""
"Yes","1985","Not Employed","higher education","23","","",""
"Yes","1985","Employed","in school","","","",""
"Yes","1985","Employed","inadequately","58","0.101511134226566","0.0751971855925919","0.127825082860541"
"Yes","1985","Employed","general elemantary","154","0.0855559124010379","0.0715769957634294","0.0995348290386463"
"Yes","1985","Employed","middle vocational","340","0.0945962441851575","0.0848574758771487","0.104335012493166"
"Yes","1985","Employed","vocational + Abi","19","","",""
"Yes","1985","Employed","higher vocational","52","0.110598805122346","0.0816851534031397","0.139512456841553"
"Yes","1985","Employed","higher education","49","0.080224235501293","0.0586145960914586","0.101833874911127"
"No","1985","Not Employed","in school","166","0.922420458700389","0.883340877081055","0.961500040319724"
"No","1985","Not Employed","inadequately","293","0.833359905295625","0.793864998727122","0.872854811864128"
"No","1985","Not Employed","general elemantary","1317","0.854581423846195","0.836923194067537","0.872239653624854"
"No","1985","Not Employed","middle vocational","1475","0.857366189473049","0.840844590563413","0.873887788382685"
"No","1985","Not Employed","vocational + Abi","72","0.918414293382501","0.858052671281267","0.978775915483734"
"No","1985","Not Employed","higher vocational","140","0.842750928130121","0.78770348958372","0.897798366676522"
"No","1985","Not Employed","higher education","127","0.838827283616808","0.779985680260309","0.897668886973308"
"No","1985","Employed","in school","7","","",""
"No","1985","Employed","inadequately","448","0.898488865773434","0.872174917139459","0.924802814407408"
"No","1985","Employed","general elemantary","1384","0.914444087598962","0.900465170961354","0.928423004236571"
"No","1985","Employed","middle vocational","3129","0.905403755814842","0.895664987506834","0.915142524122851"
"No","1985","Employed","vocational + Abi","182","0.931721290640657","0.896852593230507","0.966589988050806"
"No","1985","Employed","higher vocational","400","0.889401194877653","0.860487543158447","0.91831484659686"
"No","1985","Employed","higher education","558","0.919775764498707","0.898166125088873","0.941385403908541"
"Yes","1986","Not Employed","in school","15","","",""
"Yes","1986","Not Employed","inadequately","51","0.158190889537159","0.118455897456511","0.197925881617807"
"Yes","1986","Not Employed","general elemantary","198","0.140833487864805","0.122454122459339","0.159212853270271"
"Yes","1986","Not Employed","middle vocational","274","0.17374880080785","0.15534371485095","0.192153886764749"
"Yes","1986","Not Employed","vocational + Abi","12","","",""
"Yes","1986","Not Employed","higher vocational","22","","",""
"Yes","1986","Not Employed","higher education","21","","",""
"Yes","1986","Employed","in school","","","",""
