"ple0053","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","Full Time","14","","",""
"Yes","1984","Schleswig-Holstein","Part Time","7","","",""
"Yes","1984","Schleswig-Holstein","Not Working","19","","",""
"Yes","1984","Hamburg","Full Time","16","","",""
"Yes","1984","Hamburg","Part Time","4","","",""
"Yes","1984","Hamburg","Not Working","16","","",""
"Yes","1984","Lower Saxony","Full Time","45","0.0869347578753447","0.062239661882871","0.111629853867818"
"Yes","1984","Lower Saxony","Part Time","26","","",""
"Yes","1984","Lower Saxony","Not Working","66","0.120551912265351","0.0930125991099292","0.148091225420772"
"Yes","1984","Bremen","Full Time","6","","",""
"Yes","1984","Bremen","Part Time","4","","",""
"Yes","1984","Bremen","Not Working","8","","",""
"Yes","1984","North Rhine-Westphalia","Full Time","138","0.090006213724379","0.0752603816032455","0.104752045845513"
"Yes","1984","North Rhine-Westphalia","Part Time","61","0.12406548465855","0.0948172614729334","0.153313707844166"
"Yes","1984","North Rhine-Westphalia","Not Working","166","0.12884167351967","0.110795678920817","0.146887668118524"
"Yes","1984","Hesse","Full Time","54","0.0819956033425129","0.0599136032244289","0.104077603460597"
"Yes","1984","Hesse","Part Time","32","0.166911586233297","0.114706977535893","0.219116194930702"
"Yes","1984","Hesse","Not Working","58","0.113567783005218","0.0846358505092687","0.142499715501167"
"Yes","1984","Rhineland-Palatinate,Saarland","Full Time","33","0.0879474513052063","0.0593584505794852","0.116536452030927"
"Yes","1984","Rhineland-Palatinate,Saarland","Part Time","11","","",""
"Yes","1984","Rhineland-Palatinate,Saarland","Not Working","47","0.143093721762876","0.107120912801145","0.179066530724607"
"Yes","1984","Baden-Württemberg","Full Time","128","0.1070301909302","0.0893082055710739","0.124752176289327"
"Yes","1984","Baden-Württemberg","Part Time","46","0.116857106939615","0.0825585226176324","0.151155691261597"
"Yes","1984","Baden-Württemberg","Not Working","93","0.117584573788494","0.0946685679830027","0.140500579593986"
"Yes","1984","Bavaria","Full Time","104","0.107232613793354","0.0881507844059865","0.126314443180722"
"Yes","1984","Bavaria","Part Time","41","0.118249783692199","0.0848476790954712","0.151651888288926"
"Yes","1984","Bavaria","Not Working","89","0.122984502665149","0.099241630734755","0.146727374595542"
"Yes","1984","Berlin","Full Time","17","","",""
"Yes","1984","Berlin","Part Time","5","","",""
