"ple0053","year","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Male","5402","0.899323030298173","0.891701075179879","0.906944985416467","2"
"No","1984","Female","5431","0.876270882133145","0.86808730912511","0.884454455141179","2"
"Yes","1984","Male","585","0.100676969701827","0.0930550145835327","0.108298924820121","1"
"Yes","1984","Female","788","0.123729117866855","0.115545544858821","0.13191269087489","1"
"No","1985","Male","4944","0.907936413579572","0.900257833210662","0.915614993948483","2"
"No","1985","Female","4858","0.866947478186145","0.858067991053231","0.875826965319058","2"
"Yes","1985","Male","502","0.0920635864204276","0.0843850060515175","0.0997421667893377","1"
"Yes","1985","Female","762","0.133052521813855","0.124173034680942","0.141932008946769","1"
"No","1986","Male","4686","0.889433036061971","0.880955914267365","0.897910157856576","2"
"No","1986","Female","4629","0.863871801318118","0.854688772110051","0.873054830526185","2"
"Yes","1986","Male","571","0.110566963938029","0.102089842143424","0.119044085732635","1"
"Yes","1986","Female","728","0.136128198681882","0.126945169473815","0.145311227889949","1"
"No","1987","Male","4709","0.900549336429658","0.892408291070814","0.908690381788501","2"
"No","1987","Female","4528","0.851681563366489","0.84210306344369","0.861260063289289","2"
"Yes","1987","Male","482","0.0994506635703424","0.0913096182114988","0.107591708929186","1"
"Yes","1987","Female","761","0.148318436633511","0.138739936710711","0.15789693655631","1"
"No","1988","Male","4441","0.890622138510098","0.881920356937946","0.89932392008225","2"
"No","1988","Female","4340","0.858629309739066","0.84901730486106","0.868241314617072","2"
"Yes","1988","Male","501","0.109377861489902","0.10067607991775","0.118079643062054","1"
"Yes","1988","Female","707","0.141370690260934","0.131758685382928","0.15098269513894","1"
"No","1989","Male","4315","0.898782331231145","0.890220218463894","0.907344443998396","2"
"No","1989","Female","4211","0.8558061838688","0.845980373621049","0.865631994116551","2"
"Yes","1989","Male","452","0.101217668768855","0.0926555560016036","0.109779781536106","1"
"Yes","1989","Female","699","0.1441938161312","0.134368005883449","0.154019626378951","1"
"No","1990","Male","","","","","2"
"No","1990","Female","","","","","2"
"Yes","1990","Male","","","","","1"
"Yes","1990","Female","","","","","1"
"No","1991","Male","4177","0.892051110677847","0.883129038894823","0.900973182460871","2"
"No","1991","Female","4078","0.841347675947561","0.830999066693551","0.851696285201571","2"
"Yes","1991","Male","470","0.107948889322153","0.0990268175391292","0.116870961105178","1"
"Yes","1991","Female","710","0.158652324052439","0.148303714798429","0.169000933306449","1"
"No","1992","Male","5866","0.89689822104668","0.889487948590025","0.904308493503334","2"
"No","1992","Female","5975","0.859864851027996","0.851654661071775","0.868075040984217","2"
"Yes","1992","Male","603","0.10310177895332","0.0956915064966658","0.110512051409975","1"
"Yes","1992","Female","892","0.140135148972004","0.131924959015783","0.148345338928225","1"
"No","1993","Male","","","","","2"
"No","1993","Female","","","","","2"
"Yes","1993","Male","","","","","1"
"Yes","1993","Female","","","","","1"
"No","1994","Male","5651","0.89393830831191","0.886287959449663","0.901588657174157","2"
"No","1994","Female","5743","0.841637642756604","0.83288345393831","0.850391831574898","2"
"Yes","1994","Male","572","0.10606169168809","0.0984113428258429","0.113712040550337","1"
"Yes","1994","Female","938","0.158362357243396","0.149608168425102","0.16711654606169","1"
"No","1995","Male","5792","0.897473529241685","0.890047070318349","0.904899988165022","2"
"No","1995","Female","5928","0.84904809624773","0.840596068772017","0.857500123723444","2"
"Yes","1995","Male","617","0.102526470758315","0.0951000118349782","0.109952929681651","1"
"Yes","1995","Female","964","0.15095190375227","0.142499876276556","0.159403931227983","1"
"No","1996","Male","5674","0.890330970131392","0.882613073004211","0.898048867258572","2"
"No","1996","Female","5803","0.85312962242337","0.84470637053523","0.86155287431151","2"
"Yes","1996","Male","623","0.109669029868608","0.101951132741428","0.117386926995789","1"
"Yes","1996","Female","981","0.14687037757663","0.13844712568849","0.15529362946477","1"
"No","1997","Male","5592","0.890443988329859","0.882676979884264","0.898210996775455","2"
"No","1997","Female","5710","0.852838345110711","0.844324312525677","0.861352377695745","2"
"Yes","1997","Male","620","0.109556011670141","0.101789003224545","0.117323020115736","1"
"Yes","1997","Female","941","0.147161654889289","0.138647622304255","0.155675687474323","1"
"No","1998","Male","6220","0.898377565372556","0.891252379908219","0.905502750836893","2"
"No","1998","Female","6338","0.846217371378132","0.837997667242532","0.854437075513732","2"
"Yes","1998","Male","688","0.101622434627444","0.0944972491631074","0.108747620091781","1"
"Yes","1998","Female","1061","0.153782628621868","0.145562924486268","0.162002332757468","1"
"No","1999","Male","5946","0.888692465446905","0.881127584771937","0.896257346121873","2"
"No","1999","Female","6112","0.845800344812941","0.837404778202489","0.854195911423393","2"
"Yes","1999","Male","694","0.111307534553095","0.103742653878127","0.118872415228063","1"
"Yes","1999","Female","996","0.154199655187059","0.145804088576607","0.162595221797511","1"
"No","2000","Male","10426","0.893183768064139","0.887569127363673","0.898798408764605","2"
"No","2000","Female","10909","0.8647642571248","0.858790031973885","0.870738482275715","2"
"Yes","2000","Male","1200","0.106816231935861","0.101201591235395","0.112430872636327","1"
"Yes","2000","Female","1678","0.1352357428752","0.129261517724285","0.141209968026115","1"
"No","2001","Male","9469","0.893430878053779","0.887543432924139","0.89931832318342","2"
"No","2001","Female","9882","0.858719271360806","0.85233716280429","0.865101379917323","2"
"Yes","2001","Male","1083","0.106569121946221","0.10068167681658","0.112456567075861","1"
"Yes","2001","Female","1560","0.141280728639194","0.134898620082677","0.147662837195711","1"
"No","2002","Male","9956","0.887654587397918","0.881796217971508","0.893512956824328","2"
"No","2002","Female","10429","0.861949961565074","0.855764675684079","0.868135247446068","2"
"Yes","2002","Male","1206","0.112345412602082","0.106487043175672","0.118203782028492","1"
"Yes","2002","Female","1519","0.138050038434926","0.131864752553932","0.144235324315921","1"
"No","2003","Male","9553","0.888737629003792","0.88277689330124","0.894698364706344","2"
"No","2003","Female","10019","0.861336549286645","0.855026773806208","0.867646324767083","2"
"Yes","2003","Male","1138","0.111262370996208","0.105301635293656","0.11722310669876","1"
"Yes","2003","Female","1505","0.138663450713355","0.132353675232917","0.144973226193792","1"
"No","2004","Male","9292","0.885962228839412","0.879850384553054","0.89207407312577","2"
"No","2004","Female","9773","0.857217296427471","0.850760812772814","0.863673780082128","2"
"Yes","2004","Male","1098","0.114037771160588","0.10792592687423","0.120149615446946","1"
