"ple0053","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","16-34 y.","Male","2114","0.933939669821655","0.923710420375634","0.944168919267676","2"
"No","1984","35-65 y.","Male","2854","0.886820854425957","0.875866321061523","0.897775387790391","2"
"No","1984","16-34 y.","Female","2014","0.869026801438264","0.855328146293862","0.882725456582665","2"
"No","1984","35-65 y.","Female","2767","0.894751402061889","0.883983523540813","0.905519280582965","2"
"No","1984","66 and older","Male","434","0.856074471140101","0.825580506670347","0.886568435609855","2"
"No","1984","66 and older","Female","650","0.84514411931986","0.819575094820916","0.870713143818804","2"
"Yes","1984","16-34 y.","Male","151","0.0660603301783449","0.0558310807323238","0.076289579624366","1"
"Yes","1984","16-34 y.","Female","316","0.130973198561736","0.117274543417335","0.144671853706138","1"
"Yes","1984","35-65 y.","Male","359","0.113179145574043","0.102224612209609","0.124133678938477","1"
"Yes","1984","35-65 y.","Female","353","0.105248597938111","0.0944807194170351","0.116016476459187","1"
"Yes","1984","66 and older","Male","75","0.143925528859899","0.113431564390145","0.174419493329653","1"
"Yes","1984","66 and older","Female","119","0.15485588068014","0.129286856181196","0.180424905179084","1"
"No","1985","16-34 y.","Male","1953","0.935720571442536","0.925228748231744","0.946212394653327","2"
"No","1985","16-34 y.","Female","1755","0.854772628063015","0.839634868834184","0.869910387291846","2"
"No","1985","35-65 y.","Male","2613","0.904225035149232","0.893518137499253","0.914931932799211","2"
"No","1985","35-65 y.","Female","2542","0.888968957436654","0.877476920807828","0.900460994065479","2"
"No","1985","66 and older","Male","378","0.847160420938789","0.813727922674865","0.880592919202713","2"
"No","1985","66 and older","Female","561","0.835453458666237","0.807336692474271","0.863570224858204","2"
"Yes","1985","16-34 y.","Male","146","0.0642794285574644","0.053787605346673","0.0747712517682557","1"
"Yes","1985","16-34 y.","Female","326","0.145227371936985","0.130089612708154","0.160365131165816","1"
"Yes","1985","35-65 y.","Male","289","0.095774964850768","0.0850680672007889","0.106481862500747","1"
"Yes","1985","35-65 y.","Female","329","0.111031042563346","0.0995390059345212","0.122523079192172","1"
"Yes","1985","66 and older","Male","67","0.152839579061211","0.119407080797287","0.186272077325135","1"
"Yes","1985","66 and older","Female","107","0.164546541333763","0.136429775141796","0.192663307525729","1"
"No","1986","16-34 y.","Female","1705","0.856166814621131","0.840825633165546","0.871507996076716","2"
