"ple0053","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","no migration background","Urban Area","670","0.111723863409713","0.103795571014975","0.119652155804451"
"Yes","1985","no migration background","Rural Area","235","0.124207048273746","0.109438963317449","0.138975133230042"
"Yes","1985","direct migration background","Urban Area","297","0.101595893973713","0.0899674722230425","0.113224315724383"
"Yes","1985","direct migration background","Rural Area","44","0.120608271696882","0.086391565223335","0.154824978170429"
"Yes","1985","indirect migration background","Urban Area","17","","",""
"Yes","1985","indirect migration background","Rural Area","1","","",""
"No","1985","no migration background","Urban Area","5395","0.888276136590287","0.880347844195549","0.896204428985025"
"No","1985","no migration background","Rural Area","1681","0.875792951726254","0.861024866769958","0.890561036682551"
"No","1985","direct migration background","Urban Area","2296","0.898404106026287","0.886775684275617","0.910032527776957"
"No","1985","direct migration background","Rural Area","304","0.879391728303118","0.845175021829571","0.913608434776665"
"No","1985","indirect migration background","Urban Area","110","0.897188639746974","0.844367390767267","0.950009888726681"
"No","1985","indirect migration background","Rural Area","16","","",""
"Yes","1986","no migration background","Urban Area","677","0.122174420202905","0.113750701911161","0.130598138494649"
"Yes","1986","no migration background","Rural Area","216","0.123744039356136","0.108540372856038","0.138947705856234"
"Yes","1986","direct migration background","Urban Area","341","0.137854040299658","0.124323971197491","0.151384109401824"
"Yes","1986","direct migration background","Rural Area","46","0.0913152319415925","0.0613924939794301","0.121237969903755"
"Yes","1986","indirect migration background","Urban Area","17","","",""
"Yes","1986","indirect migration background","Rural Area","2","","",""
"No","1986","no migration background","Urban Area","5129","0.877825579797095","0.86940186150535","0.886249298088839"
"No","1986","no migration background","Rural Area","1586","0.876255960643864","0.861052294143766","0.891459627143962"
"No","1986","direct migration background","Urban Area","2153","0.862145959700342","0.848615890598176","0.875676028802508"
"No","1986","direct migration background","Rural Area","310","0.908684768058408","0.878762030096245","0.93860750602057"
"No","1986","indirect migration background","Urban Area","120","0.736877269214551","0.663143816470227","0.810610721958874"
"No","1986","indirect migration background","Rural Area","17","","",""
"Yes","1987","no migration background","Urban Area","683","0.12560841987556","0.116999674578156","0.134217165172964"
"Yes","1987","no migration background","Rural Area","220","0.128111312565547","0.112545812693201","0.143676812437893"
"Yes","1987","direct migration background","Urban Area","277","0.118595883478814","0.105863566786384","0.131328200171244"
"Yes","1987","direct migration background","Rural Area","47","0.111326126378088","0.078969403179857","0.143682849576319"
"Yes","1987","indirect migration background","Urban Area","14","","",""
"Yes","1987","indirect migration background","Rural Area","2","","",""
"No","1987","no migration background","Urban Area","5010","0.87439158012444","0.865782834827036","0.883000325421844"
"No","1987","no migration background","Rural Area","1551","0.871888687434453","0.856323187562107","0.887454187306799"
"No","1987","direct migration background","Urban Area","2200","0.881404116521186","0.868671799828756","0.894136433213616"
"No","1987","direct migration background","Rural Area","316","0.888673873621912","0.856317150423681","0.921030596820143"
"No","1987","indirect migration background","Urban Area","141","0.899198314295977","0.851802075228336","0.946594553363617"
"No","1987","indirect migration background","Rural Area","19","","",""
"Yes","1988","no migration background","Urban Area","690","0.130611740763999","0.121647238818301","0.139576242709697"
"Yes","1988","no migration background","Rural Area","195","0.119021180576098","0.103425196422167","0.134617164730028"
"Yes","1988","direct migration background","Urban Area","267","0.112507763949174","0.0997238136333052","0.125291714265043"
"Yes","1988","direct migration background","Rural Area","36","0.113216753958651","0.0792355355301811","0.14719797238712"
"Yes","1988","indirect migration background","Urban Area","17","","",""
"Yes","1988","indirect migration background","Rural Area","3","","",""
"No","1988","no migration background","Urban Area","4738","0.869388259236001","0.860423757290303","0.878352761181699"
"No","1988","no migration background","Rural Area","1461","0.880978819423902","0.865382835269972","0.896574803577833"
"No","1988","direct migration background","Urban Area","2080","0.887492236050826","0.874708285734957","0.900276186366695"
"No","1988","direct migration background","Rural Area","298","0.886783246041349","0.85280202761288","0.920764464469819"
"No","1988","indirect migration background","Urban Area","178","0.899914558085811","0.857791792263933","0.942037323907688"
"No","1988","indirect migration background","Rural Area","26","","",""
"Yes","1989","no migration background","Urban Area","631","0.123730776501719","0.114824734675916","0.132636818327523"
"Yes","1989","no migration background","Rural Area","204","0.133766208792368","0.116949674514522","0.150582743070214"
"Yes","1989","direct migration background","Urban Area","255","0.102268836774911","0.0898233644200222","0.114714309129801"
"Yes","1989","direct migration background","Rural Area","38","0.141626663029762","0.103122877031709","0.180130449027815"
"Yes","1989","indirect migration background","Urban Area","20","","",""
"Yes","1989","indirect migration background","Rural Area","3","","",""
"No","1989","no migration background","Urban Area","4620","0.876269223498281","0.867363181672477","0.885175265324084"
"No","1989","no migration background","Rural Area","1370","0.866233791207632","0.849417256929786","0.883050325485478"
"No","1989","direct migration background","Urban Area","2022","0.897731163225089","0.885285690870199","0.910176635579978"
"No","1989","direct migration background","Rural Area","277","0.858373336970238","0.819869550972185","0.896877122968291"
"No","1989","indirect migration background","Urban Area","208","0.912748867332072","0.876118450927143","0.949379283737002"
"No","1989","indirect migration background","Rural Area","29","","",""
"Yes","1990","no migration background","Urban Area","","","",""
"Yes","1990","no migration background","Rural Area","","","",""
"Yes","1990","direct migration background","Urban Area","","","",""
"Yes","1990","direct migration background","Rural Area","","","",""
"Yes","1990","indirect migration background","Urban Area","","","",""
"Yes","1990","indirect migration background","Rural Area","","","",""
"No","1990","no migration background","Urban Area","","","",""
"No","1990","no migration background","Rural Area","","","",""
"No","1990","direct migration background","Urban Area","","","",""
"No","1990","direct migration background","Rural Area","","","",""
"No","1990","indirect migration background","Urban Area","","","",""
"No","1990","indirect migration background","Rural Area","","","",""
"Yes","1991","no migration background","Urban Area","664","0.137334858508446","0.127794282281823","0.146875434735068"
"Yes","1991","no migration background","Rural Area","204","0.135862284518645","0.119041553378383","0.152683015658907"
"Yes","1991","direct migration background","Urban Area","240","0.114533333865733","0.101174354387812","0.127892313343655"
"Yes","1991","direct migration background","Rural Area","45","0.156977922177088","0.116417019304571","0.197538825049604"
"Yes","1991","indirect migration background","Urban Area","25","","",""
"Yes","1991","indirect migration background","Rural Area","2","","",""
"No","1991","no migration background","Urban Area","4336","0.862665141491554","0.853124565264932","0.872205717718177"
"No","1991","no migration background","Rural Area","1390","0.864137715481355","0.847316984341093","0.880958446621617"
"No","1991","direct migration background","Urban Area","1943","0.885466666134267","0.872107686656346","0.898825645612188"
"No","1991","direct migration background","Rural Area","264","0.843022077822912","0.802461174950396","0.883582980695429"
"No","1991","indirect migration background","Urban Area","282","0.896580676176314","0.862518339485407","0.930643012867222"
"No","1991","indirect migration background","Rural Area","40","0.952829789620598","0.888713996968966","1.01694558227223"
"Yes","1992","no migration background","Urban Area","717","0.12056952009353","0.112517244175482","0.128621796011578"
"Yes","1992","no migration background","Rural Area","439","0.127980439769799","0.117584783691532","0.138376095848066"
"Yes","1992","direct migration background","Urban Area","238","0.118510053676928","0.104882842481673","0.132137264872183"
"Yes","1992","direct migration background","Rural Area","43","0.105933100819087","0.0756982795506986","0.136167922087476"
