"ple0053","year","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","581","0.125843793642046","0.116313813660533","0.13537377362356"
"Yes","1984","Employed","792","0.102769176744535","0.0959210485774318","0.109617304911637"
"No","1984","Not Employed","4072","0.874156206357954","0.86462622637644","0.883686186339467"
"No","1984","Employed","6761","0.897230823255465","0.890382695088363","0.904078951422568"
"Yes","1985","Not Employed","589","0.141968532122631","0.131439509258449","0.152497554986813"
"Yes","1985","Employed","675","0.0917212747960014","0.0848836388080161","0.0985589107839868"
"No","1985","Not Employed","3632","0.858031467877369","0.847502445013187","0.868560490741551"
"No","1985","Employed","6170","0.908278725203999","0.901441089216013","0.915116361191984"
"Yes","1986","Not Employed","597","0.155339558755791","0.144010345509642","0.16666877200194"
"Yes","1986","Employed","702","0.100441995357819","0.0932374814925997","0.107646509223038"
"No","1986","Not Employed","3330","0.844660441244209","0.83333122799806","0.855989654490358"
"No","1986","Employed","5985","0.899558004642181","0.892353490776962","0.9067625185074"
"Yes","1987","Not Employed","555","0.157386297633935","0.14578329888726","0.16898929638061"
"Yes","1987","Employed","688","0.102249675923653","0.0949928095873737","0.109506542259932"
"No","1987","Not Employed","3229","0.842613702366065","0.83101070361939","0.85421670111274"
"No","1987","Employed","6008","0.897750324076347","0.890493457740068","0.905007190412626"
"Yes","1988","Not Employed","542","0.159157290711586","0.147131907115562","0.17118267430761"
"Yes","1988","Employed","666","0.102978058260086","0.0955516051180071","0.110404511402165"
"No","1988","Not Employed","3013","0.840842709288414","0.82881732569239","0.852868092884438"
"No","1988","Employed","5768","0.897021941739914","0.889595488597835","0.904448394881993"
"Yes","1989","Not Employed","502","0.156498776996124","0.144325530371689","0.168672023620558"
"Yes","1989","Employed","649","0.100844682763559","0.0933822867141158","0.108307078813003"
"No","1989","Not Employed","2920","0.843501223003876","0.831327976379442","0.855674469628311"
"No","1989","Employed","5606","0.899155317236441","0.891692921186997","0.906617713285884"
"Yes","1990","Not Employed","","","",""
"Yes","1990","Employed","","","",""
"No","1990","Not Employed","","","",""
"No","1990","Employed","","","",""
"Yes","1991","Not Employed","538","0.179408372298796","0.166221016722847","0.192595727874746"
"Yes","1991","Employed","642","0.105169312954421","0.0975228001381241","0.112815825770718"
"No","1991","Not Employed","2714","0.820591627701204","0.807404272125254","0.833778983277153"
"No","1991","Employed","5541","0.894830687045579","0.887184174229282","0.902477199861876"
"Yes","1992","Not Employed","636","0.167986105445786","0.156745060201941","0.179227150689632"
"Yes","1992","Employed","859","0.0944431482468311","0.0884302906938419","0.10045600579982"
"No","1992","Not Employed","3613","0.832013894554214","0.820772849310368","0.843254939798059"
"No","1992","Employed","8228","0.905556851753169","0.89954399420018","0.911569709306158"
"Yes","1993","Not Employed","","","",""
"Yes","1993","Employed","","","",""
"No","1993","Not Employed","","","",""
"No","1993","Employed","","","",""
"Yes","1994","Not Employed","718","0.184670554221149","0.173420480175668","0.195920628266629"
