"ple0053","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","Male","164","0.129153055511781","0.111054290054171","0.147251820969391"
"Yes","1984","Not Employed","Female","417","0.12449444105781","0.113287947982934","0.135700934132686"
"Yes","1984","Employed","Male","421","0.0901137329830162","0.0818994111770491","0.0983280547889832"
"Yes","1984","Employed","Female","371","0.122636116083526","0.110666664490428","0.134605567676623"
"No","1984","Not Employed","Male","1155","0.870846944488219","0.852748179030609","0.888945709945829"
"No","1984","Not Employed","Female","2917","0.87550555894219","0.864299065867314","0.886712052017066"
"No","1984","Employed","Male","4247","0.909886267016984","0.901671945211017","0.918100588822951"
"No","1984","Employed","Female","2514","0.877363883916475","0.865394432323377","0.889333335509572"
"Yes","1985","Not Employed","Male","157","0.129917500150526","0.111173904786089","0.148661095514962"
"Yes","1985","Not Employed","Female","432","0.147148642264522","0.134440246665463","0.159857037863581"
"Yes","1985","Employed","Male","345","0.0773373807472163","0.0692683153414218","0.0854064461530108"
"Yes","1985","Employed","Female","330","0.113625260249728","0.101508014604519","0.125742505894937"
"No","1985","Not Employed","Male","1079","0.870082499849474","0.851338904485037","0.888826095213911"
"No","1985","Not Employed","Female","2553","0.852851357735478","0.840142962136419","0.865559753334537"
"No","1985","Employed","Male","3865","0.922662619252784","0.914593553846989","0.930731684658578"
"No","1985","Employed","Female","2305","0.886374739750272","0.874257494105063","0.898491985395481"
"Yes","1986","Not Employed","Male","184","0.164707462169055","0.143562092045143","0.185852832292967"
"Yes","1986","Not Employed","Female","413","0.151238884464221","0.137835903932375","0.164641864996067"
"Yes","1986","Employed","Male","387","0.0898888053802383","0.0811069897108996","0.0986706210495771"
"Yes","1986","Employed","Female","315","0.116307254661263","0.104012622156659","0.128601887165867"
"No","1986","Not Employed","Male","998","0.835292537830945","0.814147167707033","0.856437907954857"
"No","1986","Not Employed","Female","2332","0.848761115535779","0.835358135003933","0.862164096067625"
"No","1986","Employed","Male","3688","0.910111194619762","0.901329378950423","0.9188930102891"
"No","1986","Employed","Female","2297","0.883692745338737","0.871398112834133","0.895987377843341"
"Yes","1987","Not Employed","Male","148","0.147834714048597","0.127130857390032","0.168538570707161"
"Yes","1987","Not Employed","Female","407","0.161508406857174","0.147510511220525","0.175506302493824"
"Yes","1987","Employed","Male","334","0.0819797053215998","0.0735432997649555","0.0904161108782442"
"Yes","1987","Employed","Female","354","0.132078187967886","0.119148261407346","0.145008114528426"
"No","1987","Not Employed","Male","981","0.852165285951403","0.831461429292839","0.872869142609968"
"No","1987","Not Employed","Female","2248","0.838491593142826","0.824493697506176","0.852489488779476"
"No","1987","Employed","Male","3728","0.9180202946784","0.909583889121756","0.926456700235045"
"No","1987","Employed","Female","2280","0.867921812032114","0.854991885471574","0.880851738592654"
"Yes","1988","Not Employed","Male","166","0.168763631888844","0.146456919778988","0.191070343998701"
"Yes","1988","Not Employed","Female","376","0.154778607698569","0.14052041217786","0.169036803219277"
"Yes","1988","Employed","Male","335","0.0872415884763863","0.0783383008054753","0.0961448761472972"
"Yes","1988","Employed","Female","331","0.125604925297134","0.112804728097431","0.138405122496837"
"No","1988","Not Employed","Male","917","0.831236368111155","0.808929656001299","0.853543080221012"
"No","1988","Not Employed","Female","2096","0.845221392301431","0.830963196780723","0.85947958782214"
"No","1988","Employed","Male","3524","0.912758411523614","0.903855123852703","0.921661699194525"
"No","1988","Employed","Female","2244","0.874395074702866","0.861594877503163","0.887195271902569"
"Yes","1989","Not Employed","Male","131","0.142031278280044","0.121036390472","0.163026166088087"
"Yes","1989","Not Employed","Female","371","0.163211757622655","0.148301827946906","0.178121687298404"
"Yes","1989","Employed","Male","321","0.0858186631115147","0.0767996081666971","0.0948377180563322"
"Yes","1989","Employed","Female","328","0.122207715968205","0.109495443464341","0.13491998847207"
"No","1989","Not Employed","Male","931","0.857968721719956","0.836973833911913","0.878963609528"
"No","1989","Not Employed","Female","1989","0.836788242377345","0.821878312701596","0.851698172053094"
"No","1989","Employed","Male","3384","0.914181336888485","0.905162281943668","0.923200391833303"
"No","1989","Employed","Female","2222","0.877792284031795","0.86508001152793","0.890504556535659"
"Yes","1990","Not Employed","Male","","","",""
"Yes","1990","Not Employed","Female","","","",""
"Yes","1990","Employed","Male","","","",""
"Yes","1990","Employed","Female","","","",""
"No","1990","Not Employed","Male","","","",""
"No","1990","Not Employed","Female","","","",""
"No","1990","Employed","Male","","","",""
"No","1990","Employed","Female","","","",""
"Yes","1991","Not Employed","Male","162","0.174914279452156","0.15181478445457","0.198013774449743"
"Yes","1991","Not Employed","Female","376","0.181510645708927","0.165451776815199","0.197569514602656"
"Yes","1991","Employed","Male","308","0.0838647033281026","0.0748202100147875","0.0929091966414177"
"Yes","1991","Employed","Female","334","0.134476560364707","0.121299389198539","0.147653731530875"
"No","1991","Not Employed","Male","877","0.825085720547844","0.801986225550257","0.84818521554543"
"No","1991","Not Employed","Female","1837","0.818489354291073","0.802430485397344","0.834548223184801"
"No","1991","Employed","Male","3300","0.916135296671898","0.907090803358582","0.925179789985213"
"No","1991","Employed","Female","2241","0.865523439635293","0.852346268469125","0.878700610801461"
"Yes","1992","Not Employed","Male","208","0.172984361736134","0.152926574324605","0.193042149147663"
"Yes","1992","Not Employed","Female","428","0.165577708096866","0.152009588838333","0.1791458273554"
"Yes","1992","Employed","Male","395","0.0787846742183001","0.0713931031679222","0.0861762452686779"
"Yes","1992","Employed","Female","464","0.115466467430998","0.105542769949308","0.125390164912687"
"No","1992","Not Employed","Male","1158","0.827015638263866","0.806957850852337","0.847073425675395"
"No","1992","Not Employed","Female","2455","0.834422291903134","0.8208541726446","0.847990411161667"
"No","1992","Employed","Male","4708","0.9212153257817","0.913823754731322","0.928606896832078"
"No","1992","Employed","Female","3520","0.884533532569002","0.874609835087313","0.894457230050692"
"Yes","1993","Not Employed","Male","","","",""
"Yes","1993","Not Employed","Female","","","",""
"Yes","1993","Employed","Male","","","",""
"Yes","1993","Employed","Female","","","",""
"No","1993","Not Employed","Male","","","",""
"No","1993","Not Employed","Female","","","",""
"No","1993","Employed","Male","","","",""
"No","1993","Employed","Female","","","",""
"Yes","1994","Not Employed","Male","228","0.176059989020821","0.157006608858231","0.195113369183412"
"Yes","1994","Not Employed","Female","490","0.18913576117793","0.175203242216171","0.203068280139689"
"Yes","1994","Employed","Male","344","0.0773225631516591","0.0696765971821428","0.0849685291211755"
"Yes","1994","Employed","Female","448","0.125549860181608","0.114794736691215","0.136304983672001"
"No","1994","Not Employed","Male","1307","0.823940010979179","0.804886630816588","0.842993391141769"
