"ple0053","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","higher education","729","0.916784453115412","0.897523826986838","0.936045079243986","2"
"No","1984","higher vocational","570","0.861907155596529","0.835546817576222","0.888267493616837","2"
"No","1984","general elemantary","3057","0.876905682218569","0.865960002493784","0.887851361943355","2"
"No","1984","inadequately","880","0.87643682262874","0.856221576025172","0.896652069232309","2"
"No","1984","in school","178","0.95958014248117","0.931353104803686","0.987807180158653","2"
"No","1984","middle vocational","5083","0.888489694646277","0.880329778779799","0.896649610512755","2"
"No","1984","vocational + Abi","276","0.919680709923943","0.889474490993151","0.949886928854735","2"
"Yes","1984","in school","9","","","","1"
"Yes","1984","inadequately","138","0.12356317737126","0.103347930767691","0.143778423974828","1"
"Yes","1984","general elemantary","404","0.123094317781431","0.112148638056645","0.134039997506216","1"
"Yes","1984","middle vocational","633","0.111510305353723","0.103350389487244","0.119670221220201","1"
"Yes","1984","vocational + Abi","35","0.0803192900760572","0.0501130711452652","0.110525509006849","1"
"Yes","1984","higher vocational","88","0.138092844403471","0.111732506383163","0.164453182423778","1"
"Yes","1984","higher education","61","0.0832155468845877","0.0639549207560135","0.102476173013162","1"
"No","1985","higher education","685","0.90147709017532","0.880247279882448","0.922706900468191","2"
"No","1985","higher vocational","540","0.874990919175177","0.848957884302353","0.901023954048001","2"
"No","1985","vocational + Abi","254","0.92708323033969","0.896629384270924","0.957537076408457","2"
"No","1985","general elemantary","2701","0.878566989758294","0.86701104470713","0.890122934809458","2"
"No","1985","middle vocational","4604","0.887030369372453","0.878418161357328","0.895642577387578","2"
"No","1985","inadequately","741","0.866261642529926","0.843352823595281","0.889170461464571","2"
"No","1985","in school","173","0.925780941225081","0.888211120137574","0.963350762312588","2"
"Yes","1985","in school","14","","","","1"
"Yes","1985","inadequately","107","0.133738357470074","0.110829538535429","0.156647176404719","1"
"Yes","1985","general elemantary","368","0.121433010241706","0.109877065190542","0.13298895529287","1"
"Yes","1985","middle vocational","586","0.112969630627547","0.104357422612422","0.121581838642672","1"
"Yes","1985","vocational + Abi","26","","","","1"
"Yes","1985","higher vocational","80","0.125009080824823","0.0989760459519986","0.151042115697647","1"
"Yes","1985","higher education","72","0.09852290982468","0.0772930995318084","0.119752720117552","1"
"No","1986","higher education","676","0.893255268067532","0.871155970085654","0.91535456604941","2"
"No","1986","higher vocational","508","0.87517756426667","0.848302195061121","0.902052933472218","2"
"No","1986","general elemantary","2551","0.873945409194803","0.86189849499149","0.885992323398116","2"
"No","1986","vocational + Abi","245","0.915869697485413","0.883121558843356","0.948617836127471","2"
"No","1986","inadequately","677","0.865100938658342","0.841249046462898","0.888952830853786","2"
"No","1986","in school","173","0.922369731259297","0.884119221044008","0.960620241474586","2"
"No","1986","middle vocational","4384","0.872121840050961","0.862867125718938","0.881376554382985","2"
"Yes","1986","in school","15","","","","1"
"Yes","1986","inadequately","111","0.134899061341658","0.111047169146214","0.158750953537102","1"
"Yes","1986","general elemantary","365","0.126054590805197","0.114007676601884","0.13810150500851","1"
"Yes","1986","middle vocational","618","0.127878159949039","0.118623445617015","0.137132874281062","1"
"Yes","1986","vocational + Abi","31","0.0841303025145869","0.0513821638725294","0.116878441156645","1"
"Yes","1986","higher vocational","73","0.12482243573333","0.0979470665277816","0.151697804938879","1"
"Yes","1986","higher education","74","0.106744731932468","0.0846454339505903","0.128844029914346","1"
"No","1987","higher education","663","0.878303510861234","0.854795546795548","0.901811474926919","2"
"No","1987","higher vocational","495","0.881674154583788","0.855088312262341","0.908259996905235","2"
"No","1987","inadequately","666","0.875092988805353","0.851603353553752","0.898582624056954","2"
"No","1987","general elemantary","2493","0.865547106720466","0.853020533046972","0.87807368039396","2"
"No","1987","vocational + Abi","253","0.891720827623367","0.855193944744972","0.928247710501762","2"
"No","1987","middle vocational","4380","0.876067910805374","0.866905324690681","0.885230496920066","2"
"No","1987","in school","176","0.914329674666719","0.874638127950418","0.954021221383021","2"
"Yes","1987","in school","15","","","","1"
"Yes","1987","inadequately","95","0.124907011194647","0.101417375943046","0.148396646446248","1"
"Yes","1987","general elemantary","356","0.134452893279534","0.12192631960604","0.146979466953028","1"
"Yes","1987","middle vocational","588","0.123932089194626","0.114769503079934","0.133094675309319","1"
"Yes","1987","vocational + Abi","25","","","","1"
"Yes","1987","higher vocational","72","0.118325845416212","0.0917400030947649","0.144911687737659","1"
"Yes","1987","higher education","80","0.121696489138766","0.0981885250730807","0.145204453204452","1"
"No","1988","higher education","634","0.895548554133689","0.872907800518028","0.91818930774935","2"
"No","1988","higher vocational","457","0.847412571426628","0.817055453562233","0.877769689291022","2"
"No","1988","general elemantary","2366","0.85989225527341","0.846874373264501","0.872910137282319","2"
"No","1988","inadequately","606","0.867844291257501","0.842738531265383","0.892950051249619","2"
"No","1988","middle vocational","4199","0.878091452631109","0.86877724589455","0.887405659367669","2"
"No","1988","vocational + Abi","243","0.914172272932452","0.880822623442883","0.94752192242202","2"
"No","1988","in school","145","0.88005717332506","0.83002686640594","0.930087480244179","2"
"Yes","1988","in school","17","","","","1"
"Yes","1988","inadequately","93","0.132155708742499","0.107049948750381","0.157261468734617","1"
"Yes","1988","general elemantary","365","0.14010774472659","0.127089862717681","0.153125626735499","1"
"Yes","1988","middle vocational","541","0.121908547368891","0.112594340632331","0.13122275410545","1"
"Yes","1988","vocational + Abi","28","","","","1"
"Yes","1988","higher vocational","82","0.152587428573372","0.122230310708978","0.182944546437767","1"
"Yes","1988","higher education","67","0.104451445866311","0.0818106922506501","0.127092199481972","1"
"No","1989","higher education","646","0.911045077494935","0.889910837844949","0.932179317144921","2"
"No","1989","higher vocational","455","0.883972436976924","0.856286037643614","0.911658836310233","2"
"No","1989","inadequately","564","0.856718216894082","0.829907362075897","0.883529071712267","2"
"No","1989","general elemantary","2244","0.861629027163026","0.848310609508292","0.874947444817759","2"
"No","1989","middle vocational","4070","0.874950435014068","0.865415473100422","0.884485396927713","2"
"No","1989","vocational + Abi","259","0.892568554455527","0.856928726985034","0.928208381926019","2"
"No","1989","in school","163","0.944975476016054","0.910996252093168","0.97895469993894","2"
"Yes","1989","in school","10","","","","1"
"Yes","1989","inadequately","92","0.143281783105918","0.116470928287734","0.170092637924103","1"
"Yes","1989","general elemantary","338","0.138370972836974","0.125052555182241","0.151689390491708","1"
"Yes","1989","middle vocational","553","0.125049564985932","0.115514603072287","0.134584526899578","1"
"Yes","1989","vocational + Abi","31","0.107431445544473","0.0717916180739806","0.143071273014966","1"
"Yes","1989","higher vocational","59","0.116027563023076","0.0883411636897672","0.143713962356386","1"
"Yes","1989","higher education","51","0.0889549225050648","0.0678206828550791","0.110089162155051","1"
"No","1990","general elemantary","","","","","2"
"No","1990","inadequately","","","","","2"
"No","1990","higher education","","","","","2"
"No","1990","higher vocational","","","","","2"
"No","1990","in school","","","","","2"
"No","1990","middle vocational","","","","","2"
"No","1990","vocational + Abi","","","","","2"
"Yes","1990","in school","","","","","1"
"Yes","1990","inadequately","","","","","1"
"Yes","1990","general elemantary","","","","","1"
"Yes","1990","middle vocational","","","","","1"
"Yes","1990","vocational + Abi","","","","","1"
"Yes","1990","higher vocational","","","","","1"
"Yes","1990","higher education","","","","","1"
"No","1991","general elemantary","2087","0.848444726795057","0.834137128661049","0.862752324929065","2"
"No","1991","inadequately","554","0.859555030730994","0.832249989565974","0.886860071896014","2"
"No","1991","higher vocational","446","0.874911583149274","0.846422803750309","0.903400362548238","2"
"No","1991","higher education","650","0.893292081530664","0.870756149458155","0.915828013603173","2"
"No","1991","in school","142","0.922310134599416","0.879472731364913","0.965147537833918","2"
"No","1991","middle vocational","3980","0.868382714377487","0.85854866884935","0.878216759905625","2"
"No","1991","vocational + Abi","257","0.839374634848925","0.798300929071901","0.880448340625948","2"
"Yes","1991","in school","8","","","","1"
"Yes","1991","inadequately","68","0.140444969269006","0.113139928103986","0.167750010434026","1"
"Yes","1991","general elemantary","326","0.151555273204943","0.137247675070935","0.165862871338951","1"
"Yes","1991","middle vocational","560","0.131617285622513","0.121783240094375","0.14145133115065","1"
"Yes","1991","vocational + Abi","50","0.160625365151075","0.119551659374052","0.201699070928099","1"
"Yes","1991","higher vocational","72","0.125088416850726","0.0965996374517617","0.153577196249691","1"
"Yes","1991","higher education","71","0.106707918469336","0.0841719863968274","0.129243850541845","1"
"No","1992","general elemantary","2452","0.865399628644284","0.852749032582368","0.878050224706199","2"
"No","1992","inadequately","567","0.910609337199815","0.888330632112606","0.932888042287023","2"
"No","1992","higher education","1502","0.904621016669243","0.890456467685706","0.918785565652779","2"
"No","1992","higher vocational","680","0.882182017665543","0.859381097604008","0.904982937727078","2"
"No","1992","in school","172","0.916662890210882","0.877048650062085","0.956277130359679","2"
"No","1992","middle vocational","5951","0.87370675294108","0.865768767682746","0.881644738199414","2"
"No","1992","vocational + Abi","345","0.874563400400484","0.841478829083831","0.907647971717137","2"
"Yes","1992","in school","15","","","","1"
"Yes","1992","inadequately","63","0.0893906628001855","0.0671119577129768","0.111669367887394","1"
"Yes","1992","general elemantary","344","0.134600371355716","0.121949775293801","0.147250967417632","1"
"Yes","1992","middle vocational","776","0.12629324705892","0.118355261800586","0.134231232317254","1"
"Yes","1992","vocational + Abi","40","0.125436599599516","0.0923520282828634","0.158521170916169","1"
"Yes","1992","higher vocational","88","0.117817982334457","0.0950170622729219","0.140618902395992","1"
"Yes","1992","higher education","150","0.0953789833307572","0.0812144343472205","0.109543532314294","1"
"No","1993","inadequately","","","","","2"
"No","1993","general elemantary","","","","","2"
"No","1993","higher vocational","","","","","2"
"No","1993","higher education","","","","","2"
"No","1993","in school","","","","","2"
"No","1993","middle vocational","","","","","2"
"No","1993","vocational + Abi","","","","","2"
"Yes","1993","general elemantary","","","","","1"
"Yes","1993","middle vocational","","","","","1"
"Yes","1993","vocational + Abi","","","","","1"
"Yes","1993","higher vocational","","","","","1"
"Yes","1993","higher education","","","","","1"
"Yes","1993","in school","","","","","1"
"Yes","1993","inadequately","","","","","1"
"No","1994","in school","225","0.944099760056054","0.914913705352204","0.973285814759905","2"
"No","1994","general elemantary","2183","0.853771585829278","0.839937696682173","0.867605474976382","2"
"No","1994","inadequately","484","0.870448243570315","0.84256048417994","0.898336002960689","2"
