"plh0206i01","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","(0) in school","","","",""
"1 Strongly disagree","2005","Full Time","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Full Time","(1b) general elementary school","2","","",""
"1 Strongly disagree","2005","Full Time","(1c) basic vocational qualification","4","","",""
"1 Strongly disagree","2005","Full Time","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Full Time","(2a) intermediate vocational","3","","",""
"1 Strongly disagree","2005","Full Time","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","Full Time","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","Full Time","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","Full Time","(3b) higher tertiary education","3","","",""
"1 Strongly disagree","2005","Part Time","(0) in school","","","",""
"1 Strongly disagree","2005","Part Time","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","Part Time","(1b) general elementary school","1","","",""
"1 Strongly disagree","2005","Part Time","(1c) basic vocational qualification","4","","",""
"1 Strongly disagree","2005","Part Time","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Part Time","(2a) intermediate vocational","2","","",""
"1 Strongly disagree","2005","Part Time","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","Part Time","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","Part Time","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","Part Time","(3b) higher tertiary education","1","","",""
"1 Strongly disagree","2005","Not Working","(0) in school","1","","",""
"1 Strongly disagree","2005","Not Working","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","Not Working","(1b) general elementary school","3","","",""
"1 Strongly disagree","2005","Not Working","(1c) basic vocational qualification","6","","",""
"1 Strongly disagree","2005","Not Working","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Not Working","(2a) intermediate vocational","3","","",""
"1 Strongly disagree","2005","Not Working","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Not Working","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","Not Working","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2005","Full Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Full Time","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","Full Time","(1b) general elementary school","4","","",""
"2 on scale 1-7 ","2005","Full Time","(1c) basic vocational qualification","4","","",""
"2 on scale 1-7 ","2005","Full Time","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","Full Time","(2a) intermediate vocational","6","","",""
"2 on scale 1-7 ","2005","Full Time","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","Full Time","(2c_voc) vocational maturity certificate","2","","",""
"2 on scale 1-7 ","2005","Full Time","(3a) lower tertiary education","4","","",""
"2 on scale 1-7 ","2005","Full Time","(3b) higher tertiary education","2","","",""
"2 on scale 1-7 ","2005","Part Time","(0) in school","","","",""
"2 on scale 1-7 ","2005","Part Time","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2005","Part Time","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2005","Part Time","(1c) basic vocational qualification","1","","",""
"2 on scale 1-7 ","2005","Part Time","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","Part Time","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","Part Time","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2005","Part Time","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2005","Part Time","(3a) lower tertiary education","1","","",""
"2 on scale 1-7 ","2005","Part Time","(3b) higher tertiary education","1","","",""
"2 on scale 1-7 ","2005","Not Working","(0) in school","","","",""
"2 on scale 1-7 ","2005","Not Working","(1a) inadequately completed","1","","",""
"2 on scale 1-7 ","2005","Not Working","(1b) general elementary school","7","","",""
"2 on scale 1-7 ","2005","Not Working","(1c) basic vocational qualification","5","","",""
"2 on scale 1-7 ","2005","Not Working","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","Not Working","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","Not Working","(2c_gen) general maturity certificate","2","","",""
"2 on scale 1-7 ","2005","Not Working","(2c_voc) vocational maturity certificate","","","",""
