"ple0014","year","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1676","0.0991844142023772","0.0948329364710588","0.103535891933696"
"No","2009","16450","0.900815585797623","0.896464108066304","0.905167063528941"
"Yes","2010","","","",""
"No","2010","","","",""
"Yes","2011","1996","0.101027314347173","0.096937688365989","0.105116940328357"
"No","2011","18864","0.898972685652827","0.894883059671643","0.903062311634011"
"Yes","2012","","","",""
"No","2012","","","",""
"Yes","2013","1971","0.113141947740711","0.108634384160973","0.117649511320449"
"No","2013","17000","0.886858052259289","0.882350488679551","0.891365615839027"
"Yes","2014","","","",""
"No","2014","","","",""
"Yes","2015","2107","0.102407693274354","0.0986621714156538","0.106153215133054"
"No","2015","23063","0.897592306725646","0.893846784866946","0.901337828584346"
"Yes","2016","","","",""
"No","2016","","","",""
"Yes","2017","2176","0.0981434361089086","0.0945764218126376","0.10171045040518"
"No","2017","24547","0.901856563891091","0.898289549594821","0.905423578187362"
"Yes","2018","","","",""
"No","2018","","","",""
"Yes","2019","2331","0.102010669681156","0.0983232349440021","0.105698104418309"
"No","2019","23549","0.897989330318844","0.894301895581691","0.901676765055998"
