"ple0014","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","Part Time","212","0.844591967561063","0.799592370822834","0.889591564299291","2"
"No","2009","66 and older","Not Working","2847","0.71028301336529","0.696053308896252","0.724512717834328","2"
"No","2009","16-34 y.","Full Time","1716","0.990783351125459","0.986286855007222","0.995279847243696","2"
"No","2009","16-34 y.","Not Working","1027","0.983081079406978","0.975239179185666","0.990922979628289","2"
"No","2009","35-65 y.","Full Time","5019","0.961503206888979","0.956280545447675","0.966725868330284","2"
"No","2009","35-65 y.","Part Time","2635","0.958275896283877","0.950803815025689","0.965747977542065","2"
"No","2009","66 and older","Full Time","54","0.800800493377009","0.704443682328602","0.897157304425415","2"
"No","2009","16-34 y.","Part Time","1216","0.984754073378799","0.977912065930103","0.991596080827494","2"
"No","2009","35-65 y.","Not Working","1724","0.879388903754442","0.864885584608508","0.893892222900375","2"
"Yes","2009","16-34 y.","Full Time","19","","","","1"
"Yes","2009","16-34 y.","Part Time","16","","","","1"
"Yes","2009","16-34 y.","Not Working","12","","","","1"
"Yes","2009","35-65 y.","Full Time","194","0.0384967931110205","0.0332741316697159","0.0437194545523252","1"
"Yes","2009","35-65 y.","Part Time","116","0.0417241037161227","0.0342520224579346","0.0491961849743109","1"
"Yes","2009","35-65 y.","Not Working","213","0.120611096245558","0.106107777099625","0.135114415391492","1"
"Yes","2009","66 and older","Full Time","12","","","","1"
"Yes","2009","66 and older","Part Time","37","0.155408032438937","0.110408435700709","0.200407629177166","1"
"Yes","2009","66 and older","Not Working","1057","0.28971698663471","0.275487282165672","0.303946691103748","1"
"No","2010","16-34 y.","Full Time","","","","","2"
"No","2010","16-34 y.","Not Working","","","","","2"
"No","2010","35-65 y.","Full Time","","","","","2"
"No","2010","35-65 y.","Part Time","","","","","2"
"No","2010","66 and older","Full Time","","","","","2"
"No","2010","66 and older","Part Time","","","","","2"
"No","2010","66 and older","Not Working","","","","","2"
"No","2010","16-34 y.","Part Time","","","","","2"
"No","2010","35-65 y.","Not Working","","","","","2"
"Yes","2010","16-34 y.","Full Time","","","","","1"
"Yes","2010","16-34 y.","Part Time","","","","","1"
"Yes","2010","16-34 y.","Not Working","","","","","1"
"Yes","2010","35-65 y.","Full Time","","","","","1"
"Yes","2010","35-65 y.","Part Time","","","","","1"
"Yes","2010","35-65 y.","Not Working","","","","","1"
"Yes","2010","66 and older","Full Time","","","","","1"
"Yes","2010","66 and older","Part Time","","","","","1"
"Yes","2010","66 and older","Not Working","","","","","1"
"No","2011","16-34 y.","Full Time","1832","0.989887889225198","0.985337421338202","0.994438357112194","2"
"No","2011","16-34 y.","Part Time","1324","0.994488638119463","0.99052175493932","0.998455521299606","2"
"No","2011","16-34 y.","Not Working","1100","0.978605766653343","0.970101283075299","0.987110250231388","2"
"No","2011","35-65 y.","Full Time","5638","0.956539382562128","0.951332355709343","0.961746409414913","2"
"No","2011","35-65 y.","Part Time","3124","0.959224211340238","0.952420669121163","0.966027753559314","2"
"No","2011","66 and older","Full Time","49","0.742226629478715","0.634216345650468","0.850236913306962","2"
"No","2011","66 and older","Part Time","262","0.832427384127852","0.791506236420156","0.873348531835548","2"
"No","2011","66 and older","Not Working","3585","0.74128570364516","0.728905891453375","0.753665515836946","2"
"No","2011","35-65 y.","Not Working","1950","0.858825437722397","0.84436376073084","0.873287114713954","2"
"Yes","2011","16-34 y.","Full Time","25","","","","1"
"Yes","2011","16-34 y.","Part Time","14","","","","1"
"Yes","2011","16-34 y.","Not Working","12","","","","1"
"Yes","2011","35-65 y.","Full Time","252","0.0434606174378718","0.0382535905850872","0.0486676442906565","1"
"Yes","2011","35-65 y.","Part Time","122","0.0407757886597616","0.0339722464406861","0.0475793308788371","1"
"Yes","2011","35-65 y.","Not Working","277","0.141174562277603","0.126712885286046","0.15563623926916","1"
"Yes","2011","66 and older","Full Time","14","","","","1"
"Yes","2011","66 and older","Part Time","58","0.167572615872148","0.126651468164452","0.208493763579844","1"
"Yes","2011","66 and older","Not Working","1222","0.25871429635484","0.246334484163054","0.271094108546625","1"
"No","2012","16-34 y.","Full Time","","","","","2"
"No","2012","16-34 y.","Part Time","","","","","2"
