"ple0014","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","West Germany","32","0.0114365772663841","0.00760933419886198","0.0152638203339063"
"Yes","2009","16-34 y.","East Germany","15","","",""
"Yes","2009","35-65 y.","West Germany","377","0.054901285500845","0.0497484684167425","0.0600541025849475"
"Yes","2009","35-65 y.","East Germany","146","0.0599794965111024","0.050467841519176","0.0694911515030288"
"Yes","2009","66 and older","West Germany","783","0.274388281107148","0.258658107633358","0.290118454580937"
"Yes","2009","66 and older","East Germany","323","0.303216018397475","0.27639231794545","0.330039718849499"
"No","2009","16-34 y.","West Germany","2933","0.988563422733616","0.984736179666094","0.992390665801138"
"No","2009","16-34 y.","East Germany","1026","0.980735450259718","0.972385611392712","0.989085289126724"
"No","2009","35-65 y.","West Germany","7130","0.945098714499155","0.939945897415053","0.950251531583258"
"No","2009","35-65 y.","East Germany","2248","0.940020503488898","0.930508848496971","0.949532158480824"
"No","2009","66 and older","West Germany","2308","0.725611718892852","0.709881545419063","0.741341892366642"
"No","2009","66 and older","East Germany","805","0.696783981602525","0.6699602811505","0.72360768205455"
"Yes","2010","16-34 y.","West Germany","","","",""
"Yes","2010","16-34 y.","East Germany","","","",""
"Yes","2010","35-65 y.","West Germany","","","",""
"Yes","2010","35-65 y.","East Germany","","","",""
"Yes","2010","66 and older","West Germany","","","",""
"Yes","2010","66 and older","East Germany","","","",""
"No","2010","16-34 y.","West Germany","","","",""
"No","2010","16-34 y.","East Germany","","","",""
"No","2010","35-65 y.","West Germany","","","",""
"No","2010","35-65 y.","East Germany","","","",""
"No","2010","66 and older","West Germany","","","",""
"No","2010","66 and older","East Germany","","","",""
"Yes","2011","16-34 y.","West Germany","38","0.0119618914956406","0.00825271159105373","0.0156710714002274"
"Yes","2011","16-34 y.","East Germany","13","","",""
"Yes","2011","35-65 y.","West Germany","496","0.0610377313383677","0.0560144368953259","0.0660610257814096"
"Yes","2011","35-65 y.","East Germany","155","0.0592035469999658","0.0501975376282335","0.0682095563716981"
"Yes","2011","66 and older","West Germany","929","0.24022276218371","0.226819854300185","0.253625670067235"
"Yes","2011","66 and older","East Germany","365","0.307839781267156","0.2826209761281","0.333058586406213"
"No","2011","16-34 y.","West Germany","3262","0.988038108504359","0.984328928599773","0.991747288408946"
"No","2011","16-34 y.","East Germany","994","0.992283552323737","0.986878997086052","0.997688107561423"
"No","2011","35-65 y.","West Germany","8229","0.938962268661632","0.93393897421859","0.943985563104674"
"No","2011","35-65 y.","East Germany","2483","0.940796453000034","0.931790443628302","0.949802462371767"
"No","2011","66 and older","West Germany","2974","0.75977723781629","0.746374329932765","0.773180145699815"
"No","2011","66 and older","East Germany","922","0.692160218732844","0.666941413593787","0.7173790238719"
"Yes","2012","16-34 y.","West Germany","","","",""
"Yes","2012","16-34 y.","East Germany","","","",""
"Yes","2012","35-65 y.","West Germany","","","",""
"Yes","2012","35-65 y.","East Germany","","","",""
"Yes","2012","66 and older","West Germany","","","",""
"Yes","2012","66 and older","East Germany","","","",""
"No","2012","16-34 y.","West Germany","","","",""
"No","2012","16-34 y.","East Germany","","","",""
"No","2012","35-65 y.","West Germany","","","",""
"No","2012","35-65 y.","East Germany","","","",""
"No","2012","66 and older","West Germany","","","",""
"No","2012","66 and older","East Germany","","","",""
"Yes","2013","16-34 y.","West Germany","36","0.0140313493176789","0.0097731944409291","0.0182895041944288"
"Yes","2013","16-34 y.","East Germany","13","","",""
"Yes","2013","35-65 y.","West Germany","477","0.0680513548956865","0.0624618820012784","0.0736408277900945"
"Yes","2013","35-65 y.","East Germany","153","0.0628340562110623","0.053248664528821","0.0724194478933037"
"Yes","2013","66 and older","West Germany","952","0.257778564536747","0.243797368816242","0.271759760257252"
"Yes","2013","66 and older","East Germany","340","0.300464205854415","0.274967232215196","0.325961179493633"
"No","2013","16-34 y.","West Germany","2895","0.985968650682321","0.981710495805571","0.990226805559071"
"No","2013","16-34 y.","East Germany","765","0.987997570504409","0.980345643602289","0.995649497406528"
"No","2013","35-65 y.","West Germany","7321","0.931948645104314","0.926359172209905","0.937538117998722"
"No","2013","35-65 y.","East Germany","2309","0.937165943788938","0.927580552106696","0.946751335471179"
"No","2013","66 and older","West Germany","2808","0.742221435463252","0.728240239742748","0.756202631183757"
"No","2013","66 and older","East Germany","902","0.699535794145585","0.674038820506367","0.725032767784804"
"Yes","2014","16-34 y.","West Germany","","","",""
"Yes","2014","16-34 y.","East Germany","","","",""
"Yes","2014","35-65 y.","West Germany","","","",""
"Yes","2014","35-65 y.","East Germany","","","",""
"Yes","2014","66 and older","West Germany","","","",""
"Yes","2014","66 and older","East Germany","","","",""
"No","2014","16-34 y.","West Germany","","","",""
"No","2014","16-34 y.","East Germany","","","",""
"No","2014","35-65 y.","West Germany","","","",""
"No","2014","35-65 y.","East Germany","","","",""
