"ple0014","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Urban Area","1050","0.0979810786519346","0.0926320509019009","0.103330106401968"
"Yes","2009","Rural Area","626","0.101753251857316","0.0942640954631963","0.109242408251437"
"No","2009","Urban Area","10816","0.902018921348065","0.896669893598032","0.907367949098099"
"No","2009","Rural Area","5634","0.898246748142684","0.890757591748564","0.905735904536804"
"Yes","2010","Urban Area","","","",""
"Yes","2010","Rural Area","","","",""
"No","2010","Urban Area","","","",""
"No","2010","Rural Area","","","",""
"Yes","2011","Urban Area","1254","0.0993413571676077","0.0943134451672054","0.10436926916801"
"Yes","2011","Rural Area","742","0.104657203651517","0.0976177426313729","0.11169666467166"
"No","2011","Urban Area","12342","0.900658642832392","0.89563073083199","0.905686554832795"
"No","2011","Rural Area","6522","0.895342796348483","0.88830333532834","0.902382257368627"
"Yes","2012","Urban Area","","","",""
"Yes","2012","Rural Area","","","",""
"No","2012","Urban Area","","","",""
"No","2012","Rural Area","","","",""
"Yes","2013","Urban Area","1250","0.113175571208569","0.107573408966777","0.118777733450361"
"Yes","2013","Rural Area","721","0.113073440874","0.105482614829531","0.12066426691847"
"No","2013","Urban Area","11035","0.886824428791431","0.881222266549639","0.892426591033223"
"No","2013","Rural Area","5965","0.886926559126","0.87933573308153","0.894517385170469"
"Yes","2014","Urban Area","","","",""
"Yes","2014","Rural Area","","","",""
"No","2014","Urban Area","","","",""
"No","2014","Rural Area","","","",""
"Yes","2015","Urban Area","1346","0.101820483065734","0.0971965105597663","0.106444455571702"
"Yes","2015","Rural Area","761","0.10367726883717","0.0972859394432884","0.110068598231051"
"No","2015","Urban Area","15085","0.898179516934266","0.893555544428298","0.902803489440234"
"No","2015","Rural Area","7978","0.89632273116283","0.889931401768949","0.902714060556712"
"Yes","2016","Urban Area","","","",""
"Yes","2016","Rural Area","","","",""
"No","2016","Urban Area","","","",""
"No","2016","Rural Area","","","",""
"Yes","2017","Urban Area","1334","0.0948398768974255","0.0904702179036968","0.0992095358911542"
"Yes","2017","Rural Area","842","0.105361899641188","0.0991724543931786","0.111551344889198"
"No","2017","Urban Area","15937","0.905160123102575","0.900790464108846","0.909529782096303"
"No","2017","Rural Area","8610","0.894638100358812","0.888448655110803","0.900827545606821"
"Yes","2018","Urban Area","","","",""
"Yes","2018","Rural Area","","","",""
"No","2018","Urban Area","","","",""
"No","2018","Rural Area","","","",""
"Yes","2019","Urban Area","1305","0.0946301751017396","0.0900186289406362","0.099241721262843"
"Yes","2019","Rural Area","852","0.112727129514968","0.106149642772107","0.11930461625783"
"No","2019","Urban Area","14171","0.90536982489826","0.900758278737157","0.909981371059364"
"No","2019","Rural Area","8029","0.887272870485032","0.88069538374217","0.893850357227893"
