"ple0014","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Couple + C. GT 16 ","Rural Area","1136","0.962450109256271","0.951685131570833","0.97321508694171","2"
"No","2009","(Married) couple without C. ","Urban Area","3833","0.864581370638858","0.85446877546152","0.874693965816196","2"
"No","2009","(Married) couple without C. ","Rural Area","1949","0.858625544403538","0.84433388984377","0.872917198963305","2"
"No","2009","1-pers.-HH","Rural Area","735","0.815306444305013","0.789968463416236","0.840644425193789","2"
"No","2009","Couple + C. GT 16 ","Urban Area","1873","0.948847660577088","0.93911174258672","0.958583578567456","2"
"No","2009","Couple + C. LE and GT 16","Urban Area","769","0.983482988694849","0.974550059869735","0.992415917519964","2"
"No","2009","Couple + C. LE and GT 16","Rural Area","394","0.994093298579432","0.986574512558357","1.00161208460051","2"
"No","2009","1-pers.-HH","Urban Area","1716","0.849505539728377","0.83387041006692","0.865140669389833","2"
"No","2009","Single parent ","Urban Area","592","0.946011604189123","0.928308094709516","0.96371511366873","2"
"No","2009","Single parent ","Rural Area","360","0.975400312120829","0.959616806382052","0.991183817859606","2"
"No","2009","Couple + C. LE 16 ","Urban Area","1863","0.987553464782658","0.982555171521293","0.992551758044023","2"
"No","2009","Couple + C. LE 16 ","Rural Area","943","0.978190107556884","0.968998306437906","0.987381908675863","2"
"Yes","2009","1-pers.-HH","Urban Area","293","0.150494460271623","0.134859330610167","0.16612958993308","1"
"Yes","2009","1-pers.-HH","Rural Area","166","0.184693555694988","0.159355574806211","0.210031536583764","1"
"Yes","2009","(Married) couple without C. ","Urban Area","565","0.135418629361142","0.125306034183804","0.14553122453848","1"
"Yes","2009","(Married) couple without C. ","Rural Area","334","0.141374455596462","0.127082801036695","0.15566611015623","1"
"Yes","2009","Single parent ","Urban Area","34","0.0539883958108767","0.0362848863312698","0.0716919052904836","1"
"Yes","2009","Single parent ","Rural Area","10","","","","1"
"Yes","2009","Couple + C. LE 16 ","Urban Area","27","","","","1"
"Yes","2009","Couple + C. LE 16 ","Rural Area","27","","","","1"
"Yes","2009","Couple + C. GT 16 ","Urban Area","94","0.0511523394229122","0.0414164214325441","0.0608882574132803","1"
"Yes","2009","Couple + C. GT 16 ","Rural Area","62","0.0375498907437287","0.02678491305829","0.0483148684291674","1"
"Yes","2009","Couple + C. LE and GT 16","Urban Area","13","","","","1"
"Yes","2009","Couple + C. LE and GT 16","Rural Area","5","","","","1"
"No","2010","Couple + C. GT 16 ","Rural Area","","","","","2"
"No","2010","Couple + C. LE and GT 16","Rural Area","","","","","2"
"No","2010","1-pers.-HH","Rural Area","","","","","2"
"No","2010","(Married) couple without C. ","Rural Area","","","","","2"
"No","2010","Couple + C. GT 16 ","Urban Area","","","","","2"
"No","2010","Couple + C. LE and GT 16","Urban Area","","","","","2"
"No","2010","1-pers.-HH","Urban Area","","","","","2"
"No","2010","(Married) couple without C. ","Urban Area","","","","","2"
"No","2010","Single parent ","Urban Area","","","","","2"
"No","2010","Single parent ","Rural Area","","","","","2"
"No","2010","Couple + C. LE 16 ","Urban Area","","","","","2"
"No","2010","Couple + C. LE 16 ","Rural Area","","","","","2"
"Yes","2010","1-pers.-HH","Urban Area","","","","","1"
"Yes","2010","1-pers.-HH","Rural Area","","","","","1"
"Yes","2010","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","2010","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","2010","Single parent ","Urban Area","","","","","1"
"Yes","2010","Single parent ","Rural Area","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","2011","Couple + C. GT 16 ","Rural Area","1104","0.953462277913545","0.941366342840177","0.965558212986912","2"
"No","2011","Couple + C. LE and GT 16","Rural Area","430","0.977870892592974","0.964203338751298","0.99153844643465","2"
"No","2011","Couple + C. GT 16 ","Urban Area","1930","0.950386471147507","0.94095434965878","0.959818592636233","2"
"No","2011","Couple + C. LE and GT 16","Urban Area","764","0.973772753830832","0.96262172997027","0.984923777691394","2"
"No","2011","1-pers.-HH","Urban Area","2124","0.865887531746081","0.852396605867776","0.879378457624386","2"
"No","2011","1-pers.-HH","Rural Area","947","0.866482689830299","0.846589384626583","0.886375995034016","2"
"No","2011","(Married) couple without C. ","Rural Area","2503","0.85688969986232","0.844192560314324","0.869586839410315","2"
"No","2011","(Married) couple without C. ","Urban Area","4527","0.871513253456465","0.862438094466975","0.880588412445955","2"
"No","2011","Single parent ","Urban Area","752","0.938815516754235","0.922134509352373","0.955496524156097","2"
"No","2011","Single parent ","Rural Area","361","0.947550601726286","0.925165603510269","0.969935599942303","2"
"No","2011","Couple + C. LE 16 ","Urban Area","2020","0.980542157850511","0.974570118630666","0.986514197070356","2"
"No","2011","Couple + C. LE 16 ","Rural Area","1033","0.968293773194459","0.957755688536929","0.978831857851989","2"
"Yes","2011","Single parent ","Urban Area","41","0.0611844832457655","0.0445034758439034","0.0778654906476275","1"
"Yes","2011","Single parent ","Rural Area","20","","","","1"
"Yes","2011","Couple + C. LE 16 ","Urban Area","35","0.0194578421494888","0.013485802929644","0.0254298813693337","1"
"Yes","2011","Couple + C. LE 16 ","Rural Area","29","","","","1"
"Yes","2011","Couple + C. GT 16 ","Urban Area","106","0.0496135288524932","0.0401814073637667","0.0590456503412196","1"
"Yes","2011","Couple + C. GT 16 ","Rural Area","61","0.0465377220864554","0.0344417870130881","0.0586336571598227","1"
"Yes","2011","Couple + C. LE and GT 16","Urban Area","25","","","","1"
"Yes","2011","Couple + C. LE and GT 16","Rural Area","15","","","","1"
"Yes","2011","1-pers.-HH","Urban Area","327","0.134112468253919","0.120621542375614","0.147603394132224","1"
"Yes","2011","1-pers.-HH","Rural Area","176","0.133517310169701","0.113624004965985","0.153410615373417","1"
"Yes","2011","(Married) couple without C. ","Urban Area","696","0.128486746543535","0.119411587554045","0.137561905533025","1"
"Yes","2011","(Married) couple without C. ","Rural Area","419","0.14311030013768","0.130413160589685","0.155807439685676","1"
"No","2012","Couple + C. GT 16 ","Rural Area","","","","","2"
"No","2012","Couple + C. LE and GT 16","Rural Area","","","","","2"
"No","2012","Couple + C. GT 16 ","Urban Area","","","","","2"
"No","2012","Couple + C. LE and GT 16","Urban Area","","","","","2"
