"ple0014","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","West Germany","8248","0.964697780098442","0.960786114855208","0.968609445341676","2"
"No","2009","Employed","East Germany","2604","0.967188533261481","0.96046408681958","0.973912979703382","2"
"No","2009","Not Employed","East Germany","1475","0.778782266845863","0.759954711719372","0.797609821972354","2"
"No","2009","Not Employed","West Germany","4123","0.801868409963646","0.790834545284577","0.812902274642715","2"
"Yes","2009","Not Employed","West Germany","890","0.198131590036354","0.187097725357285","0.209165454715423","1"
"Yes","2009","Not Employed","East Germany","392","0.221217733154137","0.202390178027646","0.240045288280628","1"
"Yes","2009","Employed","West Germany","302","0.0353022199015578","0.0313905546583242","0.0392138851447913","1"
"Yes","2009","Employed","East Germany","92","0.0328114667385188","0.0260870202966177","0.0395359131804199","1"
"No","2010","Not Employed","East Germany","","","","","2"
"No","2010","Not Employed","West Germany","","","","","2"
"No","2010","Employed","West Germany","","","","","2"
"No","2010","Employed","East Germany","","","","","2"
"Yes","2010","Not Employed","West Germany","","","","","1"
"Yes","2010","Not Employed","East Germany","","","","","1"
"Yes","2010","Employed","West Germany","","","","","1"
"Yes","2010","Employed","East Germany","","","","","1"
"No","2011","Not Employed","East Germany","1581","0.757617156631222","0.738915891803147","0.776318421459296","2"
"No","2011","Employed","East Germany","2818","0.972287340024247","0.966328451876411","0.978246228172082","2"
"No","2011","Not Employed","West Germany","5054","0.80879193302961","0.798946727401531","0.818637138657688","2"
"No","2011","Employed","West Germany","9411","0.960511435628886","0.95665537232828","0.964367498929491","2"
"Yes","2011","Not Employed","East Germany","436","0.242382843368778","0.223681578540704","0.261084108196853","1"
"Yes","2011","Employed","West Germany","388","0.0394885643711142","0.035632501070509","0.0433446276717195","1"
"Yes","2011","Employed","East Germany","97","0.0277126599757535","0.0217537718279182","0.0336715481235888","1"
"Yes","2011","Not Employed","West Germany","1075","0.19120806697039","0.181362861342312","0.201053272598469","1"
"No","2012","Not Employed","East Germany","","","","","2"
"No","2012","Employed","East Germany","","","","","2"
