"ple0014","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","Not Employed","12","","",""
"Yes","2009","16-34 y.","Employed","35","0.011714874412036","0.00784319609806854","0.0155865527260035"
"Yes","2009","35-65 y.","Not Employed","213","0.120611096245558","0.106107777099625","0.135114415391492"
"Yes","2009","35-65 y.","Employed","310","0.0396025072105303","0.0353192977310847","0.0438857166899758"
"Yes","2009","66 and older","Not Employed","1057","0.28971698663471","0.275487282165672","0.303946691103748"
"Yes","2009","66 and older","Employed","49","0.16196333485822","0.121278488590005","0.202648181126435"
"No","2009","16-34 y.","Not Employed","1027","0.983081079406978","0.975239179185666","0.990922979628289"
"No","2009","16-34 y.","Employed","2932","0.988285125587964","0.984413447273996","0.992156803901931"
"No","2009","35-65 y.","Not Employed","1724","0.879388903754442","0.864885584608508","0.893892222900375"
"No","2009","35-65 y.","Employed","7654","0.96039749278947","0.956114283310024","0.964680702268915"
"No","2009","66 and older","Not Employed","2847","0.71028301336529","0.696053308896252","0.724512717834328"
"No","2009","66 and older","Employed","266","0.83803666514178","0.797351818873565","0.878721511409995"
"Yes","2010","16-34 y.","Not Employed","","","",""
"Yes","2010","16-34 y.","Employed","","","",""
"Yes","2010","35-65 y.","Not Employed","","","",""
"Yes","2010","35-65 y.","Employed","","","",""
"Yes","2010","66 and older","Not Employed","","","",""
"Yes","2010","66 and older","Employed","","","",""
"No","2010","16-34 y.","Not Employed","","","",""
"No","2010","16-34 y.","Employed","","","",""
"No","2010","35-65 y.","Not Employed","","","",""
"No","2010","35-65 y.","Employed","","","",""
"No","2010","66 and older","Not Employed","","","",""
"No","2010","66 and older","Employed","","","",""
"Yes","2011","16-34 y.","Not Employed","12","","",""
"Yes","2011","16-34 y.","Employed","39","0.00840019236374813","0.00523554377021146","0.0115648409572848"
"Yes","2011","35-65 y.","Not Employed","277","0.141174562277603","0.126712885286046","0.15563623926916"
"Yes","2011","35-65 y.","Employed","374","0.0425790842650374","0.0384389001049854","0.0467192684250894"
"Yes","2011","66 and older","Not Employed","1222","0.25871429635484","0.246334484163054","0.271094108546625"
"Yes","2011","66 and older","Employed","72","0.181749482389952","0.14312804440646","0.220370920373443"
"No","2011","16-34 y.","Not Employed","1100","0.978605766653343","0.970101283075299","0.987110250231388"
"No","2011","16-34 y.","Employed","3156","0.991599807636252","0.988435159042715","0.994764456229789"
"No","2011","35-65 y.","Not Employed","1950","0.858825437722397","0.84436376073084","0.873287114713954"
"No","2011","35-65 y.","Employed","8762","0.957420915734963","0.953280731574911","0.961561099895015"
"No","2011","66 and older","Not Employed","3585","0.74128570364516","0.728905891453375","0.753665515836946"
"No","2011","66 and older","Employed","311","0.818250517610049","0.779629079626557","0.85687195559354"
"Yes","2012","16-34 y.","Not Employed","","","",""
"Yes","2012","16-34 y.","Employed","","","",""
"Yes","2012","35-65 y.","Not Employed","","","",""
"Yes","2012","35-65 y.","Employed","","","",""
"Yes","2012","66 and older","Not Employed","","","",""
"Yes","2012","66 and older","Employed","","","",""
"No","2012","16-34 y.","Not Employed","","","",""
"No","2012","16-34 y.","Employed","","","",""
"No","2012","35-65 y.","Not Employed","","","",""
"No","2012","35-65 y.","Employed","","","",""
"No","2012","66 and older","Not Employed","","","",""
"No","2012","66 and older","Employed","","","",""
"Yes","2013","16-34 y.","Not Employed","7","","",""
