"ple0014","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","West Germany","332","0.159174700006419","0.143775138399715","0.174574261613122"
"Yes","2009","1-pers.-HH","East Germany","127","0.163032594538849","0.136453656111124","0.189611532966574"
"Yes","2009","(Married) couple without C. ","West Germany","618","0.130776635051689","0.121303519956349","0.140249750147029"
"Yes","2009","(Married) couple without C. ","East Germany","281","0.163647631626622","0.146627642273522","0.180667620979722"
"Yes","2009","Single parent ","West Germany","35","0.0412669702125828","0.0268181449656563","0.0557157954595093"
"Yes","2009","Single parent ","East Germany","9","","",""
"Yes","2009","Couple + C. LE 16 ","West Germany","43","0.0158713311439466","0.0107175900916362","0.0210250721962571"
"Yes","2009","Couple + C. LE 16 ","East Germany","11","","",""
"Yes","2009","Couple + C. GT 16 ","West Germany","111","0.0480191470828527","0.0393339849390056","0.0567043092266999"
"Yes","2009","Couple + C. GT 16 ","East Germany","45","0.0380973988414301","0.0251286352398431","0.0510661624430172"
"Yes","2009","Couple + C. LE and GT 16","West Germany","16","","",""
"Yes","2009","Couple + C. LE and GT 16","East Germany","2","","",""
"No","2009","1-pers.-HH","West Germany","1836","0.840825299993581","0.825425738386878","0.856224861600285"
"No","2009","1-pers.-HH","East Germany","615","0.836967405461151","0.810388467033426","0.863546343888876"
"No","2009","(Married) couple without C. ","West Germany","4248","0.869223364948311","0.859750249852971","0.878696480043651"
"No","2009","(Married) couple without C. ","East Germany","1534","0.836352368373378","0.819332379020278","0.853372357726478"
"No","2009","Single parent ","West Germany","693","0.958733029787417","0.944284204540491","0.973181855034344"
"No","2009","Single parent ","East Germany","259","0.947519196495595","0.920821429370527","0.974216963620662"
"No","2009","Couple + C. LE 16 ","West Germany","2216","0.984128668856053","0.978974927803743","0.989282409908364"
"No","2009","Couple + C. LE 16 ","East Germany","590","0.987222843589641","0.978243686725959","0.996202000453322"
"No","2009","Couple + C. GT 16 ","West Germany","2217","0.951980852917147","0.9432956907733","0.960666015060994"
"No","2009","Couple + C. GT 16 ","East Germany","792","0.96190260115857","0.948933837556983","0.974871364760157"
"No","2009","Couple + C. LE and GT 16","West Germany","943","0.98470091403541","0.976932654972002","0.992469173098819"
"No","2009","Couple + C. LE and GT 16","East Germany","220","0.994892134312729","0.985514801349574","1.00426946727588"
"Yes","2010","1-pers.-HH","West Germany","","","",""
"Yes","2010","1-pers.-HH","East Germany","","","",""
"Yes","2010","(Married) couple without C. ","West Germany","","","",""
"Yes","2010","(Married) couple without C. ","East Germany","","","",""
"Yes","2010","Single parent ","West Germany","","","",""
"Yes","2010","Single parent ","East Germany","","","",""
"Yes","2010","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2010","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2010","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2010","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2010","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2010","Couple + C. LE and GT 16","East Germany","","","",""
"No","2010","1-pers.-HH","West Germany","","","",""
"No","2010","1-pers.-HH","East Germany","","","",""
"No","2010","(Married) couple without C. ","West Germany","","","",""
"No","2010","(Married) couple without C. ","East Germany","","","",""
"No","2010","Single parent ","West Germany","","","",""
"No","2010","Single parent ","East Germany","","","",""
"No","2010","Couple + C. LE 16 ","West Germany","","","",""
"No","2010","Couple + C. LE 16 ","East Germany","","","",""
"No","2010","Couple + C. GT 16 ","West Germany","","","",""
"No","2010","Couple + C. GT 16 ","East Germany","","","",""
"No","2010","Couple + C. LE and GT 16","West Germany","","","",""
