"ple0014","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Urban Area","18","","",""
"Yes","2009","Schleswig-Holstein","Rural Area","35","0.107361192635249","0.0734428480949324","0.141279537175565"
"Yes","2009","Hamburg","Urban Area","17","","",""
"Yes","2009","Hamburg","Rural Area","","","",""
"Yes","2009","Lower Saxony","Urban Area","94","0.12269797933118","0.10039099566727","0.145004962995089"
"Yes","2009","Lower Saxony","Rural Area","88","0.0982310721462869","0.0778101623413245","0.118651981951249"
"Yes","2009","Bremen","Urban Area","2","","",""
"Yes","2009","Bremen","Rural Area","","","",""
"Yes","2009","North Rhine-Westphalia","Urban Area","336","0.101371066488259","0.0914272061430348","0.111314926833483"
"Yes","2009","North Rhine-Westphalia","Rural Area","8","","",""
"Yes","2009","Hesse","Urban Area","90","0.098090228180321","0.0797011703441386","0.116479286016503"
"Yes","2009","Hesse","Rural Area","25","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","Urban Area","71","0.0864694839197982","0.0667202044421965","0.1062187633974"
"Yes","2009","Rhineland-Palatinate,Saarland","Rural Area","20","","",""
"Yes","2009","Baden-Württemberg","Urban Area","114","0.0844031931334041","0.0719880559455561","0.0968183303212521"
"Yes","2009","Baden-Württemberg","Rural Area","15","","",""
"Yes","2009","Bavaria","Urban Area","114","0.101010000876498","0.084244295967869","0.117775705785126"
"Yes","2009","Bavaria","Rural Area","108","0.0877685705791803","0.0728772954144357","0.102659845743925"
"Yes","2009","Berlin","Urban Area","79","0.13567028659344","0.110045035714394","0.161295537472487"
"Yes","2009","Berlin","Rural Area","","","",""
"Yes","2009","Brandenburg","Urban Area","7","","",""
"Yes","2009","Brandenburg","Rural Area","85","0.127888508030654","0.103662133552109","0.152114882509199"
"Yes","2009","Mecklenburg-Western Pomerania","Urban Area","5","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Rural Area","49","0.139089068462267","0.1059160064506","0.172262130473934"
"Yes","2009","Saxony","Urban Area","62","0.0919520305350154","0.0705000813383323","0.113403979731698"
"Yes","2009","Saxony","Rural Area","67","0.0912458893733325","0.0695546880524778","0.112937090694187"
"Yes","2009","Saxony-Anhalt","Urban Area","14","","",""
"Yes","2009","Saxony-Anhalt","Rural Area","63","0.106199410003616","0.0808176784857878","0.131581141521444"
"Yes","2009","Thuringia","Urban Area","27","","",""
"Yes","2009","Thuringia","Rural Area","63","0.113656888070087","0.0877817313292864","0.139532044810888"
"No","2009","Schleswig-Holstein","Urban Area","178","0.902932070317587","0.86148579781872","0.944378342816453"
"No","2009","Schleswig-Holstein","Rural Area","285","0.892638807364751","0.858720462824435","0.926557151905068"
"No","2009","Hamburg","Urban Area","254","0.93476894492332","0.905369252629131","0.96416863721751"
"No","2009","Hamburg","Rural Area","","","",""
"No","2009","Lower Saxony","Urban Area","737","0.87730202066882","0.854995037004911","0.89960900433273"
"No","2009","Lower Saxony","Rural Area","728","0.901768927853713","0.881348018048751","0.922189837658675"
"No","2009","Bremen","Urban Area","118","0.978678493204069","0.952832904022313","1.00452408238583"
"No","2009","Bremen","Rural Area","","","",""
"No","2009","North Rhine-Westphalia","Urban Area","3203","0.898628933511741","0.888685073166517","0.908572793856965"
"No","2009","North Rhine-Westphalia","Rural Area","98","0.918275666097557","0.86612529645226","0.970426035742854"
"No","2009","Hesse","Urban Area","915","0.901909771819679","0.883520713983497","0.920298829655861"
"No","2009","Hesse","Rural Area","196","0.894018664346686","0.853436057453837","0.934601271239535"
