"ple0014","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","West Germany","4123","0.801868409963646","0.790834545284577","0.812902274642715","2"
"No","2009","Full Time","West Germany","5035","0.968152417561118","0.963381177366451","0.972923657755786","2"
"No","2009","Full Time","East Germany","1754","0.970470454347938","0.962673797731165","0.978267110964712","2"
"No","2009","Not Working","East Germany","1475","0.778782266845863","0.759954711719372","0.797609821972354","2"
"No","2009","Part Time","West Germany","3213","0.959220099262352","0.952519672691902","0.965920525832802","2"
"No","2009","Part Time","East Germany","850","0.960838092010096","0.948058014637862","0.973618169382331","2"
"Yes","2009","Full Time","West Germany","168","0.0318475824388814","0.0270763422442139","0.0366188226335489","1"
"Yes","2009","Full Time","East Germany","57","0.0295295456520615","0.0217328890352883","0.0373262022688347","1"
"Yes","2009","Part Time","West Germany","134","0.0407799007376482","0.0340794741671984","0.0474803273080981","1"
"Yes","2009","Part Time","East Germany","35","0.0391619079899037","0.0263818306176691","0.0519419853621383","1"
"Yes","2009","Not Working","West Germany","890","0.198131590036354","0.187097725357285","0.209165454715423","1"
"Yes","2009","Not Working","East Germany","392","0.221217733154137","0.202390178027646","0.240045288280628","1"
"No","2010","Not Working","West Germany","","","","","2"
"No","2010","Full Time","West Germany","","","","","2"
"No","2010","Not Working","East Germany","","","","","2"
"No","2010","Full Time","East Germany","","","","","2"
"No","2010","Part Time","West Germany","","","","","2"
"No","2010","Part Time","East Germany","","","","","2"
"Yes","2010","Full Time","West Germany","","","","","1"
"Yes","2010","Full Time","East Germany","","","","","1"
"Yes","2010","Part Time","West Germany","","","","","1"
"Yes","2010","Part Time","East Germany","","","","","1"
"Yes","2010","Not Working","West Germany","","","","","1"
"Yes","2010","Not Working","East Germany","","","","","1"
"No","2011","Full Time","West Germany","5637","0.962002137336542","0.957107395021871","0.966896879651212","2"
"No","2011","Not Working","West Germany","5054","0.80879193302961","0.798946727401531","0.818637138657688","2"
"No","2011","Not Working","East Germany","1581","0.757617156631222","0.738915891803147","0.776318421459296","2"
"No","2011","Full Time","East Germany","1882","0.973174682397065","0.966001530808773","0.980347833985356","2"
"No","2011","Part Time","West Germany","3774","0.957944046860045","0.951675107821865","0.964212985898224","2"
"No","2011","Part Time","East Germany","936","0.970340223712359","0.95964215259469","0.981038294830028","2"
"Yes","2011","Full Time","West Germany","224","0.037997862663458","0.0331031203487876","0.0428926049781285","1"
"Yes","2011","Full Time","East Germany","67","0.0268253176029354","0.0196521660146439","0.0339984691912269","1"
"Yes","2011","Part Time","West Germany","164","0.0420559531399553","0.035787014101776","0.0483248921781346","1"
"Yes","2011","Part Time","East Germany","30","0.0296597762876408","0.0189617051699718","0.0403578474053097","1"
"Yes","2011","Not Working","West Germany","1075","0.19120806697039","0.181362861342312","0.201053272598469","1"
"Yes","2011","Not Working","East Germany","436","0.242382843368778","0.223681578540704","0.261084108196853","1"
"No","2012","Full Time","West Germany","","","","","2"
"No","2012","Full Time","East Germany","","","","","2"
"No","2012","Not Working","West Germany","","","","","2"
"No","2012","Not Working","East Germany","","","","","2"
"No","2012","Part Time","West Germany","","","","","2"
"No","2012","Part Time","East Germany","","","","","2"
"Yes","2012","Full Time","West Germany","","","","","1"
"Yes","2012","Full Time","East Germany","","","","","1"
"Yes","2012","Part Time","West Germany","","","","","1"
"Yes","2012","Part Time","East Germany","","","","","1"
"Yes","2012","Not Working","West Germany","","","","","1"
"Yes","2012","Not Working","East Germany","","","","","1"
"No","2013","Full Time","West Germany","5111","0.960370449845746","0.955122235071617","0.965618664619874","2"
"No","2013","Full Time","East Germany","1624","0.963308884037664","0.954342929972545","0.972274838102783","2"
"No","2013","Part Time","West Germany","3481","0.936838636180953","0.928980431648631","0.944696840713275","2"
"No","2013","Part Time","East Germany","881","0.963482535590311","0.951342061289623","0.975623009890999","2"
"No","2013","Not Working","West Germany","4432","0.790687273215171","0.779935825723249","0.801438720707094","2"
"No","2013","Not Working","East Germany","1471","0.76761855685389","0.748506601211948","0.786730512495832","2"
"Yes","2013","Full Time","West Germany","197","0.0396295501542545","0.034381335380126","0.0448777649283829","1"
"Yes","2013","Full Time","East Germany","65","0.0366911159623359","0.0277251618972167","0.0456570700274551","1"
"Yes","2013","Part Time","West Germany","200","0.0631613638190473","0.0553031592867254","0.0710195683513691","1"
"Yes","2013","Part Time","East Germany","36","0.0365174644096891","0.0243769901090013","0.0486579387103768","1"
"Yes","2013","Not Working","West Germany","1068","0.209312726784829","0.198561279292906","0.220064174276751","1"
"Yes","2013","Not Working","East Germany","405","0.23238144314611","0.213269487504168","0.251493398788052","1"
"No","2014","Full Time","West Germany","","","","","2"
"No","2014","Full Time","East Germany","","","","","2"
"No","2014","Part Time","West Germany","","","","","2"
"No","2014","Part Time","East Germany","","","","","2"
"No","2014","Not Working","West Germany","","","","","2"
"No","2014","Not Working","East Germany","","","","","2"
"Yes","2014","Full Time","West Germany","","","","","1"
"Yes","2014","Full Time","East Germany","","","","","1"
"Yes","2014","Part Time","West Germany","","","","","1"
"Yes","2014","Part Time","East Germany","","","","","1"
"Yes","2014","Not Working","West Germany","","","","","1"
"Yes","2014","Not Working","East Germany","","","","","1"
"No","2015","Full Time","West Germany","7294","0.965137761893454","0.960993309786411","0.969282214000498","2"
"No","2015","Full Time","East Germany","1931","0.962755916036371","0.954454953754838","0.971056878317904","2"
"No","2015","Part Time","West Germany","5655","0.949545894458444","0.943954665085886","0.955137123831001","2"
"No","2015","Part Time","East Germany","1188","0.944171487365808","0.931454056189108","0.956888918542509","2"
"No","2015","Not Working","West Germany","5380","0.80015643207477","0.790410369436239","0.809902494713302","2"
"No","2015","Not Working","East Germany","1615","0.767684726172133","0.749358909432327","0.786010542911939","2"
"Yes","2015","Full Time","West Germany","231","0.0348622381065459","0.0307177859995023","0.0390066902135895","1"
"Yes","2015","Full Time","East Germany","68","0.0372440839636285","0.0289431216820955","0.0455450462451615","1"
"Yes","2015","Part Time","West Germany","232","0.0504541055415565","0.0448628761689989","0.056045334914114","1"
"Yes","2015","Part Time","East Germany","64","0.0558285126341915","0.0431110814574913","0.0685459438108917","1"
"Yes","2015","Not Working","West Germany","1087","0.19984356792523","0.190097505286698","0.209589630563761","1"
"Yes","2015","Not Working","East Germany","425","0.232315273827867","0.213989457088061","0.250641090567673","1"
