"ple0014","year","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","225","1","1","1"
"Yes","2009","Part Time","169","1","1","1"
"Yes","2009","Not Working","1282","1","1","1"
"Yes","2010","Full Time","","","",""
"Yes","2010","Part Time","","","",""
"Yes","2010","Not Working","","","",""
"Yes","2011","Full Time","291","1","1","1"
"Yes","2011","Part Time","194","1","1","1"
"Yes","2011","Not Working","1511","1","1","1"
"Yes","2012","Full Time","","","",""
"Yes","2012","Part Time","","","",""
"Yes","2012","Not Working","","","",""
"Yes","2013","Full Time","262","1","1","1"
"Yes","2013","Part Time","236","1","1","1"
"Yes","2013","Not Working","1473","1","1","1"
"Yes","2014","Full Time","","","",""
"Yes","2014","Part Time","","","",""
"Yes","2014","Not Working","","","",""
"Yes","2015","Full Time","299","1","1","1"
"Yes","2015","Part Time","296","1","1","1"
"Yes","2015","Not Working","1512","1","1","1"
"Yes","2016","Full Time","","","",""
"Yes","2016","Part Time","","","",""
"Yes","2016","Not Working","","","",""
"Yes","2017","Full Time","389","1","1","1"
"Yes","2017","Part Time","334","1","1","1"
"Yes","2017","Not Working","1453","1","1","1"
"Yes","2018","Full Time","","","",""
"Yes","2018","Part Time","","","",""
"Yes","2018","Not Working","","","",""
"Yes","2019","Full Time","434","1","1","1"
"Yes","2019","Part Time","406","1","1","1"
"Yes","2019","Not Working","1491","1","1","1"
