"ple0014","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","direct migration background","585","0.839146388293846","0.811633443388911","0.866659333198782","2"
"No","2009","Not Working","indirect migration background","192","0.99523003964683","0.985534625862921","1.00492545343074","2"
"No","2009","Full Time","no migration background","5975","0.969330677521624","0.965029493514422","0.973631861528826","2"
"No","2009","Full Time","indirect migration background","306","0.991361102595355","0.98105932096776","1.00166288422295","2"
"No","2009","Part Time","no migration background","3420","0.956095763174633","0.949374069292402","0.962817457056863","2"
"No","2009","Part Time","direct migration background","435","0.966902500893939","0.950410710555648","0.98339429123223","2"
"No","2009","Not Working","no migration background","4821","0.783164466142651","0.772738219565976","0.793590712719325","2"
"No","2009","Full Time","direct migration background","508","0.949252727150013","0.930584713430401","0.967920740869625","2"
"No","2009","Part Time","indirect migration background","208","0.982692245732427","0.965095352937755","1.0002891385271","2"
"Yes","2009","Full Time","no migration background","198","0.030669322478376","0.0263681384711742","0.0349705064855778","1"
"Yes","2009","Full Time","direct migration background","23","","","","1"
"Yes","2009","Full Time","indirect migration background","4","","","","1"
"Yes","2009","Part Time","no migration background","149","0.0439042368253674","0.0371825429431371","0.0506259307075977","1"
"Yes","2009","Part Time","direct migration background","17","","","","1"
"Yes","2009","Part Time","indirect migration background","3","","","","1"
"Yes","2009","Not Working","no migration background","1180","0.216835533857349","0.206409287280675","0.227261780434024","1"
"Yes","2009","Not Working","direct migration background","100","0.160853611706154","0.133340666801218","0.188366556611089","1"
"Yes","2009","Not Working","indirect migration background","2","","","","1"
"No","2010","Full Time","no migration background","","","","","2"
"No","2010","Full Time","indirect migration background","","","","","2"
"No","2010","Part Time","no migration background","","","","","2"
"No","2010","Part Time","direct migration background","","","","","2"
"No","2010","Not Working","no migration background","","","","","2"
"No","2010","Not Working","direct migration background","","","","","2"
"No","2010","Not Working","indirect migration background","","","","","2"
"No","2010","Full Time","direct migration background","","","","","2"
"No","2010","Part Time","indirect migration background","","","","","2"
"Yes","2010","Full Time","no migration background","","","","","1"
"Yes","2010","Full Time","direct migration background","","","","","1"
"Yes","2010","Full Time","indirect migration background","","","","","1"
"Yes","2010","Part Time","no migration background","","","","","1"
"Yes","2010","Part Time","direct migration background","","","","","1"
"Yes","2010","Part Time","indirect migration background","","","","","1"
"Yes","2010","Not Working","no migration background","","","","","1"
"Yes","2010","Not Working","direct migration background","","","","","1"
"Yes","2010","Not Working","indirect migration background","","","","","1"
"No","2011","Full Time","no migration background","6567","0.96153879672877","0.956978753058448","0.966098840399092","2"
"No","2011","Full Time","direct migration background","626","0.977396990857874","0.965935253271384","0.988858728444364","2"
"No","2011","Full Time","indirect migration background","326","0.982863273818536","0.96890314160145","0.996823406035622","2"
