"ple0014","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","Male","31","0.129495906863942","0.0878769188305886","0.171114894897295"
"Yes","2009","Schleswig-Holstein","Female","22","","",""
"Yes","2009","Hamburg","Male","7","","",""
"Yes","2009","Hamburg","Female","10","","",""
"Yes","2009","Lower Saxony","Male","98","0.112882235903688","0.0908850074025882","0.134879464404788"
"Yes","2009","Lower Saxony","Female","84","0.109373842540576","0.0884166669708093","0.130331018110342"
"Yes","2009","Bremen","Male","2","","",""
"Yes","2009","Bremen","Female","","","",""
"Yes","2009","North Rhine-Westphalia","Male","183","0.104721132232703","0.0903465335470932","0.119095730918312"
"Yes","2009","North Rhine-Westphalia","Female","161","0.0966846084052967","0.0834032893100044","0.109965927500589"
"Yes","2009","Hesse","Male","65","0.107859907730655","0.0827655785304638","0.132954236930845"
"Yes","2009","Hesse","Female","50","0.0911211381107743","0.0688080217019188","0.11343425451963"
"Yes","2009","Rhineland-Palatinate,Saarland","Male","49","0.102704511922688","0.0750827355894982","0.130326288255878"
"Yes","2009","Rhineland-Palatinate,Saarland","Female","42","0.0825024998235604","0.0597761392767848","0.105228860370336"
"Yes","2009","Baden-Württemberg","Male","63","0.0778611451231001","0.0613604620651469","0.0943618281810532"
"Yes","2009","Baden-Württemberg","Female","66","0.0900501551310011","0.0731722744491018","0.1069280358129"
"Yes","2009","Bavaria","Male","122","0.101950881724646","0.0851431559491883","0.118758607500103"
"Yes","2009","Bavaria","Female","100","0.0873012391608074","0.0724243908271469","0.102178087494468"
"Yes","2009","Berlin","Male","42","0.146444065690163","0.107585531623091","0.185302599757236"
"Yes","2009","Berlin","Female","37","0.126197418217322","0.0922695885970308","0.160125247837613"
"Yes","2009","Brandenburg","Male","44","0.12411397273229","0.091093533818892","0.157134411645688"
"Yes","2009","Brandenburg","Female","48","0.134554048894319","0.101603106218223","0.167504991570414"
"Yes","2009","Mecklenburg-Western Pomerania","Male","27","","",""
"Yes","2009","Mecklenburg-Western Pomerania","Female","27","","",""
"Yes","2009","Saxony","Male","71","0.0817309011633058","0.0610945986659909","0.102367203660621"
"Yes","2009","Saxony","Female","58","0.102152226502537","0.0796690859512248","0.124635367053849"
"Yes","2009","Saxony-Anhalt","Male","42","0.117848481418423","0.0849505571668262","0.150746405670021"
"Yes","2009","Saxony-Anhalt","Female","35","0.0763436453761778","0.0504175433404794","0.102269747411876"
"Yes","2009","Thuringia","Male","45","0.109525651157818","0.0786496929395476","0.140401609376088"
"Yes","2009","Thuringia","Female","45","0.103016246497736","0.0743512847174855","0.131681208277987"
"No","2009","Schleswig-Holstein","Male","219","0.870504093136058","0.828885105102706","0.912123081169411"
"No","2009","Schleswig-Holstein","Female","244","0.919645547081437","0.886977551875956","0.952313542286919"
"No","2009","Hamburg","Male","119","0.94886036822279","0.910397402264769","0.987323334180811"
"No","2009","Hamburg","Female","135","0.921529379045909","0.877759814367182","0.965298943724637"
"No","2009","Lower Saxony","Male","697","0.887117764096312","0.865120535595212","0.909114992597412"
"No","2009","Lower Saxony","Female","768","0.890626157459424","0.869668981889658","0.911583333029191"
"No","2009","Bremen","Male","54","0.957666039342793","0.904930235309931","1.01040184337565"
"No","2009","Bremen","Female","64","1","1","1"
"No","2009","North Rhine-Westphalia","Male","1560","0.895278867767297","0.880904269081688","0.909653466452907"
"No","2009","North Rhine-Westphalia","Female","1741","0.903315391594703","0.890034072499411","0.916596710689996"
"No","2009","Hesse","Male","522","0.892140092269345","0.867045763069155","0.917234421469536"
"No","2009","Hesse","Female","589","0.908878861889226","0.88656574548037","0.931191978298081"
"No","2009","Rhineland-Palatinate,Saarland","Male","415","0.897295488077312","0.869673711744122","0.924917264410502"
"No","2009","Rhineland-Palatinate,Saarland","Female","521","0.91749750017644","0.894771139629664","0.940223860723215"
"No","2009","Baden-Württemberg","Male","950","0.9221388548769","0.905638171818947","0.938639537934853"
"No","2009","Baden-Württemberg","Female","1039","0.909949844868999","0.8930719641871","0.926827725550898"
"No","2009","Bavaria","Male","1123","0.898049118275354","0.881241392499896","0.914856844050812"
"No","2009","Bavaria","Female","1283","0.912698760839193","0.897821912505532","0.927575609172853"
"No","2009","Berlin","Male","276","0.853555934309837","0.814697400242764","0.892414468376909"
"No","2009","Berlin","Female","331","0.873802581782678","0.839874752162387","0.907730411402969"
"No","2009","Brandenburg","Male","339","0.87588602726771","0.842865588354312","0.908906466181108"
"No","2009","Brandenburg","Female","364","0.865445951105681","0.832495008429586","0.898396893781777"
"No","2009","Mecklenburg-Western Pomerania","Male","198","0.862711377367096","0.817743036047818","0.907679718686374"
"No","2009","Mecklenburg-Western Pomerania","Female","224","0.866224129957518","0.824111219091581","0.908337040823455"
"No","2009","Saxony","Male","606","0.918269098836694","0.897632796339379","0.938905401334009"
"No","2009","Saxony","Female","639","0.897847773497463","0.875364632946151","0.920330914048775"
"No","2009","Saxony-Anhalt","Male","327","0.882151518581577","0.849253594329979","0.915049442833174"
"No","2009","Saxony-Anhalt","Female","368","0.923656354623822","0.897730252588124","0.949582456659521"
"No","2009","Thuringia","Male","348","0.890474348842182","0.859598390623912","0.921350307060452"
"No","2009","Thuringia","Female","387","0.896983753502264","0.868318791722013","0.925648715282515"
"Yes","2010","Schleswig-Holstein","Male","","","",""
"Yes","2010","Schleswig-Holstein","Female","","","",""
"Yes","2010","Hamburg","Male","","","",""
"Yes","2010","Hamburg","Female","","","",""
"Yes","2010","Lower Saxony","Male","","","",""
"Yes","2010","Lower Saxony","Female","","","",""
"Yes","2010","Bremen","Male","","","",""
"Yes","2010","Bremen","Female","","","",""
"Yes","2010","North Rhine-Westphalia","Male","","","",""
"Yes","2010","North Rhine-Westphalia","Female","","","",""
"Yes","2010","Hesse","Male","","","",""
"Yes","2010","Hesse","Female","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","Male","","","",""
