"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","East Germany","","","","","","","","","","","","","",""
"1984","direct migration background","West Germany","10.56","2.72","3413","0","0","9.58","27.03","100","9.95","11.17","0","100","3.28454113006592","3.60748934745789"
"1984","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1984","indirect migration background","West Germany","4.88","0.72","128","0","0","5.33","13.14","43.7","2.23","7.53","0","87.28","1.92544150352478","3.79440116882324"
"1984","no migration background","East Germany","","","","","","","","","","","","","",""
"1984","no migration background","West Germany","5.76","0.9","8667","0","0","4.15","14.9","100","5.45","6.07","0","100","1.14151859283447","1.26311457157135"
"1985","direct migration background","East Germany","","","","","","","","","","","","","",""
"1985","direct migration background","West Germany","9.3","2.35","2942","0","0","8.67","23.44","100","8.67","9.93","0","100","3.39556908607483","3.90641593933105"
"1985","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1985","indirect migration background","West Germany","7.3","1.35","144","0","0","5.67","17.6","97.01","5.13","9.47","0","97.01","2.30896520614624","5.14062213897705"
"1985","no migration background","East Germany","","","","","","","","","","","","","",""
"1985","no migration background","West Germany","5.6","0.86","7993","0","0","4.27","13.06","98.54","5.28","5.92","0","100","1.192418217659","1.32384645938873"
"1986","direct migration background","East Germany","","","","","","","","","","","","","",""
"1986","direct migration background","West Germany","9","2.17","2854","0","0","8.4","22.39","100","8.36","9.64","0","100","3.06564474105835","3.5014271736145"
"1986","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1986","indirect migration background","West Germany","6.27","0","156","0","0","5.08","14.12","97.87","4.21","8.33","0","97.87","1.97161388397217","4.53447675704956"
"1986","no migration background","East Germany","","","","","","","","","","","","","",""
"1986","no migration background","West Germany","5.47","0.74","7627","0","0","3.65","13.33","97.92","5.15","5.79","0","100","1.14088225364685","1.24493110179901"
"1987","direct migration background","East Germany","","","","","","","","","","","","","",""
"1987","direct migration background","West Germany","8.52","2.11","2839","0","0","7.88","21.03","100","7.91","9.13","0","100","3.07123899459839","3.52868986129761"
"1987","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","West Germany","4.91","0","177","0","0","4.6","13.87","43.2","2.76","7.06","0","98.4","1.58345365524292","4.42371511459351"
"1987","no migration background","East Germany","","","","","","","","","","","","","",""
"1987","no migration background","West Germany","5.21","0","7492","0","0","3.58","12.74","94.66","4.9","5.52","0","100","1.00133728981018","1.12302005290985"
"1988","direct migration background","East Germany","","","","","","","","","","","","","",""
"1988","direct migration background","West Germany","8.3","2.06","2690","0","0","7.56","20.61","100","7.66","8.94","0","100","3.06417798995972","3.64688634872437"
"1988","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1988","indirect migration background","West Germany","7.76","1.9","224","0","0","6.36","19.08","98.28","5.34","10.18","0","100","1.90801739692688","3.98122000694275"
"1988","no migration background","East Germany","","","","","","","","","","","","","",""
"1988","no migration background","West Germany","4.98","0","7106","0","0","3.45","12.31","90.68","4.68","5.28","0","100","0.921119749546051","1.05086600780487"
"1989","direct migration background","East Germany","","","","","","","","","","","","","",""
"1989","direct migration background","West Germany","8.02","1.72","2606","0","0","6.98","21","100","7.36","8.68","0","100","2.63007426261902","3.03055262565613"
"1989","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1989","indirect migration background","West Germany","6.81","1.6","260","0","0","5.94","22.39","76.04","5.1","8.52","0","100","1.70925891399384","3.30163288116455"
"1989","no migration background","East Germany","","","","","","","","","","","","","",""
"1989","no migration background","West Germany","5.17","0","6842","0","0","3.06","12.63","98.68","4.84","5.5","0","100","0.833039343357086","1.00297296047211"
"1990","direct migration background","East Germany","","","","","","","","","","","","","",""
"1990","direct migration background","West Germany","7.98","1.53","2551","0","0","7.16","20.44","98.91","7.32","8.64","0","100","2.33117961883545","2.8772931098938"
"1990","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1990","indirect migration background","West Germany","6.03","2.51","296","0","0","6.32","16.29","44.81","4.5","7.56","0","100","1.99096834659576","3.82838821411133"
"1990","no migration background","East Germany","","","","","","","","","","","","","",""
"1990","no migration background","West Germany","4.55","0","6665","0","0","2.83","11.17","78.32","4.26","4.84","0","100","0.525548458099365","0.786594569683075"
"1991","direct migration background","East Germany","","","","","","","","","","","","","",""
"1991","direct migration background","West Germany","7","1.33","2501","0","0","6.16","19.28","99.77","6.36","7.64","0","100","2.12148427963257","2.57804179191589"
"1991","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1991","indirect migration background","West Germany","7.36","1.43","349","0","0","5.63","19.91","100","5.47","9.25","0","100","1.29433453083038","3.00416326522827"
"1991","no migration background","East Germany","","","","","","","","","","","","","",""
"1991","no migration background","West Germany","4.62","0","6616","0","0","2.75","11.82","81.2","4.33","4.91","0","100","0","0.659008085727692"
"1992","direct migration background","East Germany","8.94","1.53","146","0","0","7.27","27.32","99.46","6.29","11.59","0","99.46","0.693888425827026","3.44827580451965"
"1992","direct migration background","West Germany","6.65","1.03","2423","0","0","5.42","16.8","99.27","5.98","7.32","0","100","1.85397672653198","2.25455665588379"
"1992","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1992","indirect migration background","West Germany","8.08","1.85","400","0","0","7.24","18.75","99.27","6.36","9.8","0","99.42","1.83618986606598","3.10971593856812"
"1992","no migration background","East Germany","9.09","2.63","3837","0","0","12.08","27.77","75.14","8.63","9.55","0","100","3.79837203025818","4.39123344421387"
"1992","no migration background","West Germany","4.75","0","6572","0","0","2.79","12.01","89.14","4.45","5.05","0","100","0","0.635874092578888"
"1993","direct migration background","East Germany","9.51","1.92","136","0","0","11.89","29.91","100","6.34","12.68","0","100","0","3.04320073127747"
"1993","direct migration background","West Germany","7.12","1.3","2362","0","0","6.04","18.38","94.55","6.43","7.81","0","100","2.14897513389587","2.53915691375732"
"1993","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1993","indirect migration background","West Germany","7.43","2","462","0","0","6.36","20.94","80.05","5.9","8.96","0","100","2.09677410125732","3.12911868095398"
"1993","no migration background","East Germany","12.55","4.2","3690","0","0","16.24","38.47","98.89","11.94","13.16","0","100","4.56625843048096","5.34594202041626"
"1993","no migration background","West Germany","4.65","0","6512","0","0","2.84","12.06","85.87","4.34","4.96","0","100","0","0.568623840808868"
"1994","direct migration background","East Germany","11.72","0","143","0","0","10.95","49.08","100","8.55","14.89","0","100","0","1.78958785533905"
"1994","direct migration background","West Germany","8.53","1.42","2229","0","0","7.27","24.17","99.57","7.74","9.32","0","100","2.16913723945618","2.51357531547546"
"1994","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1994","indirect migration background","West Germany","7.09","1.78","478","0","0","5.82","18.01","79.09","5.74","8.44","0","100","2.05076718330383","2.87348628044128"
"1994","no migration background","East Germany","12.64","2.61","3628","0","0","15.06","42.81","99.64","11.99","13.29","0","100","3.67772674560547","4.33487749099731"
"1994","no migration background","West Germany","5.06","0","6443","0","0","2.89","13.24","94.39","4.74","5.38","0","100","0","0.6492720246315"
"1995","direct migration background","East Germany","9.46","0","143","0","0","9.48","34.58","66.76","6.55","12.37","0","98.17","0","0.86420077085495"
"1995","direct migration background","West Germany","13.02","1.89","2668","0","0","11.53","43.01","100","12.16","13.88","0","100","2.67006897926331","3.4189031124115"
"1995","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1995","indirect migration background","West Germany","7.42","1.7","497","0","0","7.03","20.25","78.38","5.99","8.85","0","100","2.30622673034668","3.62554335594177"
"1995","no migration background","East Germany","11.27","1.84","3546","0","0","11.82","37.13","100","10.62","11.92","0","100","2.51800489425659","3.02528715133667"
"1995","no migration background","West Germany","5.55","0","6494","0","0","2.95","13.71","95.12","5.19","5.91","0","100","0","0.656907498836517"
"1996","direct migration background","East Germany","13.01","0","141","0","0","12.88","46.61","99.55","8.8","17.22","0","100","0","1.68539321422577"
"1996","direct migration background","West Germany","12.48","2.06","2479","0","0","10.63","38.55","100","11.59","13.37","0","100","2.78761911392212","3.65586352348328"
"1996","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1996","indirect migration background","West Germany","8.86","2.31","529","0","0","9.53","20.54","92.54","7.22","10.5","0","100","2.35934662818909","3.30345559120178"
"1996","no migration background","East Germany","13.21","2.05","3535","0","0","19.72","41.86","99.14","12.53","13.89","0","100","2.73671460151672","3.49528002738953"
"1996","no migration background","West Germany","5.83","0","6415","0","0","3.34","14.98","96.92","5.46","6.2","0","100","0.692538678646088","1.01406455039978"
"1997","direct migration background","East Germany","14.8","0","132","0","0","20.4","46.68","100","10.93","18.67","0","100","0","5.5237922668457"
"1997","direct migration background","West Germany","14.24","4.6","2359","0","0","15.15","42.91","100","13.33","15.15","0","100","6.18136024475098","7.26766586303711"
"1997","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1997","indirect migration background","West Germany","11.9","5.35","553","0","0","14.44","34.17","99.72","10.27","13.53","0","100","5.943039894104","7.34862565994263"
"1997","no migration background","East Germany","14.55","4.82","3497","0","0","19.88","44.55","99.54","13.85","15.25","0","100","5.84291934967041","6.75214624404907"
"1997","no migration background","West Germany","7.82","0","6351","0","0","7.39","20.07","99.14","7.43","8.21","0","100","2.31099557876587","2.84218573570251"
"1998","direct migration background","East Germany","13.36","0","119","0","0","23.1","41.63","89.73","9.59","17.13","0","100","0","6.88070344924927"
"1998","direct migration background","West Germany","14.39","5.16","2301","0","0","16.41","42.75","100","13.48","15.3","0","100","6.78336381912231","8.02489852905273"
"1998","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1998","indirect migration background","West Germany","12.76","6.5","578","0","0","16.48","32.26","80.36","11.16","14.36","0","100","6.51858997344971","8.49621105194092"
"1998","no migration background","East Germany","14.33","4.96","3740","0","0","18.59","42.63","100","13.66","15","0","100","5.90116357803345","6.98360157012939"
"1998","no migration background","West Germany","8","0","7559","0","0","8.38","20.24","100","7.63","8.37","0","100","1.97244679927826","2.66956686973572"
"1999","direct migration background","East Germany","9.98","0","110","0","0","12.66","32.98","59.61","6.66","13.3","0","100","0","4.97950553894043"
"1999","direct migration background","West Germany","12.56","4.71","2113","0","0","14.63","33.34","100","11.67","13.45","0","100","6.48246002197266","7.87631273269653"
"1999","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1999","indirect migration background","West Germany","12.34","5.66","590","0","0","13.87","32.33","98.69","10.82","13.86","0","100","6.11800956726074","7.81137323379517"
"1999","no migration background","East Germany","14.18","5.17","3671","0","0","17.52","43.92","100","13.51","14.85","0","100","6.32391500473022","6.97509479522705"
"1999","no migration background","West Germany","7.43","0","7262","0","0","8.26","19.11","99.26","7.08","7.78","0","100","2.20102715492249","2.81758069992065"
"2000","direct migration background","East Germany","14.61","0","151","0","0","16.71","52.11","100","9.87","19.35","0","100","0","6.47506380081177"
"2000","direct migration background","West Germany","15.61","6.51","3192","0","0","18.03","46.67","100","14.79","16.43","0","100","7.45709991455078","8.59477424621582"
"2000","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2000","indirect migration background","West Germany","11.52","6.08","803","0","0","14.66","29.53","94.24","10.33","12.71","0","100","6.07645082473755","8.19611930847168"
"2000","no migration background","East Germany","13.4","4.4","5699","0","0","16.41","40.31","100","12.85","13.95","0","100","5.79545879364014","6.57987880706787"
"2000","no migration background","West Germany","6.76","0","14385","0","0","7.74","17.13","95.04","6.52","7","0","100","0","2.16850447654724"
"2001","direct migration background","East Germany","12.35","0","124","0","0","10.5","50.46","97.59","8.14","16.56","0","99.6","0","4.97973823547363"
"2001","direct migration background","West Germany","16.59","7.48","2821","0","0","20.48","47.06","100","15.77","17.41","0","100","7.9046573638916","9.25910377502441"
"2001","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2001","indirect migration background","West Germany","12.46","6.29","752","0","0","16.51","27.63","100","11.03","13.89","0","100","6.63322687149048","8.09805488586426"
"2001","no migration background","East Germany","14.12","5.07","5315","0","0","17.74","40.68","100","13.52","14.72","0","100","6.38313817977905","7.28492546081543"
"2001","no migration background","West Germany","6.99","0","13023","0","0","8.02","17.79","94.37","6.74","7.24","0","100","2.29592800140381","2.81282091140747"
"2002","direct migration background","East Germany","14.59","0","115","0","0","12.95","67.15","99.97","10.05","19.13","0","100","0","0"
"2002","direct migration background","West Germany","16.19","7.57","2704","0","0","20.06","44.03","100","15.36","17.02","0","100","6.74353742599487","7.93559503555298"
"2002","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2002","indirect migration background","West Germany","14.63","7.13","760","0","0","16.03","46.16","100","13.19","16.07","0","100","6.082679271698","7.86455821990967"
"2002","no migration background","East Germany","14.8","4.9","5315","0","0","18.15","46.41","100","14.21","15.39","0","100","5.32961130142212","6.02094221115112"
"2002","no migration background","West Germany","7.56","0","14234","0","0","8.56","19.8","94.44","7.34","7.78","0","100","2.23602485656738","2.57355165481567"
