"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","2.6","0","2703","0","0","0","2.78","59.08","2.16","3.04","0","100","0","0"
"1984","1-pers.-HH","7.15","0","1316","0","0","0","15.41","100","5.87","8.43","0","100","0","0"
"1984","Couple + C. GT 16 ","4.51","1.3","1993","0","0","3.39","13.03","41.14","3.99","5.03","0","100","1.21315097808838","1.37903153896332"
"1984","Couple + C. LE 16","8.52","3.38","3080","1.12","1.75","7.72","19.15","100","7.96","9.08","0","100","3.60748934745789","3.95656371116638"
"1984","Couple + C. LE and GT 16","7.54","4.04","1720","1.01","2.1","9.22","18.33","46.67","6.93","8.15","0","100","4.12348031997681","4.91912841796875"
"1984","Single parent","13.81","3.22","579","0","0","16.39","38.57","100","11.81","15.81","0","100","3.22168254852295","5.33364248275757"
"1985","(Married) couple without C.","2.96","0","2433","0","0","0","3.95","92.04","2.45","3.47","0","100","0","0"
"1985","1-pers.-HH","6.26","0","1176","0","0","0","12.35","100","5.04","7.48","0","100","0","0"
"1985","Couple + C. GT 16 ","4.07","1.32","2029","0","0","3.19","10.57","56.88","3.58","4.56","0","100","1.21071100234985","1.3804577589035"
"1985","Couple + C. LE 16","8.34","3.73","2682","1.22","1.74","7.78","18.5","100","7.75","8.93","0","100","4.20340824127197","4.66058778762817"
"1985","Couple + C. LE and GT 16","7.6","4.73","1493","1.2","2.49","8.7","17.27","57.92","6.99","8.21","0","100","4.7398247718811","5.47252607345581"
"1985","Single parent","12.48","2.38","545","0","0","10.68","37.65","100","10.38","14.58","0","100","2.22173976898193","3.04442691802979"
"1986","(Married) couple without C.","2.78","0","2388","0","0","0","3.1","72.83","2.26","3.3","0","100","0","0"
"1986","1-pers.-HH","7.02","0","1118","0","0","0","15.3","100","5.72","8.32","0","100","0","0"
"1986","Couple + C. GT 16 ","3.63","1.23","2107","0","0","2.5","8.15","47.8","3.16","4.1","0","100","1.15940928459167","1.27948820590973"
"1986","Couple + C. LE 16","8.38","3.66","2411","1.2","1.83","8.1","18.46","100","7.77","8.99","0","100","4.10934448242188","4.4678635597229"
"1986","Couple + C. LE and GT 16","7.85","3.94","1403","1.14","2.2","8.55","19.08","72.2","7.17","8.53","0","100","4.2602686882019","4.94597053527832"
