"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","indirect migration background","middle vocational","3.82","1.3","96","0","0","4.44","11.93","34.32","1.97","5.67","0","35.18","1.00744926929474","3.30195021629333"
"1990","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1990","no migration background","general elemantary","5.77","0","1506","0","0","3.17","16.87","86.01","5.01","6.53","0","100","0","0.496201723814011"
"1990","no migration background","higher education","2.51","0","607","0","0","2.03","7.07","26.62","1.97","3.05","0","98.7","0","0.75804340839386"
"1990","no migration background","higher vocational","3.64","0","459","0","0","2.62","9.29","60.59","2.79","4.49","0","100","0","1.0045154094696"
"1990","no migration background","in school","8.22","2.36","101","0.82","1.36","5.48","21.71","100","5.2","11.24","0","100","1.77848029136658","2.64519834518433"
"1990","no migration background","inadequately","16.19","1.81","66","0","0","13.62","93.94","100","8.94","23.44","0","100","1.37927937507629","3.86116170883179"
"1990","no migration background","middle vocational","4.11","0","3661","0","0","2.83","10.51","68.32","3.76","4.46","0","100","0.442471504211426","0.822483003139496"
"1990","no migration background","vocational + Abi","5.31","0","192","0","0","2.27","12.26","81.71","3.49","7.13","0","97.51","0","0.778911054134369"
"1991","direct migration background","general elemantary","7.58","1.41","836","0","0","6.81","20.81","100","6.46","8.7","0","100","2.02934956550598","2.74352097511292"
"1991","direct migration background","higher education","1.62","0","90","0","0","1.96","3.5","17.74","-0.14","3.38","0","49.95","0","1.81303119659424"
"1991","direct migration background","higher vocational","3.77","0.87","49","0","0","4.48","10.01","100","-1.99","9.53","0","100","0","2.38744497299194"
"1991","direct migration background","in school","","","","","","","","","","","","","",""
"1991","direct migration background","inadequately","9.99","3.06","539","0","0","11.5","26.62","99.65","8.56","11.42","0","100","2.77343344688416","4.26993417739868"
"1991","direct migration background","middle vocational","5.57","0.95","802","0","0","4.48","14.4","98.38","4.52","6.62","0","100","1.53170680999756","2.08503317832947"
"1991","direct migration background","vocational + Abi","18.18","5.93","98","0","1.19","19.69","60.96","100","13.89","22.47","0","100","2.94329357147217","7.84425163269043"
"1991","indirect migration background","general elemantary","9.75","2.52","138","0","0.69","8.15","31.05","99.85","6.4","13.1","0","100","1.31412792205811","3.14272046089172"
"1991","indirect migration background","higher education","","","","","","","","","","","","","",""
"1991","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1991","indirect migration background","in school","7.61","5.43","34","0","1.19","10.74","19.52","26.83","5.12","10.1","0","26.83","3.83103775978088","9.56595039367676"
"1991","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1991","indirect migration background","middle vocational","3.84","1.12","121","0","0","3.29","8.44","33.1","1.67","6.01","0","79.4","0","1.76011919975281"
"1991","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1991","no migration background","general elemantary","5.91","0","1447","0","0","2.88","14.57","99.97","5.11","6.71","0","100","0","0"
"1991","no migration background","higher education","3.18","0","629","0","0","2.29","9.57","44.47","2.52","3.84","0","100","0","0.767423272132874"
"1991","no migration background","higher vocational","3.66","0","465","0","0","3.19","9.65","50.41","2.78","4.54","0","100","0","1.07778823375702"
