"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","4.68","1.34","7568","0","0","4.44","13.37","48.65","4.45","4.91","0","97.38","1.57589447498322","1.74670004844666"
"1984","Not Employed","8.18","0","4640","0","0","4.91","21.77","100","7.55","8.81","0","100","1.38581681251526","1.7576539516449"
"1985","Employed","4.45","1.32","6854","0","0","4.73","12.23","50.38","4.23","4.67","0","97.9","1.62131679058075","1.8271187543869"
"1985","Not Employed","7.89","0","4225","0","0","4.49","19.75","100","7.23","8.55","0","100","1.3928587436676","1.77057504653931"
"1986","Employed","4.4","1.22","6698","0","0","4.05","12.32","51.62","4.17","4.63","0","96.57","1.47631645202637","1.63820707798004"
"1986","Not Employed","7.72","0","3939","0","0","4.02","19.72","100","7.06","8.38","0","100","1.34584188461304","1.70460855960846"
"1987","Employed","4.19","1.11","6714","0","0","3.88","11.6","50.45","3.97","4.41","0","97.92","1.41952192783356","1.57751405239105"
"1987","Not Employed","7.44","0","3794","0","0","4.09","19.36","100","6.79","8.09","0","100","1.19585537910461","1.59987497329712"
"1988","Employed","4.1","1","6450","0","0","3.95","12.08","43.62","3.88","4.32","0","95.41","1.34578287601471","1.48697078227997"
"1988","Not Employed","7.1","0","3570","0","0","3.55","16.59","100","6.42","7.78","0","100","1.12232220172882","1.42638111114502"
"1989","Employed","4.05","0.94","6270","0","0","3.54","11.36","51.86","3.82","4.28","0","93.18","1.24083280563354","1.3680317401886"
"1989","Not Employed","7.55","0","3438","0","0","3.57","18.72","100","6.84","8.26","0","100","1.07957947254181","1.34643220901489"
"1990","Employed","3.93","0.82","6172","0","0","3.42","10.72","51.33","3.7","4.16","0","93.94","1.1373678445816","1.26316654682159"
"1990","Not Employed","6.51","0","3340","0","0","3.21","16.87","100","5.85","7.17","0","100","0.768229842185974","1.14918315410614"
"1991","Employed","3.73","0.73","6197","0","0","3.25","10.78","44.47","3.51","3.95","0","94.62","1.01282548904419","1.12747442722321"
"1991","Not Employed","6.79","0","3269","0","0","3.24","18.83","100","6.12","7.46","0","100","0.32623827457428","0.984909176826477"
"1992","Employed","5","1.02","9115","0","0","4.92","15.36","53.22","4.78","5.22","0","99.27","1.57321500778198","1.73986959457397"
"1992","Not Employed","7.24","0","4273","0","0","3.47","19.29","100","6.65","7.83","0","100","0.650065660476685","1.00239706039429"
