"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","Female","","","","","","","","","","","","","",""
"1984","East Germany","Male","","","","","","","","","","","","","",""
"1984","West Germany","Female","6.4","0.8","6216","0","0","4.61","16.72","100","5.99","6.81","0","100","1.46420562267303","1.68496155738831"
"1984","West Germany","Male","6","1.24","5992","0","0","4.66","16.23","100","5.62","6.38","0","100","1.62347960472107","1.78831481933594"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","6.3","0.73","5627","0","0","4.58","15.13","100","5.87","6.73","0","100","1.50056207180023","1.71652221679688"
"1985","West Germany","Male","5.58","1.17","5452","0","0","4.73","13.33","95.99","5.19","5.97","0","100","1.63707137107849","1.88274252414703"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","6.03","0","5374","0","0","3.94","14.82","99.83","5.61","6.45","0","100","1.39990878105164","1.59507608413696"
"1986","West Germany","Male","5.61","1.12","5263","0","0","4.18","14.12","97.94","5.22","6","0","100","1.48030281066895","1.7170022726059"
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","5.69","0","5305","0","0","3.87","14.1","97.31","5.28","6.1","0","100","1.33996772766113","1.57033252716064"
"1987","West Germany","Male","5.39","0.94","5203","0","0","3.99","13.57","94.66","5.01","5.77","0","100","1.38788425922394","1.59795963764191"
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","5.6","0","5067","0","0","3.86","13.66","97.78","5.18","6.02","0","100","1.29809725284576","1.49559116363525"
"1988","West Germany","Male","5.05","0.74","4953","0","0","3.82","13.11","94.4","4.67","5.43","0","100","1.29809725284576","1.4688994884491"
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","5.87","0","4927","0","0","3.56","14.88","100","5.44","6.3","0","100","1.19650793075562","1.3680317401886"
"1989","West Germany","Male","5.07","0.7","4781","0","0","3.51","12.94","97.59","4.67","5.47","0","100","1.19697439670563","1.35864758491516"
"1990","East Germany","Female","","","","","","","","","","","","","",""
"1990","East Germany","Male","","","","","","","","","","","","","",""
"1990","West Germany","Female","5.1","0","4824","0","0","3.43","12.76","89.3","4.71","5.49","0","100","1.03772306442261","1.23839008808136"
"1990","West Germany","Male","4.8","0","4688","0","0","3.25","11.92","81.01","4.41","5.19","0","100","1.07658863067627","1.2504073381424"
"1991","East Germany","Female","","","","","","","","","","","","","",""
"1991","East Germany","Male","","","","","","","","","","","","","",""
"1991","West Germany","Female","5.09","0","4807","0","0","3.31","13.26","86.68","4.69","5.49","0","100","0.901350557804108","1.07995915412903"
"1991","West Germany","Male","4.78","0","4659","0","0","3.1","12.19","86.76","4.39","5.17","0","100","0.959045350551605","1.11811196804047"
"1992","East Germany","Female","8.9","2.58","2097","0","0","10.97","27.33","79.21","8.27","9.53","0","100","3.54977512359619","4.34389162063599"
"1992","East Germany","Male","9.3","2.46","1896","0","0","12.64","28.08","79.21","8.65","9.95","0","100","3.73175120353699","4.65052175521851"
"1992","West Germany","Female","5.15","0","4802","0","0","3.05","13.16","90.65","4.74","5.56","0","100","0.84806627035141","1.02319693565369"
"1992","West Germany","Male","4.92","0","4593","0","0","3.18","13.43","90.43","4.53","5.31","0","100","0.889154493808746","1.05854773521423"
"1993","East Germany","Female","12.76","4.3","2019","0","0","16.03","38.7","99.64","11.91","13.61","0","100","4.51219081878662","5.66186952590942"
"1993","East Germany","Male","12.07","3.86","1821","0","0","16.09","37.7","97.06","11.24","12.9","0","100","4.25531911849976","5.16833209991455"
"1993","West Germany","Female","5.06","0","4764","0","0","3.18","12.96","90.74","4.65","5.47","0","100","0.926904380321503","1.12767136096954"
"1993","West Germany","Male","5.01","0","4572","0","0","3.35","13.21","83.56","4.61","5.41","0","100","1.01406455039978","1.21460926532745"
"1994","East Germany","Female","12.49","2.52","1989","0","0","14.57","42.02","99.64","11.59","13.39","0","100","3.51419425010681","4.38652944564819"
"1994","East Germany","Male","12.77","2.29","1798","0","0","15.32","43.74","99.68","11.87","13.67","0","100","3.28982257843018","4.32301044464111"
"1994","West Germany","Female","5.49","0","4711","0","0","3.23","14","96.84","5.06","5.92","0","100","0.948150098323822","1.16490614414215"
