"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","9.23","2.28","4593","0","0","8.38","24.4","100","8.71","9.75","0","100","2.64561915397644","2.98400950431824"
"1984","35-65 y.","5.67","1.23","6338","0","0","4.19","14.32","100","5.31","6.03","0","100","1.5290367603302","1.71374344825745"
"1984","66 and older","2.06","0","1277","0","0","0","3.1","49.64","1.54","2.58","0","100","0","0"
"1985","16-34 y.","8.44","2.17","4178","0","0","7.2","20.43","100","7.9","8.98","0","100","2.59511303901672","3.01497364044189"
"1985","35-65 y.","5.66","1.17","5783","0","0","4.45","13.15","98.54","5.29","6.03","0","100","1.56194353103638","1.78301775455475"
"1985","66 and older","2.1","0","1118","0","0","0","1.63","56.56","1.52","2.68","0","100","0","0"
"1986","16-34 y.","7.98","1.87","4092","0","0","6.34","20.08","100","7.46","8.5","0","100","2.17268228530884","2.48455595970154"
"1986","35-65 y.","5.78","1.18","5498","0","0","4.06","13.57","99.32","5.39","6.17","0","100","1.50852537155151","1.73358178138733"
"1986","66 and older","1.88","0","1047","0","0","0","1.62","51.01","1.4","2.36","0","100","0","0"
"1987","16-34 y.","7.39","1.73","4039","0","0","6.31","19.36","98.96","6.91","7.87","0","100","2.12898755073547","2.4479706287384"
"1987","35-65 y.","5.67","1.03","5384","0","0","3.95","13.53","97.92","5.28","6.06","0","100","1.40741753578186","1.58247423171997"
"1987","66 and older","1.94","0","1085","0","0","0","3.09","46.76","1.45","2.43","0","100","0","0"
"1988","16-34 y.","7.07","1.64","3853","0","0","6.74","18.26","95.04","6.59","7.55","0","100","2.16146373748779","2.45202565193176"
"1988","35-65 y.","5.64","0.92","5112","0","0","3.69","12.95","99.89","5.24","6.04","0","100","1.31398737430573","1.4688994884491"
"1988","66 and older","1.49","0","1055","0","0","0","2.57","39.58","1.01","1.97","0","100","0","0"
"1989","16-34 y.","7.51","1.49","3773","0","0","6.01","19.45","99.19","7.01","8.01","0","100","1.91683316230774","2.19016337394714"
"1989","35-65 y.","5.58","0.83","4906","0","0","3.44","13.02","100","5.16","6","0","100","1.22893393039703","1.37649643421173"
"1989","66 and older","1.63","0","1029","0","0","0","2.3","42.34","1.14","2.12","0","100","0","0"
"1990","16-34 y.","6.58","1.33","3654","0","0","5.68","17.79","86.01","6.13","7.03","0","100","1.67795181274414","1.96316659450531"
"1990","35-65 y.","5.11","0.76","4797","0","0","3.15","11.59","99.05","4.7","5.52","0","100","1.14122152328491","1.29557728767395"
"1990","66 and older","1.58","0","1061","0","0","0","2.62","36.62","1.13","2.03","0","82.33","0","0"
"1991","16-34 y.","7.03","1.31","3623","0","0","6.79","19.23","98.38","6.55","7.51","0","100","1.55640053749084","1.85901379585266"
"1991","35-65 y.","4.91","0.68","4767","0","0","3.1","11.29","94.43","4.52","5.3","0","100","1.01239943504333","1.16314315795898"
"1991","66 and older","1.47","0","1076","0","0","0","0.69","54.41","1","1.94","0","88.43","0","0"
"1992","16-34 y.","8.96","1.93","4999","0","0","10.7","24.59","96.54","8.51","9.41","0","100","2.76008486747742","3.37367081642151"
"1992","35-65 y.","5.57","0.81","6909","0","0","4","15","92.52","5.24","5.9","0","100","1.27059018611908","1.45219206809998"
"1992","66 and older","1.3","0","1480","0","0","0","2.66","20.89","0.94","1.66","0","100","0","0"
"1993","16-34 y.","9.64","2.16","4920","0","0","10.78","27.67","99.91","9.13","10.15","0","100","2.87730979919434","3.47743916511536"
"1993","35-65 y.","6.33","0.98","6756","0","0","4.51","17.43","91.03","5.97","6.69","0","100","1.57153820991516","1.76007223129272"
"1993","66 and older","1.65","0","1500","0","0","0","3.63","33.14","1.26","2.04","0","90.2","0","0"
"1994","16-34 y.","10.28","1.92","4814","0","0","10.8","30.41","100","9.75","10.81","0","100","2.67294120788574","3.28982257843018"
"1994","35-65 y.","7.03","0.99","6602","0","0","4.64","18.76","99.32","6.63","7.43","0","100","1.53948175907135","1.74431204795837"
"1994","66 and older","1.48","0","1521","0","0","0","2.26","31.21","1.1","1.86","0","88.73","0","0"
"1995","16-34 y.","11.19","2.03","4962","0","0","11.48","34.11","100","10.63","11.75","0","100","2.57431149482727","3.00224661827087"
"1995","35-65 y.","7.92","1.06","6849","0","0","5.36","22.35","100","7.49","8.35","0","100","1.54956257343292","1.76549601554871"
"1995","66 and older","1.48","0","1553","0","0","0","0.9","43.05","1.06","1.9","0","100","0","0"
"1996","16-34 y.","10.39","2.11","4780","0","0","10.63","31.61","100","9.83","10.95","0","100","2.54065036773682","3.09828662872314"
"1996","35-65 y.","9.2","1.34","6763","0","0","6.21","29.29","100","8.73","9.67","0","100","1.89182043075562","2.15512704849243"
"1996","66 and older","1.96","0","1576","0","0","0","1.58","47.28","1.47","2.45","0","100","0","0"
"1997","16-34 y.","13.3","5.24","4635","0","0","15.56","36.6","100","12.71","13.89","0","100","5.83757543563843","6.54506683349609"
"1997","35-65 y.","11.07","3.46","6666","0","0","10.43","32.99","100","10.6","11.54","0","100","4.60585594177246","5.04382514953613"
"1997","66 and older","2.48","0","1613","0","0","0","4.51","69.9","2.02","2.94","0","100","0","0"
"1998","16-34 y.","13.99","5.99","4883","0","0","16.8","37.53","100","13.41","14.57","0","100","6.54402685165405","7.33582258224487"
"1998","35-65 y.","11.08","3.7","7550","0","0","11.02","30.94","100","10.64","11.52","0","100","4.62368869781494","5.04858684539795"
"1998","66 and older","2.11","0","1890","0","0","0","3.42","42.3","1.69","2.53","0","100","0","0"
"1999","16-34 y.","13.42","6.02","4617","0","0","15.33","34.94","100","12.84","14","0","100","6.61310863494873","7.36899566650391"
"1999","35-65 y.","10.27","3.73","7316","0","0","11.3","27.1","100","9.85","10.69","0","100","4.78113031387329","5.24455165863037"
"1999","66 and older","1.89","0","1835","0","0","0","3.24","50.23","1.52","2.26","0","77.02","0","0"
"2000","16-34 y.","12.87","6.09","7140","0","0","15.13","34.33","100","12.41","13.33","0","100","6.7168755531311","7.3246431350708"
"2000","35-65 y.","10.18","3.54","13476","0","0","10.95","26.38","100","9.86","10.5","0","100","4.47112989425659","4.86397361755371"
"2000","66 and older","1.91","0","3638","0","0","0","2.17","44.45","1.62","2.2","0","100","0","0"
"2001","16-34 y.","13.71","6.32","6299","0","0","16.55","36.74","100","13.21","14.21","0","100","7.10052967071533","7.72711992263794"
"2001","35-65 y.","10.45","3.94","12316","0","0","11.52","26.72","100","10.12","10.78","0","100","4.961350440979","5.32215595245361"
"2001","66 and older","2.36","0","3445","0","0","0","5.45","48.4","2.06","2.66","0","100","0","0"
"2002","16-34 y.","14.55","6.97","6182","0","0","17.46","39.69","100","14.06","15.04","0","100","6.32503652572632","7.03201913833618"
"2002","35-65 y.","11.14","4.2","13329","0","0","12.15","29.23","100","10.84","11.44","0","100","4.31689167022705","4.5812931060791"
"2002","66 and older","2.5","0","3641","0","0","0","6.65","57.48","2.21","2.79","0","100","0","0"
"2003","16-34 y.","16.33","7.57","5883","0","0","19.17","47.17","100","15.78","16.88","0","100","7.25925064086914","7.94281196594238"
"2003","35-65 y.","11.95","4.66","12705","0","0","13.27","32.02","100","11.63","12.27","0","100","4.84861516952515","5.19305324554443"
"2003","66 and older","2.61","0","3704","0","0","0","7.12","47.64","2.34","2.88","0","100","0","0"
"2004","16-34 y.","16.86","8.21","5645","0","0","20.83","47.96","100","16.3","17.42","0","100","7.66582298278809","8.44452571868896"
"2004","35-65 y.","12.53","4.99","12269","0","0","14.1","32.87","100","12.19","12.87","0","100","5.07366991043091","5.45881509780884"
"2004","66 and older","2.6","0","3816","0","0","0","8.13","45.08","2.34","2.86","0","100","0","0"
"2005","16-34 y.","17.76","8.49","5342","0","0","22.04","52.78","100","17.15","18.37","0","100","7.76578378677368","8.61699104309082"
"2005","35-65 y.","12.72","4.95","11646","0","0","14.15","34.61","100","12.37","13.07","0","100","4.90784502029419","5.26131200790405"
"2005","66 and older","2.91","0","3819","0","0","0","8.56","54.01","2.63","3.19","0","99.21","0","0"
"2006","16-34 y.","19.61","9.08","5446","0","0","24.58","63.75","100","18.96","20.26","0","100","7.9134259223938","8.85354328155518"
"2006","35-65 y.","13.19","4.92","12436","0","0","13.85","36.11","100","12.83","13.55","0","100","4.77400875091553","5.16446352005005"
"2006","66 and older","2.96","0","4492","0","0","0","7.56","57.36","2.7","3.22","0","100","0","0"
"2007","16-34 y.","19","8.24","5067","0","0","22.87","61.78","100","18.34","19.66","0","100","7.81626129150391","8.64345741271973"
"2007","35-65 y.","13.13","4.77","11489","0","0","13.79","38.38","100","12.76","13.5","0","100","4.72513437271118","5.09389734268188"
"2007","66 and older","2.73","0","4405","0","0","0","7.6","51.31","2.47","2.99","0","100","0","0"
"2008","16-34 y.","17.39","7.56","4631","0","0","21.09","53.16","100","16.73","18.05","0","100","7.21086311340332","8.02423191070557"
"2008","35-65 y.","12.3","4.26","10693","0","0","12.3","34.79","100","11.93","12.67","0","100","4.37096452713013","4.72137975692749"
"2008","66 and older","2.93","0","4360","0","0","0","7.97","53.02","2.67","3.19","0","100","0","0"
"2009","16-34 y.","16.14","6.79","4241","0","0","18.59","47.73","100","15.47","16.81","0","100","6.65673971176147","7.47540998458862"
"2009","35-65 y.","11.35","3.89","9898","0","0","11.7","31.6","100","10.98","11.72","0","100","3.92740249633789","4.33855772018433"
"2009","66 and older","2.76","0","4219","0","0","0","7.05","50.37","2.51","3.01","0","100","0","0"
"2010","16-34 y.","17.68","7.46","6947","0","0","20.9","57.29","100","17.02","18.34","0","100","12.3578109741211","13.2592220306396"
"2010","35-65 y.","12.32","4.33","13405","0","0","12.94","36.67","100","11.94","12.7","0","100","8.00485134124756","8.46258449554443"
"2010","66 and older","3","0","4076","0","0","0","10.26","45.76","2.74","3.26","0","100","0","0"
"2011","16-34 y.","17.39","6.77","7345","0","0","20.73","59.8","100","16.75","18.03","0","100","12.7838516235352","13.7870750427246"
"2011","35-65 y.","12.02","3.69","16455","0","0","11.96","35.19","100","11.67","12.37","0","100","8.01132011413574","8.51058864593506"
"2011","66 and older","3.14","0","5212","0","0","0","7.86","59.38","2.89","3.39","0","100","0","0"
"2012","16-34 y.","16.27","7.21","6890","0","0","19.06","52.05","100","15.64","16.9","0","100","11.7054748535156","12.5276594161987"
"2012","35-65 y.","11.63","3.46","16119","0","0","11.58","33.65","100","11.29","11.97","0","100","7.536865234375","7.92335033416748"
"2012","66 and older","3.1","0","5262","0","0","0","6.9","67.63","2.84","3.36","0","100","0","0"
"2013","16-34 y.","16.87","7.15","8435","0","0","19.64","55.41","100","16.29","17.45","0","100","11.4415998458862","12.3269891738892"
"2013","35-65 y.","11.94","3.36","17763","0","0","11.5","37.2","100","11.59","12.29","0","100","7.77542352676392","8.15804004669189"
"2013","66 and older","2.69","0","5107","0","0","0","5.5","56.17","2.4","2.98","0","100","0","0"
"2014","16-34 y.","17.57","7.18","7159","0","0","21.26","58.33","100","16.95","18.19","0","100","11.0325527191162","11.9058532714844"
"2014","35-65 y.","12.22","3.56","15610","0","0","11.42","38.24","100","11.86","12.58","0","100","7.16790008544922","7.59118318557739"
"2014","66 and older","2.79","0","5010","0","0","0","5.47","61.1","2.48","3.1","0","100","0","0"
"2015","16-34 y.","16.69","5.85","7276","0","0","18.4","57.97","100","16.05","17.33","0","100","9.9364185333252","10.7382555007935"
"2015","35-65 y.","11.94","3.12","15261","0","0","11","36.75","100","11.57","12.31","0","100","6.71563482284546","7.10398149490356"
"2015","66 and older","2.73","0","4969","0","0","0","5.35","56.18","2.41","3.05","0","100","0","0"
"2016","16-34 y.","16.87","6.55","6207","0","0","20.36","53.23","100","16.2","17.54","0","100","9.84286212921143","10.6804075241089"
"2016","35-65 y.","11.4","3.41","13959","0","0","10.33","34.13","100","11.02","11.78","0","100","6.57340574264526","6.9893217086792"
