"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Rural Area","9.37","3.89","831","0","1.11","9.73","21.04","100","8.22","10.52","0","100","3.65921568870544","4.75403070449829"
"1985","16-34 y.","Urban Area","8.17","1.9","3347","0","0","6.41","20","100","7.57","8.77","0","100","2.40803194046021","2.74197149276733"
"1985","35-65 y.","Rural Area","6.79","1.42","1171","0","0","6.14","16.54","100","5.9","7.68","0","100","1.74471473693848","2.56580090522766"
"1985","35-65 y.","Urban Area","5.32","1.1","4612","0","0","3.97","12.42","97.9","4.91","5.73","0","100","1.50619053840637","1.70733976364136"
"1985","66 and older","Rural Area","1.93","0","281","0","0","0","3.1","34.41","0.87","2.99","0","100","0","0"
"1985","66 and older","Urban Area","2.16","0","837","0","0","0","1.08","56.56","1.48","2.84","0","100","0","0"
"1986","16-34 y.","Rural Area","8.69","2.73","815","0","0.14","7.83","23.48","99.16","7.57","9.81","0","100","2.81680202484131","3.76247334480286"
"1986","16-34 y.","Urban Area","7.77","1.67","3277","0","0","6.12","19.7","100","7.19","8.35","0","100","2.06054091453552","2.33123254776001"
"1986","35-65 y.","Rural Area","6.63","1.59","1109","0","0","5.45","15.45","100","5.79","7.47","0","100","1.81151390075684","2.56709098815918"
"1986","35-65 y.","Urban Area","5.53","1.1","4389","0","0","3.56","12.99","99.09","5.1","5.96","0","100","1.42037570476532","1.61459982395172"
"1986","66 and older","Rural Area","1.59","0","261","0","0","0","0.75","28.84","0.54","2.64","0","100","0","0"
"1986","66 and older","Urban Area","1.98","0","786","0","0","0","2.15","51.01","1.45","2.51","0","72.96","0","0"
"1987","16-34 y.","Rural Area","8.86","2.5","815","0","0.42","8.6","23","91.39","7.71","10.01","0","100","2.70151233673096","3.46411633491516"
"1987","16-34 y.","Urban Area","6.95","1.57","3224","0","0","5.86","17.89","100","6.42","7.48","0","100","1.9713933467865","2.25918030738831"
"1987","35-65 y.","Rural Area","6.79","1.58","1081","0","0","5.22","15.65","97.92","5.91","7.67","0","100","1.72801983356476","2.39494562149048"
"1987","35-65 y.","Urban Area","5.34","0.93","4303","0","0","3.6","12.83","97.92","4.91","5.77","0","100","1.28915762901306","1.49946272373199"
"1987","66 and older","Rural Area","1.92","0","264","0","0","0","3.21","40.29","0.93","2.91","0","100","0","0"
"1987","66 and older","Urban Area","1.95","0","821","0","0","0","3.09","47.54","1.38","2.52","0","100","0","0"
"1988","16-34 y.","Rural Area","8.45","2.56","753","0","0","9.49","20.13","95.41","7.31","9.59","0","100","2.45851254463196","3.9316189289093"
"1988","16-34 y.","Urban Area","6.67","1.44","3100","0","0","6.09","17.84","94.41","6.14","7.2","0","100","2.04326128959656","2.36372041702271"
"1988","35-65 y.","Rural Area","6.82","1.26","1023","0","0","4.89","15.93","98.83","5.87","7.77","0","100","1.41000318527222","1.96116006374359"
"1988","35-65 y.","Urban Area","5.3","0.8","4089","0","0","3.31","11.76","100","4.85","5.75","0","100","1.2414071559906","1.41650903224945"
"1988","66 and older","Rural Area","1.26","0","248","0","0","0","2.87","16.81","0.38","2.14","0","100","0","0"
"1988","66 and older","Urban Area","1.56","0","807","0","0","0","2.17","42.34","1","2.12","0","90.68","0","0"
"1989","16-34 y.","Rural Area","8.42","2.18","720","0","0","9.24","19.51","100","7.25","9.59","0","100","2.16945791244507","2.88455510139465"
"1989","16-34 y.","Urban Area","7.25","1.37","3053","0","0","5.49","19.45","99.06","6.69","7.81","0","100","1.79228210449219","2.07474493980408"
"1989","35-65 y.","Rural Area","6.84","1.17","960","0","0","4.46","17.89","100","5.82","7.86","0","100","1.27301371097565","1.774258852005"
"1989","35-65 y.","Urban Area","5.23","0.72","3946","0","0","3.1","12.25","100","4.77","5.69","0","100","1.17981624603271","1.34643220901489"
"1989","66 and older","Rural Area","2.25","0","243","0","0","0","2.99","63.22","0.91","3.59","0","100","0","0"
"1989","66 and older","Urban Area","1.43","0","786","0","0","0","2.2","31.59","0.94","1.92","0","98.6","0","0"
"1990","16-34 y.","Rural Area","7.48","1.88","731","0","0","7.91","20.04","100","6.44","8.52","0","100","1.77088141441345","3.06689596176147"
"1990","16-34 y.","Urban Area","6.32","1.21","2923","0","0","5.27","17.22","81.01","5.82","6.82","0","100","1.52857995033264","1.90316784381866"
"1990","35-65 y.","Rural Area","5.66","1.01","939","0","0","4.22","14.25","97.58","4.75","6.57","0","100","1.17247176170349","1.61171782016754"
"1990","35-65 y.","Urban Area","4.96","0.69","3858","0","0","2.84","10.51","99.05","4.5","5.42","0","100","1.09545052051544","1.2675449848175"
"1990","66 and older","Rural Area","2.31","0","247","0","0","0","4.94","67.09","1.24","3.38","0","71.43","0","0"
"1990","66 and older","Urban Area","1.36","0","814","0","0","0","1.78","29.68","0.87","1.85","0","82.33","0","0"
"1991","16-34 y.","Rural Area","7.98","1.99","754","0","0","8.9","21.4","100","6.85","9.11","0","100","1.89670085906982","2.90461349487305"
"1991","16-34 y.","Urban Area","6.73","1.17","2869","0","0","6.1","18.36","95.69","6.2","7.26","0","100","1.41585576534271","1.73160171508789"
"1991","35-65 y.","Rural Area","5.53","1.09","952","0","0","4.27","13.34","81.2","4.65","6.41","0","100","1.1605269908905","1.59328055381775"
"1991","35-65 y.","Urban Area","4.73","0.55","3815","0","0","2.75","10.71","96.13","4.3","5.16","0","100","0.955255448818207","1.1064658164978"
"1991","66 and older","Rural Area","2.19","0","246","0","0","0","2.29","68.42","1.05","3.33","0","81.71","0","0"
"1991","66 and older","Urban Area","1.25","0","830","0","0","0","0","31.41","0.74","1.76","0","88.43","0","0"
"1992","16-34 y.","Rural Area","11.09","4.61","1635","0","0.53","14.78","29.25","92.84","10.31","11.87","0","100","5.23415994644165","6.46976089477539"
"1992","16-34 y.","Urban Area","7.97","1.42","3305","0","0","7.86","20.53","99.46","7.42","8.52","0","100","1.71913373470306","2.19482254981995"
"1992","35-65 y.","Rural Area","6.72","1.32","2299","0","0","6.46","19.31","92.52","6.16","7.28","0","100","1.83287107944489","2.28303718566895"
"1992","35-65 y.","Urban Area","5.06","0.63","4557","0","0","3.07","12.55","94.38","4.66","5.46","0","100","0.990418434143066","1.19688105583191"
"1992","66 and older","Rural Area","1.63","0","507","0","0","0","3.75","53.62","1.11","2.15","0","77.47","0","0"
"1992","66 and older","Urban Area","1.14","0","966","0","0","0","2.14","17.05","0.66","1.62","0","100","0","0"
"1993","16-34 y.","Rural Area","13.24","5.09","1611","0","0","16.99","38.34","99.88","12.3","14.18","0","100","5.4708399772644","7.22274541854858"
"1993","16-34 y.","Urban Area","8.07","1.6","3309","0","0","8.16","21.8","100","7.48","8.66","0","100","2.03008770942688","2.43764019012451"
"1993","35-65 y.","Rural Area","7.49","1.35","2270","0","0","7.34","22.64","80.17","6.84","8.14","0","100","2.2228422164917","3.02374625205994"
"1993","35-65 y.","Urban Area","5.84","0.8","4486","0","0","3.74","14.72","92.23","5.4","6.28","0","100","1.27598822116852","1.52332925796509"
"1993","66 and older","Rural Area","2.69","0","518","0","0","0","6.67","67.04","2.01","3.37","0","81.73","0","0"
"1993","66 and older","Urban Area","1.16","0","982","0","0","0","2.52","23.28","0.69","1.63","0","90.2","0","0"
"1994","16-34 y.","Rural Area","12.84","4.01","1561","0","0","16.3","40.5","99.48","11.86","13.82","0","100","4.47092247009277","5.42434978485107"
"1994","16-34 y.","Urban Area","9.16","1.54","3253","0","0","8.99","27.2","100","8.53","9.79","0","100","2.07453465461731","2.42825603485107"
"1994","35-65 y.","Rural Area","8.39","1.41","2243","0","0","7.53","25.69","95.26","7.68","9.1","0","100","1.91014742851257","2.47880578041077"
"1994","35-65 y.","Urban Area","6.45","0.82","4359","0","0","3.92","16.75","99.57","5.96","6.94","0","100","1.28724455833435","1.51912176609039"
"1994","66 and older","Rural Area","1.96","0","513","0","0","0","3.51","31.21","1.43","2.49","0","76.26","0","0"
"1994","66 and older","Urban Area","1.26","0","1008","0","0","0","1.71","33.83","0.76","1.76","0","88.73","0","0"
"1995","16-34 y.","Rural Area","13.23","3.67","1625","0","0","15.59","39.37","100","12.22","14.24","0","100","3.75229358673096","4.69611167907715"
"1995","16-34 y.","Urban Area","10.26","1.57","3337","0","0","9.46","29.72","100","9.58","10.94","0","100","2.07758235931396","2.52026796340942"
"1995","35-65 y.","Rural Area","9.33","1.4","2348","0","0","8.28","30.24","99.97","8.59","10.07","0","100","1.84984111785889","2.38095235824585"
"1995","35-65 y.","Urban Area","7.31","0.94","4501","0","0","4.42","18.26","100","6.79","7.83","0","100","1.39503121376038","1.5963978767395"
"1995","66 and older","Rural Area","2.12","0","505","0","0","0","2.03","53.9","1.39","2.85","0","80.27","0","0"
"1995","66 and older","Urban Area","1.21","0","1048","0","0","0","0","25.62","0.69","1.73","0","100","0","0"
"1996","16-34 y.","Rural Area","11.66","3.29","1567","0","0","15.24","33.77","98.41","10.73","12.59","0","100","3.33125185966492","4.58666467666626"
"1996","16-34 y.","Urban Area","9.85","1.64","3212","0","0","9.08","28.87","100","9.16","10.54","0","100","2.26672291755676","2.66811609268188"
"1996","35-65 y.","Rural Area","11.28","1.94","2360","0","0","11.51","36.98","99.04","10.45","12.11","0","100","2.37213158607483","3.0013964176178"
"1996","35-65 y.","Urban Area","8.32","1.19","4403","0","0","4.77","25.47","100","7.75","8.89","0","100","1.61260008811951","1.87215304374695"
"1996","66 and older","Rural Area","2.08","0","506","0","0","0","1.2","47.06","1.24","2.92","0","78.12","0","0"
"1996","66 and older","Urban Area","1.91","0","1070","0","0","0","2","47.28","1.32","2.5","0","100","0","0"
"1997","16-34 y.","Rural Area","15.72","7.71","1517","0","1.09","19.28","42.25","100","14.69","16.75","0","100","7.21235704421997","8.5511589050293"
"1997","16-34 y.","Urban Area","12.27","4.59","3117","0","0","13.71","32.82","100","11.56","12.98","0","100","5.06857252120972","5.8877158164978"
"1997","35-65 y.","Rural Area","13.2","4.54","2331","0","0","14.58","42.43","99.21","12.36","14.04","0","100","5.50668716430664","6.54103469848633"
