"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","direct migration background","5.44","6","805","4","4","7","7","7","5.34","5.54","1","7","6","6"
"2005","Full Time","indirect migration background","5.39","6","328","4","5","7","7","7","5.24","5.54","1","7","5","6"
"2005","Full Time","no migration background","5.29","6","6882","3","4","6","7","7","5.26","5.32","1","7","6","6"
"2005","Not Working","direct migration background","5.25","6","994","3","4","7","7","7","5.15","5.35","1","7","5","6"
"2005","Not Working","indirect migration background","5.15","5","282","3","4","6","7","7","4.97","5.33","1","7","5","5"
"2005","Not Working","no migration background","5.17","5","6555","3","4","6","7","7","5.13","5.21","1","7","5","6"
"2005","Part Time","direct migration background","5.43","6","553","3","4","7","7","7","5.31","5.55","1","7","6","6"
"2005","Part Time","indirect migration background","5.39","5.1","219","4","4","7","7","7","5.2","5.58","1","7","5","6"
"2005","Part Time","no migration background","5.24","5","4038","3","4","6","7","7","5.2","5.28","1","7","5","6"
"2006","Full Time","direct migration background","","","","","","","","","","","","","",""
"2006","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2006","Full Time","no migration background","","","","","","","","","","","","","",""
"2006","Not Working","direct migration background","","","","","","","","","","","","","",""
"2006","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2006","Not Working","no migration background","","","","","","","","","","","","","",""
"2006","Part Time","direct migration background","","","","","","","","","","","","","",""
"2006","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2006","Part Time","no migration background","","","","","","","","","","","","","",""
"2007","Full Time","direct migration background","","","","","","","","","","","","","",""
"2007","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2007","Full Time","no migration background","","","","","","","","","","","","","",""
"2007","Not Working","direct migration background","","","","","","","","","","","","","",""
"2007","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2007","Not Working","no migration background","","","","","","","","","","","","","",""
"2007","Part Time","direct migration background","","","","","","","","","","","","","",""
"2007","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2007","Part Time","no migration background","","","","","","","","","","","","","",""
"2008","Full Time","direct migration background","","","","","","","","","","","","","",""
"2008","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2008","Full Time","no migration background","","","","","","","","","","","","","",""
"2008","Not Working","direct migration background","","","","","","","","","","","","","",""
"2008","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2008","Not Working","no migration background","","","","","","","","","","","","","",""
"2008","Part Time","direct migration background","","","","","","","","","","","","","",""
"2008","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2008","Part Time","no migration background","","","","","","","","","","","","","",""
"2009","Full Time","direct migration background","","","","","","","","","","","","","",""
"2009","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2009","Full Time","no migration background","","","","","","","","","","","","","",""
"2009","Not Working","direct migration background","","","","","","","","","","","","","",""
"2009","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2009","Not Working","no migration background","","","","","","","","","","","","","",""
"2009","Part Time","direct migration background","","","","","","","","","","","","","",""
"2009","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2009","Part Time","no migration background","","","","","","","","","","","","","",""
"2010","Full Time","direct migration background","5.53","6","467","4","5","7","7","7","5.4","5.66","1","7","6","6"
"2010","Full Time","indirect migration background","5.32","5","287","4","4","6","7","7","5.15","5.49","1","7","5","6"
"2010","Full Time","no migration background","5.24","5","5686","3","4","6","7","7","5.2","5.28","1","7","5","6"
"2010","Not Working","direct migration background","5.15","5","615","3","4","7","7","7","5.02","5.28","1","7","5","6"
"2010","Not Working","indirect migration background","5.18","5","175","3","4","6","7","7","4.94","5.42","1","7","5","6"
"2010","Not Working","no migration background","5.14","5","5514","3","4","6","7","7","5.1","5.18","1","7","5","5"
"2010","Part Time","direct migration background","5.43","6","377","4","4","7","7","7","5.28","5.58","1","7","5","6"
"2010","Part Time","indirect migration background","5.76","6","195","4","5","7","7","7","5.55","5.97","1","7","5","6"
"2010","Part Time","no migration background","5.09","5","3328","3","4","6","7","7","5.04","5.14","1","7","5","5"
"2011","Full Time","direct migration background","","","","","","","","","","","","","",""
"2011","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2011","Full Time","no migration background","","","","","","","","","","","","","",""
"2011","Not Working","direct migration background","","","","","","","","","","","","","",""
"2011","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2011","Not Working","no migration background","","","","","","","","","","","","","",""
"2011","Part Time","direct migration background","","","","","","","","","","","","","",""
"2011","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2011","Part Time","no migration background","","","","","","","","","","","","","",""
"2012","Full Time","direct migration background","","","","","","","","","","","","","",""
"2012","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2012","Full Time","no migration background","","","","","","","","","","","","","",""
"2012","Not Working","direct migration background","","","","","","","","","","","","","",""
"2012","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2012","Not Working","no migration background","","","","","","","","","","","","","",""
"2012","Part Time","direct migration background","","","","","","","","","","","","","",""
"2012","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2012","Part Time","no migration background","","","","","","","","","","","","","",""
"2013","Full Time","direct migration background","","","","","","","","","","","","","",""
"2013","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2013","Full Time","no migration background","","","","","","","","","","","","","",""
"2013","Not Working","direct migration background","","","","","","","","","","","","","",""
"2013","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2013","Not Working","no migration background","","","","","","","","","","","","","",""
"2013","Part Time","direct migration background","","","","","","","","","","","","","",""
"2013","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2013","Part Time","no migration background","","","","","","","","","","","","","",""
"2014","Full Time","direct migration background","","","","","","","","","","","","","",""
"2014","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2014","Full Time","no migration background","","","","","","","","","","","","","",""
"2014","Not Working","direct migration background","","","","","","","","","","","","","",""
"2014","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2014","Not Working","no migration background","","","","","","","","","","","","","",""
"2014","Part Time","direct migration background","","","","","","","","","","","","","",""
"2014","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2014","Part Time","no migration background","","","","","","","","","","","","","",""
"2015","Full Time","direct migration background","5.56","6","1611","4","5","7","7","7","5.49","5.63","1","7","6","6"
"2015","Full Time","indirect migration background","5.46","6","657","3","5","7","7","7","5.34","5.58","1","7","6","6"
"2015","Full Time","no migration background","5.3","6","7226","3","5","6","7","7","5.27","5.33","1","7","5","6"
"2015","Not Working","direct migration background","5.37","6","2777","3","4","7","7","7","5.31","5.43","1","7","6","6"
"2015","Not Working","indirect migration background","5.2","5","497","3","4","6","7","7","5.06","5.34","1","7","5","6"
"2015","Not Working","no migration background","5.22","6","6787","3","4","6","7","7","5.18","5.26","1","7","5","6"
"2015","Part Time","direct migration background","5.53","6","1362","4","5","7","7","7","5.45","5.61","1","7","6","6"
"2015","Part Time","indirect migration background","5.35","6","530","3","5","7","7","7","5.21","5.49","1","7","5","6"
"2015","Part Time","no migration background","5.22","5","5209","3","4","6","7","7","5.18","5.26","1","7","5","5"
"2016","Full Time","direct migration background","","","","","","","","","","","","","",""
"2016","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2016","Full Time","no migration background","","","","","","","","","","","","","",""
"2016","Not Working","direct migration background","6.11","7","4291","4","6","7","7","7","6.08","6.14","1","7","7","7"
"2016","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2016","Not Working","no migration background","","","","","","","","","","","","","",""
"2016","Part Time","direct migration background","","","","","","","","","","","","","",""
"2016","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2016","Part Time","no migration background","","","","","","","","","","","","","",""
"2017","Full Time","direct migration background","","","","","","","","","","","","","",""
"2017","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2017","Full Time","no migration background","","","","","","","","","","","","","",""
"2017","Not Working","direct migration background","6.35","7","2849","5","6","7","7","7","6.31","6.39","1","7","7","7"
"2017","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2017","Not Working","no migration background","","","","","","","","","","","","","",""
"2017","Part Time","direct migration background","","","","","","","","","","","","","",""
"2017","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2017","Part Time","no migration background","","","","","","","","","","","","","",""
"2018","Full Time","direct migration background","","","","","","","","","","","","","",""
"2018","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2018","Full Time","no migration background","","","","","","","","","","","","","",""
"2018","Not Working","direct migration background","6.42","7","419","5","7","7","7","7","6.3","6.54","1","7","7","7"
"2018","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2018","Not Working","no migration background","","","","","","","","","","","","","",""
"2018","Part Time","direct migration background","","","","","","","","","","","","","",""
"2018","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2018","Part Time","no migration background","","","","","","","","","","","","","",""
"2019","Full Time","direct migration background","","","","","","","","","","","","","",""
"2019","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2019","Full Time","no migration background","","","","","","","","","","","","","",""
"2019","Not Working","direct migration background","6.19","7","278","4","6","7","7","7","6.03","6.35","1","7","7","7"
"2019","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2019","Not Working","no migration background","","","","","","","","","","","","","",""
"2019","Part Time","direct migration background","","","","","","","","","","","","","",""
"2019","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2019","Part Time","no migration background","","","","","","","","","","","","","",""
