"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.25","5","20656","3","4","6","7","5.23","5.27","5","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","","","","","","","","","","",""
"2010","5.2","5","16644","3","4","6","7","5.18","5.22","5","5"
"2011","","","","","","","","","","",""
"2012","","","","","","","","","","",""
"2013","","","","","","","","","","",""
"2014","","","","","","","","","","",""
"2015","5.29","6","26656","3","4","6","7","5.27","5.31","6","6"
"2016","6.01","7","4345","4","5","7","7","5.98","6.04","7","7"
"2017","6.35","7","2849","5","6","7","7","6.31","6.39","7","7"
"2018","6.42","7","419","5","7","7","7","6.3","6.54","7","7"
"2019","6.19","7","278","4","6","7","7","6.03","6.35","7","7"
