"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","5.43","6","5184","5.4","5.46","4","5","6","7"
"2005","lower secondary degree","5.17","5","7062","5.13","5.21","3","4","6","7"
"2005","no degree/no degree yet","5","5","892","4.9","5.1","3","4","6","7"
"2005","Other degree","5.27","6","1113","5.18","5.36","3","4","7","7"
"2005","secondary school degree","5.28","6","6018","5.24","5.32","3","4","6","7"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","","","","","","","","",""
"2009","lower secondary degree","","","","","","","","",""
"2009","no degree/no degree yet","","","","","","","","",""
"2009","Other degree","","","","","","","","",""
"2009","secondary school degree","","","","","","","","",""
"2010","college entrance qualification","5.3","6","4663","5.26","5.34","4","5","6","7"
"2010","lower secondary degree","5.16","5","5341","5.12","5.2","3","4","6","7"
"2010","no degree/no degree yet","5.12","5","412","4.97","5.27","3","4","6","7"
"2010","Other degree","5.32","6","713","5.21","5.43","3","4","7","7"
"2010","secondary school degree","5.17","5","5046","5.13","5.21","3","4","6","7"
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","","","","","","","","",""
"2012","lower secondary degree","","","","","","","","",""
"2012","no degree/no degree yet","","","","","","","","",""
"2012","Other degree","","","","","","","","",""
"2012","secondary school degree","","","","","","","","",""
"2013","college entrance qualification","","","","","","","","",""
"2013","lower secondary degree","","","","","","","","",""
"2013","no degree/no degree yet","","","","","","","","",""
"2013","Other degree","","","","","","","","",""
"2013","secondary school degree","","","","","","","","",""
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","5.43","6","7196","5.4","5.46","4","5","6","7"
"2015","lower secondary degree","5.17","5","6374","5.13","5.21","3","4","6","7"
"2015","no degree/no degree yet","5.14","5","945","5.03","5.25","3","4","7","7"
"2015","Other degree","5.47","6","3988","5.42","5.52","3","4","7","7"
"2015","secondary school degree","5.24","5","7194","5.21","5.27","3","4","6","7"
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","4.72","5","33","4.19","5.25","2","2","7","7"
"2016","no degree/no degree yet","6.14","7","1575","6.09","6.19","4","5","7","7"
"2016","Other degree","6.08","7","2347","6.04","6.12","4","6","7","7"
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","","","","","","","","",""
"2017","lower secondary degree","","","","","","","","",""
"2017","no degree/no degree yet","6.39","7","1232","6.32","6.46","5","6","7","7"
"2017","Other degree","6.32","7","1439","6.26","6.38","5","6","7","7"
"2017","secondary school degree","","","","","","","","",""
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","6.25","7","174","6.04","6.46","4","6","7","7"
"2018","Other degree","6.39","7","179","6.2","6.58","5","7","7","7"
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","","","","","","","","",""
"2019","lower secondary degree","","","","","","","","",""
"2019","no degree/no degree yet","6.06","7","140","5.8","6.32","4","5","7","7"
"2019","Other degree","6.31","7","88","6.05","6.57","4","6","7","7"
"2019","secondary school degree","","","","","","","","",""
