"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2018","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2018","(3a) lower tertiary education","","","","","","","","",""
"2018","(3b) higher tertiary education","6.54","7","49","6.29","6.79","5","7","7","7"
"2019","(0) in school","","","","","","","","",""
"2019","(1a) inadequately completed","5.99","7","136","5.72","6.26","4","5","7","7"
"2019","(1b) general elementary school","5.93","7","47","5.61","6.25","2","6","7","7"
"2019","(1c) basic vocational qualification","","","","","","","","",""
"2019","(2a) intermediate vocational","","","","","","","","",""
"2019","(2b) intermediate general qualification","","","","","","","","",""
"2019","(2c_gen) general maturity certificate","","","","","","","","",""
"2019","(2c_voc) vocational maturity certificate","","","","","","","","",""
"2019","(3a) lower tertiary education","","","","","","","","",""
"2019","(3b) higher tertiary education","","","","","","","","",""
