"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","5.14","5","5312","3","4","6","7","5.1","5.18","5","5"
"2005","35-65 y.","5.3","6","11583","3","4","7","7","5.27","5.33","6","6"
"2005","66 and older","5.25","6","3761","3","4","7","7","5.2","5.3","6","6"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","","","","","","","","","","",""
"2009","35-65 y.","","","","","","","","","","",""
"2009","66 and older","","","","","","","","","","",""
"2010","16-34 y.","5.17","5","3576","3","4","6","7","5.12","5.22","5","5"
"2010","35-65 y.","5.22","5","9054","3","4","6","7","5.19","5.25","5","5"
"2010","66 and older","5.2","5","4014","3","4","7","7","5.15","5.25","5","6"
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","","","","","","","","","","",""
"2012","35-65 y.","","","","","","","","","","",""
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","","","","","","","","","","",""
"2013","35-65 y.","","","","","","","","","","",""
"2013","66 and older","","","","","","","","","","",""
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","5.31","6","6618","3","5","6","7","5.27","5.35","6","6"
"2015","35-65 y.","5.28","6","15123","3","4","6","7","5.26","5.3","6","6"
"2015","66 and older","5.3","6","4915","3","4","7","7","5.26","5.34","6","6"
"2016","16-34 y.","5.95","7","2475","4","5","7","7","5.9","6","7","7"
"2016","35-65 y.","6.17","7","1842","4","6","7","7","6.12","6.22","7","7"
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","6.32","7","1845","5","6","7","7","6.27","6.37","7","7"
"2017","35-65 y.","6.47","7","969","5","6","7","7","6.4","6.54","7","7"
"2017","66 and older","5.93","7","35","1","5","7","7","5.49","6.37","7","7"
"2018","16-34 y.","6.55","7","254","5","7","7","7","6.4","6.7","7","7"
"2018","35-65 y.","6.09","7","161","4","6","7","7","5.87","6.31","7","7"
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","6.15","7","147","4","6","7","7","5.93","6.37","7","7"
"2019","35-65 y.","6.25","7","125","4","6","7","7","6","6.5","7","7"
"2019","66 and older","","","","","","","","","","",""
