"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","3.93","4","4939","2","3","5","5","5","3.9","3.96","2","5","4","4"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","4.44","5","4178","3","4","5","5","5","4.41","4.47","2","5","5","5"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","3.95","4","1848","2","3","5","5","5","3.9","4","2","5","4","4"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","3.93","4","4839","2","3","5","5","5","3.9","3.96","2","5","4","4"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","4.46","5","3897","3","4","5","5","5","4.43","4.49","2","5","5","5"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","3.92","4","1822","2","3","5","5","5","3.87","3.97","2","5","4","4"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","","","","","","","","","","","","","",""
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","","","","","","","","","","","","","",""
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","","","","","","","","","","","","","",""
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","3.9","4","4567","2","3","5","5","5","3.87","3.93","2","5","4","4"
"1988","Not Working","East Germany","","","","","","","","","","","","","",""
"1988","Not Working","West Germany","4.47","5","3539","3","4","5","5","5","4.44","4.5","2","5","5","5"
"1988","Part Time","East Germany","","","","","","","","","","","","","",""
"1988","Part Time","West Germany","3.98","4","1827","3","3","5","5","5","3.94","4.02","2","5","4","4"
"1989","Full Time","East Germany","","","","","","","","","","","","","",""
"1989","Full Time","West Germany","","","","","","","","","","","","","",""
"1989","Not Working","East Germany","","","","","","","","","","","","","",""
"1989","Not Working","West Germany","","","","","","","","","","","","","",""
"1989","Part Time","East Germany","","","","","","","","","","","","","",""
"1989","Part Time","West Germany","","","","","","","","","","","","","",""
"1990","Full Time","East Germany","","","","","","","","","","","","","",""
"1990","Full Time","West Germany","4.06","4","4425","3","4","5","5","5","4.03","4.09","1","5","4","4"
"1990","Not Working","East Germany","","","","","","","","","","","","","",""
"1990","Not Working","West Germany","4.57","5","3334","3","4","5","5","5","4.54","4.6","1","5","5","5"
"1990","Part Time","East Germany","","","","","","","","","","","","","",""
"1990","Part Time","West Germany","4.03","4","1724","3","3","5","5","5","3.99","4.07","1","5","4","4"
"1991","Full Time","East Germany","","","","","","","","","","","","","",""
"1991","Full Time","West Germany","","","","","","","","","","","","","",""
"1991","Not Working","East Germany","","","","","","","","","","","","","",""
"1991","Not Working","West Germany","","","","","","","","","","","","","",""
"1991","Part Time","East Germany","","","","","","","","","","","","","",""
"1991","Part Time","West Germany","","","","","","","","","","","","","",""
"1992","Full Time","East Germany","4.03","4","2172","3","4","5","5","5","4","4.06","2","5","4","4"
"1992","Full Time","West Germany","3.87","4","4376","3","3","5","5","5","3.84","3.9","2","5","4","4"
"1992","Not Working","East Germany","4.59","5","1029","4","4","5","5","5","4.53","4.65","2","5","5","5"
"1992","Not Working","West Germany","4.49","5","3166","3","4","5","5","5","4.46","4.52","2","5","5","5"
"1992","Part Time","East Germany","4.06","4","757","3","4","5","5","5","4","4.12","2","5","4","4"
"1992","Part Time","West Germany","3.89","4","1732","2","3","5","5","5","3.85","3.93","2","5","4","4"
"1993","Full Time","East Germany","","","","","","","","","","","","","",""
"1993","Full Time","West Germany","","","","","","","","","","","","","",""
"1993","Not Working","East Germany","","","","","","","","","","","","","",""
"1993","Not Working","West Germany","","","","","","","","","","","","","",""
"1993","Part Time","East Germany","","","","","","","","","","","","","",""
"1993","Part Time","West Germany","","","","","","","","","","","","","",""
"1994","Full Time","East Germany","3.99","4","1848","3","4","5","5","5","3.95","4.03","2","5","4","4"
"1994","Full Time","West Germany","3.82","4","4090","2","3","4","5","5","3.79","3.85","2","5","4","4"
"1994","Not Working","East Germany","4.52","5","1328","3","4","5","5","5","4.47","4.57","2","5","5","5"
"1994","Not Working","West Germany","4.41","5","3193","3","4","5","5","5","4.38","4.44","2","5","5","5"
"1994","Part Time","East Germany","3.98","4","586","2","3","5","5","5","3.9","4.06","2","5","4","4"
"1994","Part Time","West Germany","3.93","4","1771","3","3","5","5","5","3.89","3.97","2","5","4","4"
"1995","Full Time","East Germany","4.03","4","1783","3","4","5","5","5","3.99","4.07","1","5","4","4"
"1995","Full Time","West Germany","3.98","4","4115","3","3","5","5","5","3.95","4.01","1","5","4","4"
"1995","Not Working","East Germany","4.6","5","1304","4","4","5","5","5","4.55","4.65","2","5","5","5"
"1995","Not Working","West Germany","4.48","5","3496","3","4","5","5","5","4.45","4.51","1","5","5","5"
"1995","Part Time","East Germany","4.01","4","601","2","4","5","5","5","3.93","4.09","2","5","4","4"
"1995","Part Time","West Germany","4","4","2003","3","3","5","5","5","3.96","4.04","1","5","4","4"
"1996","Full Time","East Germany","3.84","4","1790","3","3","4","5","5","3.8","3.88","2","5","4","4"
"1996","Full Time","West Germany","3.75","4","3950","2","3","4","5","5","3.72","3.78","2","5","4","4"
"1996","Not Working","East Germany","4.41","5","1285","3","4","5","5","5","4.36","4.46","2","5","4","5"
"1996","Not Working","West Germany","4.36","5","3342","3","4","5","5","5","4.33","4.39","2","5","5","5"
"1996","Part Time","East Germany","3.82","4","609","2","3","4","5","5","3.75","3.89","2","5","4","4"
"1996","Part Time","West Germany","3.84","4","2082","2","3","5","5","5","3.8","3.88","2","5","4","4"
"1997","Full Time","East Germany","3.81","4","1707","3","3","4","5","5","3.77","3.85","2","5","4","4"
"1997","Full Time","West Germany","3.78","4","3876","3","3","4","5","5","3.75","3.81","2","5","4","4"
"1997","Not Working","East Germany","4.41","5","1320","3","4","5","5","5","4.36","4.46","2","5","5","5"
"1997","Not Working","West Germany","4.39","5","3370","3","4","5","5","5","4.36","4.42","2","5","5","5"
"1997","Part Time","East Germany","3.83","4","601","3","3","4","5","5","3.76","3.9","2","5","4","4"
"1997","Part Time","West Germany","3.9","4","1941","3","3","5","5","5","3.86","3.94","2","5","4","4"
"1998","Full Time","East Germany","3.86","4","1759","3","3","4","5","5","3.82","3.9","1","5","4","4"
"1998","Full Time","West Germany","3.9","4","4230","3","3","4","5","5","3.87","3.93","1","5","4","4"
"1998","Not Working","East Germany","4.53","5","1420","3","4","5","5","5","4.48","4.58","1","5","5","5"
"1998","Not Working","West Germany","4.46","5","3978","3","4","5","5","5","4.43","4.49","1","5","5","5"
"1998","Part Time","East Germany","3.97","4","692","3","4","5","5","5","3.9","4.04","1","5","4","4"
"1998","Part Time","West Germany","3.93","4","2179","3","3","5","5","5","3.89","3.97","2","5","4","4"
"1999","Full Time","East Germany","3.74","4","1696","3","3","4","5","5","3.7","3.78","2","5","4","4"
"1999","Full Time","West Germany","3.8","4","4133","3","3","4","5","5","3.77","3.83","2","5","4","4"
"1999","Not Working","East Germany","4.36","5","1367","3","4","5","5","5","4.31","4.41","2","5","4","5"
"1999","Not Working","West Germany","4.39","5","3553","3","4","5","5","5","4.36","4.42","2","5","5","5"
"1999","Part Time","East Germany","3.81","4","712","3","3","4","5","5","3.75","3.87","2","5","4","4"
"1999","Part Time","West Germany","3.81","4","2224","2","3","4","5","5","3.77","3.85","2","5","4","4"
"2000","Full Time","East Germany","","","","","","","","","","","","","",""
"2000","Full Time","West Germany","","","","","","","","","","","","","",""
"2000","Not Working","East Germany","","","","","","","","","","","","","",""
"2000","Not Working","West Germany","","","","","","","","","","","","","",""
"2000","Part Time","East Germany","","","","","","","","","","","","","",""
"2000","Part Time","West Germany","","","","","","","","","","","","","",""
"2001","Full Time","East Germany","3.74","4","2330","3","3","4","5","5","3.71","3.77","2","5","4","4"
"2001","Full Time","West Germany","3.81","4","6715","3","3","4","5","5","3.79","3.83","2","5","4","4"
