"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","4.16","4","10965","3","4","5","5","5","4.14","4.18","2","5","4","4"
"1986","4.15","4","10558","3","4","5","5","5","4.13","4.17","2","5","4","4"
"1987","","","","","","","","","","","","","",""
"1988","4.15","4","9933","3","4","5","5","5","4.13","4.17","2","5","4","4"
"1989","","","","","","","","","","","","","",""
"1990","4.22","4","13872","3","4","5","5","5","4.2","4.24","1","5","4","4"
"1991","","","","","","","","","","","","","",""
"1992","4.14","4","13232","3","4","5","5","5","4.12","4.16","2","5","4","4"
"1993","","","","","","","","","","","","","",""
"1994","4.11","4","12816","3","4","5","5","5","4.09","4.13","2","5","4","4"
"1995","4.21","4","13302","3","4","5","5","5","4.19","4.23","1","5","4","4"
"1996","4.03","4","13058","3","3","5","5","5","4.01","4.05","2","5","4","4"
"1997","4.06","4","12815","3","4","5","5","5","4.04","4.08","2","5","4","4"
"1998","4.15","4","14258","3","4","5","5","5","4.14","4.16","1","5","4","4"
"1999","4.03","4","13685","3","4","5","5","5","4.01","4.05","2","5","4","4"
"2000","","","","","","","","","","","","","",""
"2001","4.05","4","21900","3","4","5","5","5","4.04","4.06","2","5","4","4"
"2002","","","","","","","","","","","","","",""
"2003","4.16","4","22202","3","4","5","5","5","4.15","4.17","1","5","4","4"
"2004","","","","","","","","","","","","","",""
"2005","4.04","4","20705","3","4","5","5","5","4.03","4.05","2","5","4","4"
"2006","","","","","","","","","","","","","",""
"2007","4.05","4","20514","3","4","5","5","5","4.04","4.06","2","5","4","4"
"2008","4.16","4","19368","3","4","5","5","5","4.15","4.17","1","5","4","4"
"2009","4.01","4","18040","3","4","5","5","5","4","4.02","2","5","4","4"
"2010","","","","","","","","","","","","","",""
"2011","4.03","4","28397","3","4","5","5","5","4.02","4.04","2","5","4","4"
"2012","","","","","","","","","","","","","",""
"2013","4.11","4","25535","3","4","5","5","5","4.1","4.12","1","5","4","4"
"2014","","","","","","","","","","","","","",""
"2015","4.04","4","26883","3","4","5","5","5","4.03","4.05","2","5","4","4"
"2016","","","","","","","","","","","","","",""
"2017","3.98","4","32216","3","3","5","5","5","3.97","3.99","1","5","4","4"
"2018","4.42","5","3839","3","4","5","5","5","4.4","4.44","1","5","5","5"
"2019","4.07","4","29399","3","4","5","5","5","4.06","4.08","1","5","4","4"
