"year","e11102","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","college entrance qualification","3.76","4","825","2","3","4","5","5","3.69","3.83","2","5","4","4"
"1985","Employed","lower secondary degree","4.08","4","3134","3","4","5","5","5","4.05","4.11","2","5","4","4"
"1985","Employed","no degree/no degree yet","4.31","5","559","3","4","5","5","5","4.24","4.38","2","5","5","5"
"1985","Employed","Other degree","4.19","5","954","3","4","5","5","5","4.13","4.25","2","5","5","5"
"1985","Employed","secondary school degree","3.63","4","1233","2","3","4","5","5","3.57","3.69","2","5","4","4"
"1985","Not Employed","college entrance qualification","3.95","4","390","2","3","5","5","5","3.84","4.06","2","5","4","4"
"1985","Not Employed","lower secondary degree","4.66","5","2295","4","5","5","5","5","4.63","4.69","2","5","5","5"
"1985","Not Employed","no degree/no degree yet","3.61","4","530","2","3","5","5","5","3.52","3.7","2","5","4","5"
"1985","Not Employed","Other degree","4.37","5","266","3","4","5","5","5","4.27","4.47","2","5","5","5"
"1985","Not Employed","secondary school degree","4.23","5","632","3","4","5","5","5","4.15","4.31","2","5","4","4"
"1986","Employed","college entrance qualification","3.76","4","863","2","3","4","5","5","3.7","3.82","2","5","4","4"
"1986","Employed","lower secondary degree","4.06","4","3042","3","4","5","5","5","4.03","4.09","2","5","4","4"
"1986","Employed","no degree/no degree yet","4.23","5","516","2","4","5","5","5","4.16","4.3","2","5","5","5"
"1986","Employed","Other degree","4.27","5","915","3","4","5","5","5","4.21","4.33","2","5","5","5"
"1986","Employed","secondary school degree","3.65","4","1234","2","3","4","5","5","3.6","3.7","2","5","4","4"
"1986","Not Employed","college entrance qualification","3.91","4","386","2","3","5","5","5","3.8","4.02","2","5","4","4"
"1986","Not Employed","lower secondary degree","4.66","5","2096","4","5","5","5","5","4.63","4.69","2","5","5","5"
"1986","Not Employed","no degree/no degree yet","3.71","4","511","2","3","5","5","5","3.61","3.81","2","5","4","5"
"1986","Not Employed","Other degree","4.6","5","249","4","4","5","5","5","4.5","4.7","2","5","5","5"
"1986","Not Employed","secondary school degree","4.3","5","600","3","4","5","5","5","4.22","4.38","2","5","4","5"
"1987","Employed","college entrance qualification","","","","","","","","","","","","","",""
"1987","Employed","lower secondary degree","","","","","","","","","","","","","",""
"1987","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1987","Employed","Other degree","","","","","","","","","","","","","",""
