"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Female","3.97","4","2610","2","3","5","5","5","3.93","4.01","2","5","4","4"
"1985","Employed","Male","3.92","4","4177","2","3","5","5","5","3.89","3.95","2","5","4","4"
"1985","Not Employed","Female","4.54","5","2960","3","4","5","5","5","4.51","4.57","2","5","5","5"
"1985","Not Employed","Male","4.22","5","1218","2","4","5","5","5","4.16","4.28","2","5","4","5"
"1986","Employed","Female","3.95","4","2604","3","3","5","5","5","3.91","3.99","2","5","4","4"
"1986","Employed","Male","3.91","4","4057","2","3","5","5","5","3.88","3.94","2","5","4","4"
"1986","Not Employed","Female","4.56","5","2725","3","4","5","5","5","4.53","4.59","2","5","5","5"
"1986","Not Employed","Male","4.22","5","1172","3","3","5","5","5","4.16","4.28","2","5","4","5"
"1987","Employed","Female","","","","","","","","","","","","","",""
"1987","Employed","Male","","","","","","","","","","","","","",""
"1987","Not Employed","Female","","","","","","","","","","","","","",""
"1987","Not Employed","Male","","","","","","","","","","","","","",""
"1988","Employed","Female","3.98","4","2556","3","3","5","5","5","3.94","4.02","2","5","4","4"
"1988","Employed","Male","3.89","4","3838","2","3","5","5","5","3.86","3.92","2","5","4","4"
"1988","Not Employed","Female","4.55","5","2460","3","4","5","5","5","4.52","4.58","2","5","5","5"
"1988","Not Employed","Male","4.29","5","1079","3","4","5","5","5","4.23","4.35","2","5","5","5"
"1989","Employed","Female","","","","","","","","","","","","","",""
"1989","Employed","Male","","","","","","","","","","","","","",""
"1989","Not Employed","Female","","","","","","","","","","","","","",""
"1989","Not Employed","Male","","","","","","","","","","","","","",""
"1990","Employed","Female","4.04","4","2539","3","4","5","5","5","4.01","4.07","1","5","4","4"
"1990","Employed","Male","4.05","4","3610","3","4","5","5","5","4.02","4.08","1","5","4","4"
"1990","Not Employed","Female","4.63","5","2268","4","4","5","5","5","4.6","4.66","1","5","5","5"
"1990","Not Employed","Male","4.43","5","1066","3","4","5","5","5","4.37","4.49","2","5","5","5"
"1991","Employed","Female","","","","","","","","","","","","","",""
"1991","Employed","Male","","","","","","","","","","","","","",""
"1991","Not Employed","Female","","","","","","","","","","","","","",""
"1991","Not Employed","Male","","","","","","","","","","","","","",""
"1992","Employed","Female","3.98","4","3960","3","4","5","5","5","3.95","4.01","2","5","4","4"
"1992","Employed","Male","3.86","4","5077","2","3","5","5","5","3.83","3.89","2","5","4","4"
"1992","Not Employed","Female","4.57","5","2837","4","4","5","5","5","4.54","4.6","2","5","5","5"
"1992","Not Employed","Male","4.38","5","1358","3","4","5","5","5","4.33","4.43","2","5","5","5"
"1993","Employed","Female","","","","","","","","","","","","","",""
"1993","Employed","Male","","","","","","","","","","","","","",""
"1993","Not Employed","Female","","","","","","","","","","","","","",""
"1993","Not Employed","Male","","","","","","","","","","","","","",""
"1994","Employed","Female","3.94","4","3636","3","3","5","5","5","3.91","3.97","2","5","4","4"
"1994","Employed","Male","3.84","4","4659","2","3","4","5","5","3.81","3.87","2","5","4","4"
"1994","Not Employed","Female","4.51","5","2997","3","4","5","5","5","4.48","4.54","2","5","5","5"
"1994","Not Employed","Male","4.29","5","1524","3","4","5","5","5","4.24","4.34","2","5","5","5"
"1995","Employed","Female","4","4","3716","3","4","5","5","5","3.97","4.03","1","5","4","4"
"1995","Employed","Male","3.99","4","4786","3","3","5","5","5","3.96","4.02","1","5","4","4"
"1995","Not Employed","Female","4.54","5","3176","3","4","5","5","5","4.51","4.57","2","5","5","5"
"1995","Not Employed","Male","4.44","5","1624","3","4","5","5","5","4.39","4.49","1","5","5","5"
"1996","Employed","Female","3.85","4","3717","3","3","4","5","5","3.82","3.88","2","5","4","4"
"1996","Employed","Male","3.75","4","4714","2","3","4","5","5","3.72","3.78","2","5","4","4"
"1996","Not Employed","Female","4.44","5","3050","3","4","5","5","5","4.41","4.47","2","5","5","5"
"1996","Not Employed","Male","4.22","5","1577","3","4","5","5","5","4.17","4.27","2","5","4","5"
"1997","Employed","Female","3.86","4","3559","3","3","4","5","5","3.83","3.89","2","5","4","4"
"1997","Employed","Male","3.79","4","4566","2","3","4","5","5","3.76","3.82","2","5","4","4"
"1997","Not Employed","Female","4.44","5","3054","3","4","5","5","5","4.41","4.47","2","5","5","5"
"1997","Not Employed","Male","4.31","5","1636","3","4","5","5","5","4.26","4.36","2","5","4","5"
"1998","Employed","Female","3.9","4","3884","3","3","4","5","5","3.87","3.93","1","5","4","4"
"1998","Employed","Male","3.92","4","4976","3","3","5","5","5","3.9","3.94","1","5","4","4"
"1998","Not Employed","Female","4.49","5","3475","3","4","5","5","5","4.46","4.52","1","5","5","5"
"1998","Not Employed","Male","4.43","5","1923","3","4","5","5","5","4.39","4.47","1","5","5","5"
"1999","Employed","Female","3.85","4","3886","3","3","4","5","5","3.82","3.88","2","5","4","4"
"1999","Employed","Male","3.76","4","4879","2","3","4","5","5","3.74","3.78","2","5","4","4"
"1999","Not Employed","Female","4.43","5","3185","3","4","5","5","5","4.4","4.46","2","5","5","5"
"1999","Not Employed","Male","4.29","5","1735","3","4","5","5","5","4.25","4.33","2","5","4","5"
"2000","Employed","Female","","","","","","","","","","","","","",""
"2000","Employed","Male","","","","","","","","","","","","","",""
"2000","Not Employed","Female","","","","","","","","","","","","","",""
"2000","Not Employed","Male","","","","","","","","","","","","","",""
"2001","Employed","Female","3.85","4","6352","3","3","4","5","5","3.83","3.87","2","5","4","4"
"2001","Employed","Male","3.79","4","7496","3","3","4","5","5","3.77","3.81","2","5","4","4"
"2001","Not Employed","Female","4.47","5","5035","3","4","5","5","5","4.45","4.49","2","5","5","5"
"2001","Not Employed","Male","4.33","5","3017","3","4","5","5","5","4.3","4.36","2","5","5","5"
"2002","Employed","Female","","","","","","","","","","","","","",""
"2002","Employed","Male","","","","","","","","","","","","","",""
"2002","Not Employed","Female","","","","","","","","","","","","","",""
"2002","Not Employed","Male","","","","","","","","","","","","","",""
"2003","Employed","Female","3.92","4","6529","3","3","4","5","5","3.9","3.94","1","5","4","4"
"2003","Employed","Male","3.94","4","7504","3","3","5","5","5","3.92","3.96","1","5","4","4"
"2003","Not Employed","Female","4.52","5","4980","3","4","5","5","5","4.5","4.54","1","5","5","5"
"2003","Not Employed","Male","4.44","5","3189","3","4","5","5","5","4.41","4.47","2","5","5","5"
"2004","Employed","Female","","","","","","","","","","","","","",""
"2004","Employed","Male","","","","","","","","","","","","","",""
"2004","Not Employed","Female","","","","","","","","","","","","","",""
"2004","Not Employed","Male","","","","","","","","","","","","","",""
