"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Full Time","3.93","4","4939","2","3","5","5","5","3.9","3.96","2","5","4","4"
"1985","Employed","Not Working","","","","","","","","","","","","","",""
"1985","Employed","Part Time","3.95","4","1848","2","3","5","5","5","3.9","4","2","5","4","4"
"1985","Not Employed","Full Time","","","","","","","","","","","","","",""
"1985","Not Employed","Not Working","4.44","5","4178","3","4","5","5","5","4.41","4.47","2","5","5","5"
"1985","Not Employed","Part Time","","","","","","","","","","","","","",""
"1986","Employed","Full Time","3.93","4","4839","2","3","5","5","5","3.9","3.96","2","5","4","4"
"1986","Employed","Not Working","","","","","","","","","","","","","",""
"1986","Employed","Part Time","3.92","4","1822","2","3","5","5","5","3.87","3.97","2","5","4","4"
"1986","Not Employed","Full Time","","","","","","","","","","","","","",""
"1986","Not Employed","Not Working","4.46","5","3897","3","4","5","5","5","4.43","4.49","2","5","5","5"
"1986","Not Employed","Part Time","","","","","","","","","","","","","",""
"1987","Employed","Full Time","","","","","","","","","","","","","",""
"1987","Employed","Not Working","","","","","","","","","","","","","",""
"1987","Employed","Part Time","","","","","","","","","","","","","",""
"1987","Not Employed","Full Time","","","","","","","","","","","","","",""
"1987","Not Employed","Not Working","","","","","","","","","","","","","",""
"1987","Not Employed","Part Time","","","","","","","","","","","","","",""
"1988","Employed","Full Time","3.9","4","4567","2","3","5","5","5","3.87","3.93","2","5","4","4"
"1988","Employed","Not Working","","","","","","","","","","","","","",""
"1988","Employed","Part Time","3.98","4","1827","3","3","5","5","5","3.94","4.02","2","5","4","4"
"1988","Not Employed","Full Time","","","","","","","","","","","","","",""
"1988","Not Employed","Not Working","4.47","5","3539","3","4","5","5","5","4.44","4.5","2","5","5","5"
"1988","Not Employed","Part Time","","","","","","","","","","","","","",""
"1989","Employed","Full Time","","","","","","","","","","","","","",""
"1989","Employed","Not Working","","","","","","","","","","","","","",""
"1989","Employed","Part Time","","","","","","","","","","","","","",""
"1989","Not Employed","Full Time","","","","","","","","","","","","","",""
"1989","Not Employed","Not Working","","","","","","","","","","","","","",""
"1989","Not Employed","Part Time","","","","","","","","","","","","","",""
"1990","Employed","Full Time","4.06","4","4425","3","4","5","5","5","4.03","4.09","1","5","4","4"
"1990","Employed","Not Working","","","","","","","","","","","","","",""
"1990","Employed","Part Time","4.03","4","1724","3","3","5","5","5","3.99","4.07","1","5","4","4"
"1990","Not Employed","Full Time","","","","","","","","","","","","","",""
"1990","Not Employed","Not Working","4.57","5","3334","3","4","5","5","5","4.54","4.6","1","5","5","5"
"1990","Not Employed","Part Time","","","","","","","","","","","","","",""
"1991","Employed","Full Time","","","","","","","","","","","","","",""
"1991","Employed","Not Working","","","","","","","","","","","","","",""
"1991","Employed","Part Time","","","","","","","","","","","","","",""
"1991","Not Employed","Full Time","","","","","","","","","","","","","",""
"1991","Not Employed","Not Working","","","","","","","","","","","","","",""
"1991","Not Employed","Part Time","","","","","","","","","","","","","",""
"1992","Employed","Full Time","3.91","4","6548","3","3","5","5","5","3.89","3.93","2","5","4","4"
"1992","Employed","Not Working","","","","","","","","","","","","","",""
"1992","Employed","Part Time","3.92","4","2489","2","3","5","5","5","3.88","3.96","2","5","4","4"
"1992","Not Employed","Full Time","","","","","","","","","","","","","",""
"1992","Not Employed","Not Working","4.51","5","4195","3","4","5","5","5","4.48","4.54","2","5","5","5"
"1992","Not Employed","Part Time","","","","","","","","","","","","","",""
"1993","Employed","Full Time","","","","","","","","","","","","","",""
"1993","Employed","Not Working","","","","","","","","","","","","","",""
"1993","Employed","Part Time","","","","","","","","","","","","","",""
"1993","Not Employed","Full Time","","","","","","","","","","","","","",""
"1993","Not Employed","Not Working","","","","","","","","","","","","","",""
"1993","Not Employed","Part Time","","","","","","","","","","","","","",""
"1994","Employed","Full Time","3.86","4","5938","3","3","4","5","5","3.84","3.88","2","5","4","4"
"1994","Employed","Not Working","","","","","","","","","","","","","",""
"1994","Employed","Part Time","3.94","4","2357","3","3","5","5","5","3.9","3.98","2","5","4","4"
"1994","Not Employed","Full Time","","","","","","","","","","","","","",""
"1994","Not Employed","Not Working","4.43","5","4521","3","4","5","5","5","4.4","4.46","2","5","5","5"
"1994","Not Employed","Part Time","","","","","","","","","","","","","",""
"1995","Employed","Full Time","3.99","4","5898","3","4","5","5","5","3.97","4.01","1","5","4","4"
"1995","Employed","Not Working","","","","","","","","","","","","","",""
"1995","Employed","Part Time","4","4","2604","3","3","5","5","5","3.96","4.04","1","5","4","4"
"1995","Not Employed","Full Time","","","","","","","","","","","","","",""
"1995","Not Employed","Not Working","4.51","5","4800","3","4","5","5","5","4.48","4.54","1","5","5","5"
"1995","Not Employed","Part Time","","","","","","","","","","","","","",""
"1996","Employed","Full Time","3.77","4","5740","2","3","4","5","5","3.75","3.79","2","5","4","4"
"1996","Employed","Not Working","","","","","","","","","","","","","",""
"1996","Employed","Part Time","3.84","4","2691","2","3","5","5","5","3.8","3.88","2","5","4","4"
"1996","Not Employed","Full Time","","","","","","","","","","","","","",""
"1996","Not Employed","Not Working","4.37","5","4627","3","4","5","5","5","4.34","4.4","2","5","5","5"
"1996","Not Employed","Part Time","","","","","","","","","","","","","",""
"1997","Employed","Full Time","3.78","4","5583","3","3","4","5","5","3.76","3.8","2","5","4","4"
"1997","Employed","Not Working","","","","","","","","","","","","","",""
"1997","Employed","Part Time","3.89","4","2542","3","3","5","5","5","3.86","3.92","2","5","4","4"
"1997","Not Employed","Full Time","","","","","","","","","","","","","",""
"1997","Not Employed","Not Working","4.4","5","4690","3","4","5","5","5","4.37","4.43","2","5","5","5"
"1997","Not Employed","Part Time","","","","","","","","","","","","","",""
"1998","Employed","Full Time","3.89","4","5989","3","3","4","5","5","3.87","3.91","1","5","4","4"
"1998","Employed","Not Working","","","","","","","","","","","","","",""
"1998","Employed","Part Time","3.94","4","2871","3","3","5","5","5","3.91","3.97","1","5","4","4"
"1998","Not Employed","Full Time","","","","","","","","","","","","","",""
"1998","Not Employed","Not Working","4.47","5","5398","3","4","5","5","5","4.45","4.49","1","5","5","5"
"1998","Not Employed","Part Time","","","","","","","","","","","","","",""
