"year","age_gr","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","16-34 y.","Baden-W?rttemberg","3.95","4","785","3","3","5","5","5","3.88","4.02","1","5","4","4"
"2003","16-34 y.","Bavaria","3.78","4","816","2","3","5","5","5","3.71","3.85","1","5","4","4"
"2003","16-34 y.","Berlin","3.66","4","234","3","3","4","5","5","3.54","3.78","1","5","3","4"
"2003","16-34 y.","Brandenburg","4.09","4","243","3","3","5","5","5","3.99","4.19","1","5","4","4"
"2003","16-34 y.","Bremen","3.64","3","42","3","3","4","5","5","3.33","3.95","2","5","3","4"
"2003","16-34 y.","Hamburg","3.65","4","67","2","3","4","5","5","3.4","3.9","1","5","3","4"
"2003","16-34 y.","Hesse","3.72","4","371","2","3","5","5","5","3.62","3.82","1","5","4","4"
"2003","16-34 y.","Lower Saxony","3.69","4","509","2","3","5","5","5","3.6","3.78","1","5","4","4"
"2003","16-34 y.","Mecklenburg-Western Pomerania","4.06","4","146","3","4","5","5","5","3.92","4.2","2","5","4","4"
"2003","16-34 y.","North Rhine-Westphalia","3.77","4","1222","2","3","5","5","5","3.71","3.83","1","5","4","4"
"2003","16-34 y.","Rhineland-Palatinate,Saarland","3.97","4","320","3","3","5","5","5","3.86","4.08","1","5","4","4"
"2003","16-34 y.","Saxony","4.08","4","422","3","4","5","5","5","4","4.16","2","5","4","4"
"2003","16-34 y.","Saxony-Anhalt","4.04","4","249","3","3","5","5","5","3.93","4.15","2","5","4","4"
"2003","16-34 y.","Schleswig-Holstein","3.95","4","148","3","4","4","5","5","3.82","4.08","2","5","4","4"
"2003","16-34 y.","Thuringia","4.13","4","286","3","4","5","5","5","4.03","4.23","1","5","4","4"
"2003","35-65 y.","Baden-W?rttemberg","4.38","5","1528","3","4","5","5","5","4.34","4.42","1","5","5","5"
"2003","35-65 y.","Bavaria","4.34","5","1808","3","4","5","5","5","4.31","4.37","1","5","4","5"
"2003","35-65 y.","Berlin","4.27","4","477","3","4","5","5","5","4.19","4.35","1","5","4","5"
"2003","35-65 y.","Brandenburg","4.53","5","515","4","4","5","5","5","4.47","4.59","1","5","5","5"
"2003","35-65 y.","Bremen","4.5","5","97","3","4","5","5","5","4.36","4.64","3","5","4","5"
"2003","35-65 y.","Hamburg","4.25","4","184","3","4","5","5","5","4.14","4.36","2","5","4","4"
"2003","35-65 y.","Hesse","4.37","5","897","3","4","5","5","5","4.32","4.42","1","5","5","5"
"2003","35-65 y.","Lower Saxony","4.37","5","1058","3","4","5","5","5","4.32","4.42","1","5","5","5"
"2003","35-65 y.","Mecklenburg-Western Pomerania","4.43","5","299","3","4","5","5","5","4.35","4.51","2","5","4","5"
"2003","35-65 y.","North Rhine-Westphalia","4.35","5","2661","3","4","5","5","5","4.32","4.38","1","5","5","5"
"2003","35-65 y.","Rhineland-Palatinate,Saarland","4.35","5","747","3","4","5","5","5","4.29","4.41","1","5","5","5"
"2003","35-65 y.","Saxony","4.52","5","910","4","4","5","5","5","4.48","4.56","1","5","5","5"
"2003","35-65 y.","Saxony-Anhalt","4.58","5","526","4","4","5","5","5","4.52","4.64","1","5","5","5"
"2003","35-65 y.","Schleswig-Holstein","4.07","4","393","3","4","5","5","5","4","4.14","1","5","4","4"
"2003","35-65 y.","Thuringia","4.58","5","520","4","4","5","5","5","4.53","4.63","3","5","5","5"
"2003","66 and older","Baden-W?rttemberg","4.69","5","382","4","4","5","5","5","4.63","4.75","3","5","5","5"
"2003","66 and older","Bavaria","4.65","5","510","4","5","5","5","5","4.59","4.71","1","5","5","5"
"2003","66 and older","Berlin","4.81","5","113","4","5","5","5","5","4.73","4.89","3","5","5","5"
"2003","66 and older","Brandenburg","4.61","5","184","4","4","5","5","5","4.51","4.71","2","5","5","5"
"2003","66 and older","Bremen","4.61","5","35","4","4","5","5","5","4.41","4.81","3","5","5","5"
"2003","66 and older","Hamburg","4.61","5","44","4","4","5","5","5","4.44","4.78","3","5","5","5"
"2003","66 and older","Hesse","4.67","5","225","4","4","5","5","5","4.59","4.75","2","5","5","5"
"2003","66 and older","Lower Saxony","4.79","5","342","4","5","5","5","5","4.74","4.84","2","5","5","5"
"2003","66 and older","Mecklenburg-Western Pomerania","4.83","5","82","4","5","5","5","5","4.73","4.93","3","5","5","5"
"2003","66 and older","North Rhine-Westphalia","4.75","5","760","4","5","5","5","5","4.71","4.79","2","5","5","5"
"2003","66 and older","Rhineland-Palatinate,Saarland","4.76","5","243","4","5","5","5","5","4.7","4.82","3","5","5","5"
"2003","66 and older","Saxony","4.76","5","276","4","5","5","5","5","4.7","4.82","3","5","5","5"
"2003","66 and older","Saxony-Anhalt","4.68","5","159","4","4","5","5","5","4.58","4.78","1","5","5","5"
"2003","66 and older","Schleswig-Holstein","4.48","5","129","4","4","5","5","5","4.37","4.59","3","5","4","5"
"2003","66 and older","Thuringia","4.73","5","151","4","5","5","5","5","4.65","4.81","3","5","5","5"
"2004","16-34 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2004","16-34 y.","Bavaria","","","","","","","","","","","","","",""
"2004","16-34 y.","Berlin","","","","","","","","","","","","","",""
"2004","16-34 y.","Brandenburg","","","","","","","","","","","","","",""
"2004","16-34 y.","Bremen","","","","","","","","","","","","","",""
"2004","16-34 y.","Hamburg","","","","","","","","","","","","","",""
"2004","16-34 y.","Hesse","","","","","","","","","","","","","",""
"2004","16-34 y.","Lower Saxony","","","","","","","","","","","","","",""
"2004","16-34 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2004","16-34 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2004","16-34 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2004","16-34 y.","Saxony","","","","","","","","","","","","","",""
"2004","16-34 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2004","16-34 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2004","16-34 y.","Thuringia","","","","","","","","","","","","","",""
"2004","35-65 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2004","35-65 y.","Bavaria","","","","","","","","","","","","","",""
"2004","35-65 y.","Berlin","","","","","","","","","","","","","",""
"2004","35-65 y.","Brandenburg","","","","","","","","","","","","","",""
"2004","35-65 y.","Bremen","","","","","","","","","","","","","",""
"2004","35-65 y.","Hamburg","","","","","","","","","","","","","",""
"2004","35-65 y.","Hesse","","","","","","","","","","","","","",""
"2004","35-65 y.","Lower Saxony","","","","","","","","","","","","","",""
"2004","35-65 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2004","35-65 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2004","35-65 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2004","35-65 y.","Saxony","","","","","","","","","","","","","",""
"2004","35-65 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2004","35-65 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2004","35-65 y.","Thuringia","","","","","","","","","","","","","",""
"2004","66 and older","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2004","66 and older","Bavaria","","","","","","","","","","","","","",""
"2004","66 and older","Berlin","","","","","","","","","","","","","",""
"2004","66 and older","Brandenburg","","","","","","","","","","","","","",""
"2004","66 and older","Bremen","","","","","","","","","","","","","",""
"2004","66 and older","Hamburg","","","","","","","","","","","","","",""
"2004","66 and older","Hesse","","","","","","","","","","","","","",""
"2004","66 and older","Lower Saxony","","","","","","","","","","","","","",""
"2004","66 and older","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2004","66 and older","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2004","66 and older","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2004","66 and older","Saxony","","","","","","","","","","","","","",""
"2004","66 and older","Saxony-Anhalt","","","","","","","","","","","","","",""
"2004","66 and older","Schleswig-Holstein","","","","","","","","","","","","","",""
"2004","66 and older","Thuringia","","","","","","","","","","","","","",""
"2005","16-34 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2005","16-34 y.","Bavaria","","","","","","","","","","","","","",""
"2005","16-34 y.","Berlin","","","","","","","","","","","","","",""
"2005","16-34 y.","Brandenburg","","","","","","","","","","","","","",""
"2005","16-34 y.","Bremen","","","","","","","","","","","","","",""
"2005","16-34 y.","Hamburg","","","","","","","","","","","","","",""
"2005","16-34 y.","Hesse","","","","","","","","","","","","","",""
"2005","16-34 y.","Lower Saxony","","","","","","","","","","","","","",""
"2005","16-34 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2005","16-34 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2005","16-34 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2005","16-34 y.","Saxony","","","","","","","","","","","","","",""
"2005","16-34 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2005","16-34 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2005","16-34 y.","Thuringia","","","","","","","","","","","","","",""
"2005","35-65 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2005","35-65 y.","Bavaria","","","","","","","","","","","","","",""
"2005","35-65 y.","Berlin","","","","","","","","","","","","","",""
"2005","35-65 y.","Brandenburg","","","","","","","","","","","","","",""
"2005","35-65 y.","Bremen","","","","","","","","","","","","","",""
"2005","35-65 y.","Hamburg","","","","","","","","","","","","","",""
"2005","35-65 y.","Hesse","","","","","","","","","","","","","",""
"2005","35-65 y.","Lower Saxony","","","","","","","","","","","","","",""
"2005","35-65 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2005","35-65 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2005","35-65 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2005","35-65 y.","Saxony","","","","","","","","","","","","","",""
"2005","35-65 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2005","35-65 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2005","35-65 y.","Thuringia","","","","","","","","","","","","","",""
"2005","66 and older","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2005","66 and older","Bavaria","","","","","","","","","","","","","",""
"2005","66 and older","Berlin","","","","","","","","","","","","","",""
"2005","66 and older","Brandenburg","","","","","","","","","","","","","",""
"2005","66 and older","Bremen","","","","","","","","","","","","","",""
"2005","66 and older","Hamburg","","","","","","","","","","","","","",""
"2005","66 and older","Hesse","","","","","","","","","","","","","",""
"2005","66 and older","Lower Saxony","","","","","","","","","","","","","",""
"2005","66 and older","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2005","66 and older","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2005","66 and older","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2005","66 and older","Saxony","","","","","","","","","","","","","",""
"2005","66 and older","Saxony-Anhalt","","","","","","","","","","","","","",""
"2005","66 and older","Schleswig-Holstein","","","","","","","","","","","","","",""
"2005","66 and older","Thuringia","","","","","","","","","","","","","",""
"2006","16-34 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2006","16-34 y.","Bavaria","","","","","","","","","","","","","",""
"2006","16-34 y.","Berlin","","","","","","","","","","","","","",""
"2006","16-34 y.","Brandenburg","","","","","","","","","","","","","",""
"2006","16-34 y.","Bremen","","","","","","","","","","","","","",""
"2006","16-34 y.","Hamburg","","","","","","","","","","","","","",""
"2006","16-34 y.","Hesse","","","","","","","","","","","","","",""
"2006","16-34 y.","Lower Saxony","","","","","","","","","","","","","",""
"2006","16-34 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2006","16-34 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2006","16-34 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2006","16-34 y.","Saxony","","","","","","","","","","","","","",""
"2006","16-34 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2006","16-34 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2006","16-34 y.","Thuringia","","","","","","","","","","","","","",""
"2006","35-65 y.","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2006","35-65 y.","Bavaria","","","","","","","","","","","","","",""
"2006","35-65 y.","Berlin","","","","","","","","","","","","","",""
"2006","35-65 y.","Brandenburg","","","","","","","","","","","","","",""
"2006","35-65 y.","Bremen","","","","","","","","","","","","","",""
"2006","35-65 y.","Hamburg","","","","","","","","","","","","","",""
"2006","35-65 y.","Hesse","","","","","","","","","","","","","",""
"2006","35-65 y.","Lower Saxony","","","","","","","","","","","","","",""
"2006","35-65 y.","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
"2006","35-65 y.","North Rhine-Westphalia","","","","","","","","","","","","","",""
"2006","35-65 y.","Rhineland-Palatinate,Saarland","","","","","","","","","","","","","",""
"2006","35-65 y.","Saxony","","","","","","","","","","","","","",""
"2006","35-65 y.","Saxony-Anhalt","","","","","","","","","","","","","",""
"2006","35-65 y.","Schleswig-Holstein","","","","","","","","","","","","","",""
"2006","35-65 y.","Thuringia","","","","","","","","","","","","","",""
"2006","66 and older","Baden-W?rttemberg","","","","","","","","","","","","","",""
"2006","66 and older","Bavaria","","","","","","","","","","","","","",""
"2006","66 and older","Berlin","","","","","","","","","","","","","",""
"2006","66 and older","Brandenburg","","","","","","","","","","","","","",""
"2006","66 and older","Bremen","","","","","","","","","","","","","",""
"2006","66 and older","Hamburg","","","","","","","","","","","","","",""
"2006","66 and older","Hesse","","","","","","","","","","","","","",""
"2006","66 and older","Lower Saxony","","","","","","","","","","","","","",""
"2006","66 and older","Mecklenburg-Western Pomerania","","","","","","","","","","","","","",""
