"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","4.31","5","22115","3","4","5","5","5","4.3","4.32","1","5","5","5"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","4.34","5","19291","3","4","5","5","5","4.33","4.35","1","5","5","5"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","4.35","5","25496","3","4","5","5","5","4.34","4.36","1","5","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","4.18","4","25686","3","4","5","5","5","4.17","4.19","1","5","4","4"
