"plh0042","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Full Time","Female","284","0.147492077284285","0.129583166906232","0.165400987662338","1"
"Big worries","1984","Full Time","Male","747","0.170966229917467","0.158892427454153","0.183040032380782","1"
"Big worries","1984","Not Working","Female","18","","","","1"
"Big worries","1984","Not Working","Male","25","","","","1"
"Big worries","1984","Part Time","Female","148","0.139493397936964","0.117554274756846","0.161432521117082","1"
"Big worries","1984","Part Time","Male","132","0.281416637261647","0.239254672974965","0.32357860154833","1"
"No worries","1984","Not Working","Female","32","0.457013745107121","0.344274140235427","0.569753349978815","3"
"No worries","1984","Not Working","Male","37","0.501442698439095","0.393876148030621","0.609009248847569","3"
"No worries","1984","Full Time","Female","784","0.569728162330779","0.544722353330576","0.594733971330982","3"
"No worries","1984","Part Time","Male","178","0.421964286595735","0.375659855135852","0.468268718055617","3"
"No worries","1984","Full Time","Male","1758","0.51037421008721","0.494342520659951","0.526405899514468","3"
"No worries","1984","Part Time","Female","504","0.547379366985392","0.515860055520043","0.578898678450741","3"
"Some worries","1984","Not Working","Female","25","","","","2"
"Some worries","1984","Part Time","Male","127","0.296619076142618","0.253793599591503","0.339444552693733","2"
"Some worries","1984","Full Time","Female","438","0.282779760384936","0.260034755497748","0.305524765272124","2"
"Some worries","1984","Full Time","Male","1230","0.318659559995323","0.303716196961237","0.333602923029409","2"
"Some worries","1984","Not Working","Male","21","","","","2"
"Some worries","1984","Part Time","Female","306","0.313127235077644","0.283759942745754","0.342494527409535","2"
"Big worries","1985","Full Time","Female","185","0.11296720313739","0.0959418910909515","0.129992515183828","1"
"Big worries","1985","Full Time","Male","497","0.12918933889045","0.117691510103915","0.140687167676984","1"
"Big worries","1985","Not Working","Female","11","","","","1"
"Big worries","1985","Not Working","Male","17","","","","1"
"Big worries","1985","Part Time","Female","86","0.0840193005306386","0.0662280143670396","0.101810586694238","1"
"Big worries","1985","Part Time","Male","89","0.15339126718829","0.120423962811043","0.186358571565537","1"
"No worries","1985","Not Working","Female","45","0.611463272501116","0.505316496295404","0.717610048706827","3"
"No worries","1985","Not Working","Male","27","","","","3"
"No worries","1985","Part Time","Male","226","0.54735573006231","0.501819707227136","0.592891752897484","3"
"No worries","1985","Full Time","Female","734","0.589361723869467","0.562902948993873","0.615820498745061","3"
"No worries","1985","Full Time","Male","1751","0.577830021638279","0.560898953599764","0.594761089676795","3"
"No worries","1985","Part Time","Female","579","0.64107096958223","0.610307734720842","0.671834204443618","3"
"Some worries","1985","Not Working","Female","25","","","","2"
"Some worries","1985","Part Time","Male","144","0.2992530027494","0.257359986575014","0.341146018923787","2"
"Some worries","1985","Full Time","Female","409","0.297671072993143","0.273079424185134","0.322262721801153","2"
"Some worries","1985","Full Time","Male","1021","0.292980639471271","0.277378802151348","0.308582476791194","2"
"Some worries","1985","Not Working","Male","18","","","","2"
"Some worries","1985","Part Time","Female","269","0.274909729887131","0.246276802811638","0.303542656962625","2"
"Big worries","1986","Full Time","Female","182","0.116440773274858","0.098971148359875","0.13391039818984","1"
"Big worries","1986","Full Time","Male","477","0.125333572993385","0.113829465205472","0.136837680781298","1"
"Big worries","1986","Not Working","Female","14","","","","1"
"Big worries","1986","Not Working","Male","14","","","","1"
"Big worries","1986","Part Time","Female","101","0.0995306299539846","0.079873410428952","0.119187849479017","1"
"Big worries","1986","Part Time","Male","65","0.130250498719418","0.096888926910914","0.163612070527922","1"
"No worries","1986","Not Working","Male","15","","","","3"
"No worries","1986","Part Time","Male","190","0.529593179949828","0.480120241173865","0.57906611872579","3"
"No worries","1986","Not Working","Female","36","0.509838596333651","0.391885470067089","0.627791722600212","3"
"No worries","1986","Full Time","Female","742","0.618052802167383","0.591590497773307","0.644515106561459","3"
"No worries","1986","Full Time","Male","1723","0.581341666593515","0.564200372776748","0.598482960410283","3"
"No worries","1986","Part Time","Female","544","0.634789996921302","0.603174820589678","0.666405173252927","3"
"Some worries","1986","Not Working","Female","19","","","","2"
"Some worries","1986","Full Time","Male","982","0.2933247604131","0.277505641048209","0.309143879777991","2"
"Some worries","1986","Not Working","Male","19","","","","2"
"Some worries","1986","Part Time","Male","136","0.340156321330755","0.293197248272384","0.387115394389126","2"
"Some worries","1986","Full Time","Female","371","0.265506424557759","0.241454782902627","0.289558066212892","2"
"Some worries","1986","Part Time","Female","246","0.265679373124713","0.236677167875373","0.294681578374053","2"
"Big worries","1987","Full Time","Female","163","0.0961232201651795","0.0802878640737641","0.111958576256595","1"
"Big worries","1987","Full Time","Male","377","0.0971447784473508","0.0869378076709297","0.107351749223772","1"
"Big worries","1987","Not Working","Female","11","","","","1"
"Big worries","1987","Not Working","Male","7","","","","1"
"Big worries","1987","Part Time","Female","95","0.0942309887352673","0.0752598017020091","0.113202175768525","1"
"Big worries","1987","Part Time","Male","65","0.145233701630746","0.110039175282632","0.180428227978859","1"
"No worries","1987","Not Working","Male","11","","","","3"
"No worries","1987","Not Working","Female","39","0.636858198377695","0.523387679828969","0.75032871692642","3"
"No worries","1987","Part Time","Male","188","0.508360150033005","0.458422624972847","0.558297675093163","3"
"No worries","1987","Full Time","Female","742","0.599683932407166","0.573361756896392","0.626006107917941","3"
"No worries","1987","Full Time","Male","1761","0.583496605749656","0.566506091540678","0.600487119958634","3"
"No worries","1987","Part Time","Female","520","0.58342928277156","0.551416208441358","0.615442357101761","3"
"Some worries","1987","Not Working","Female","19","","","","2"
"Some worries","1987","Full Time","Male","1096","0.319358615802993","0.303290069907073","0.335427161698912","2"
"Some worries","1987","Not Working","Male","12","","","","2"
"Some worries","1987","Part Time","Male","132","0.346406148336249","0.298876510928642","0.393935785743856","2"
"Some worries","1987","Full Time","Female","426","0.304192847427654","0.27947685765998","0.328908837195329","2"
"Some worries","1987","Part Time","Female","296","0.322339728493173","0.291990208048391","0.352689248937955","2"
"Big worries","1988","Full Time","Female","160","0.108269246700418","0.090925777135703","0.125612716265132","1"
"Big worries","1988","Full Time","Male","451","0.123667804676908","0.111955794186821","0.135379815166994","1"
"Big worries","1988","Not Working","Female","16","","","","1"
"Big worries","1988","Not Working","Male","5","","","","1"
"Big worries","1988","Part Time","Female","106","0.0950717136816007","0.0760666080883568","0.114076819274845","1"
"Big worries","1988","Part Time","Male","82","0.164730855789076","0.126985646940794","0.202476064637357","1"
"No worries","1988","Not Working","Male","17","","","","3"
"No worries","1988","Not Working","Female","26","","","","3"
"No worries","1988","Part Time","Male","163","0.485283387058391","0.434427300084559","0.536139474032224","3"
"No worries","1988","Full Time","Female","649","0.573057157387796","0.545448175491913","0.600666139283678","3"
"No worries","1988","Full Time","Male","1516","0.530774719252545","0.513019969339289","0.548529469165801","3"
"No worries","1988","Part Time","Female","521","0.593244848983951","0.561415990542577","0.625073707425326","3"
"Some worries","1988","Not Working","Female","13","","","","2"
"Some worries","1988","Full Time","Female","424","0.318673595911787","0.292664982276619","0.344682209546955","2"
"Some worries","1988","Full Time","Male","1068","0.345557476070548","0.328638867394497","0.362476084746599","2"
"Some worries","1988","Part Time","Male","126","0.349985757152533","0.301451570270287","0.39851994403478","2"
"Some worries","1988","Not Working","Male","16","","","","2"
"Some worries","1988","Part Time","Female","288","0.311683437334448","0.281671881087077","0.341694993581819","2"
"Big worries","1989","Full Time","Female","124","0.0837348035210244","0.0684162813521407","0.0990533256899082","1"
"Big worries","1989","Full Time","Male","258","0.0681202276430611","0.059083292257063","0.0771571630290593","1"
"Big worries","1989","Not Working","Female","6","","","","1"
"Big worries","1989","Not Working","Male","9","","","","1"
"Big worries","1989","Part Time","Female","64","0.0573170469071953","0.042045683297301","0.0725884105170895","1"
"Big worries","1989","Part Time","Male","44","0.113410424310407","0.0788830634427098","0.147937785178104","1"
"No worries","1989","Not Working","Female","36","0.59738852967173","0.470072767343701","0.724704291999758","3"
"No worries","1989","Not Working","Male","28","","","","3"
"No worries","1989","Part Time","Male","180","0.608890180383028","0.555753498552854","0.662026862213202","3"
"No worries","1989","Full Time","Female","750","0.655911942814171","0.629638871770436","0.682185013857905","3"
"No worries","1989","Full Time","Male","1801","0.638940026779821","0.621712500942109","0.656167552617533","3"
"No worries","1989","Part Time","Female","581","0.670351486092502","0.639467742576088","0.701235229608916","3"
"Some worries","1989","Not Working","Female","15","","","","2"
"Some worries","1989","Part Time","Male","100","0.277699395306565","0.228932844211688","0.326465946401441","2"
"Some worries","1989","Full Time","Female","382","0.260353253664805","0.236084529160804","0.284621978168806","2"
"Some worries","1989","Full Time","Male","927","0.292939745577118","0.276615972384274","0.309263518769962","2"
"Some worries","1989","Not Working","Male","14","","","","2"
"Some worries","1989","Part Time","Female","245","0.272331467000303","0.243085310616875","0.301577623383731","2"
