"plh0042","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","direct migration background","Rural Area","70","0.276114336302802","0.217955644582999","0.334273028022605"
"Big worries","1985","direct migration background","Urban Area","347","0.193757596518801","0.174715652716704","0.212799540320899"
"Big worries","1985","indirect migration background","Rural Area","1","","",""
"Big worries","1985","indirect migration background","Urban Area","8","","",""
"Big worries","1985","no migration background","Rural Area","110","0.114357767349233","0.0942472821882421","0.134468252510223"
"Big worries","1985","no migration background","Urban Area","349","0.10808393393554","0.0973681043922432","0.118799763478837"
"No worries","1985","direct migration background","Rural Area","73","0.392424146051829","0.328903738433666","0.455944553669991"
"No worries","1985","direct migration background","Urban Area","700","0.436083768213161","0.412192381904546","0.459975154521777"
"No worries","1985","indirect migration background","Rural Area","3","","",""
"No worries","1985","indirect migration background","Urban Area","35","0.734048855259482","0.618326439177175","0.849771271341789"
"No worries","1985","no migration background","Rural Area","545","0.565317385302382","0.533992256804243","0.596642513800521"
"No worries","1985","no migration background","Urban Area","2006","0.620813940649994","0.604068748207779","0.637559133092209"
"Some worries","1985","direct migration background","Rural Area","84","0.33146151764537","0.270224373993522","0.392698661297218"
"Some worries","1985","direct migration background","Urban Area","608","0.370158635268038","0.34689601538075","0.393421255155326"
"Some worries","1985","indirect migration background","Rural Area","4","","",""
"Some worries","1985","indirect migration background","Urban Area","13","","",""
"Some worries","1985","no migration background","Rural Area","307","0.320324847348385","0.290839478454985","0.349810216241786"
"Some worries","1985","no migration background","Urban Area","870","0.271102125414466","0.25576008810056","0.286444162728372"
"Big worries","1986","direct migration background","Rural Area","51","0.242553412860109","0.187038450295997","0.298068375424221"
"Big worries","1986","direct migration background","Urban Area","336","0.18588581896142","0.166770621412444","0.205001016510396"
"Big worries","1986","indirect migration background","Rural Area","1","","",""
"Big worries","1986","indirect migration background","Urban Area","14","","",""
"Big worries","1986","no migration background","Rural Area","114","0.123291026758769","0.101918315925537","0.144663737592"
"Big worries","1986","no migration background","Urban Area","337","0.109532227310928","0.0984740442982573","0.120590410323599"
"No worries","1986","direct migration background","Rural Area","87","0.441454386093586","0.377140820065555","0.505767952121618"
"No worries","1986","direct migration background","Urban Area","688","0.469981943554075","0.445457513665837","0.494506373442313"
"No worries","1986","indirect migration background","Rural Area","9","","",""
"No worries","1986","indirect migration background","Urban Area","38","0.467684088370181","0.349954786978505","0.585413389761856"
"No worries","1986","no migration background","Rural Area","515","0.558347848396611","0.526065973648953","0.590629723144268"
"No worries","1986","no migration background","Urban Area","1913","0.623634504094123","0.606480177301767","0.640788830886479"
"Some worries","1986","direct migration background","Rural Area","91","0.315992201046304","0.255777981930903","0.376206420161706"
"Some worries","1986","direct migration background","Urban Area","567","0.344132237484505","0.32078777800388","0.36747669696513"
"Some worries","1986","indirect migration background","Rural Area","4","","",""
"Some worries","1986","indirect migration background","Urban Area","17","","",""
"Some worries","1986","no migration background","Rural Area","280","0.318361124844621","0.28807781499047","0.348644434698772"
"Some worries","1986","no migration background","Urban Area","814","0.266833268594949","0.251172067229055","0.282494469960843"
"Big worries","1987","direct migration background","Rural Area","31","0.141194983867636","0.0967677770268968","0.185622190708375"
"Big worries","1987","direct migration background","Urban Area","282","0.164546800854104","0.146206601605659","0.182887000102549"
"Big worries","1987","indirect migration background","Rural Area","1","","",""
"Big worries","1987","indirect migration background","Urban Area","14","","",""
"Big worries","1987","no migration background","Rural Area","89","0.0860173019995381","0.06829898569153","0.103735618307546"
"Big worries","1987","no migration background","Urban Area","301","0.0939902506908267","0.0837227428609288","0.104257758520725"
"No worries","1987","direct migration background","Rural Area","112","0.51117337852463","0.447397914331508","0.574948842717752"
"No worries","1987","direct migration background","Urban Area","681","0.462236299144263","0.437574427648846","0.486898170639681"
"No worries","1987","indirect migration background","Rural Area","8","","",""
"No worries","1987","indirect migration background","Urban Area","29","","",""
"No worries","1987","no migration background","Rural Area","536","0.558638942330272","0.527261093653736","0.590016791006809"
"No worries","1987","no migration background","Urban Area","1895","0.609930414766147","0.592768395202736","0.627092434329558"
"Some worries","1987","direct migration background","Rural Area","93","0.347631637607734","0.286874377302049","0.408388897913419"
"Some worries","1987","direct migration background","Urban Area","607","0.373216900001633","0.349292692834201","0.397141107169064"
"Some worries","1987","indirect migration background","Rural Area","5","","",""
"Some worries","1987","indirect migration background","Urban Area","32","0.499979760921489","0.386821187606576","0.613138334236402"
"Some worries","1987","no migration background","Rural Area","337","0.355343755670189","0.325099075526402","0.385588435813977"
"Some worries","1987","no migration background","Urban Area","907","0.296079334543026","0.280016465863207","0.312142203222846"
"Big worries","1988","direct migration background","Rural Area","56","0.251904978932126","0.193191853219474","0.310618104644778"
"Big worries","1988","direct migration background","Urban Area","320","0.191698184727668","0.171636851986319","0.211759517469017"
"Big worries","1988","indirect migration background","Rural Area","4","","",""
"Big worries","1988","indirect migration background","Urban Area","18","","",""
"Big worries","1988","no migration background","Rural Area","90","0.0948841307952223","0.0755218891294702","0.114246372460974"
"Big worries","1988","no migration background","Urban Area","332","0.113279631080341","0.101865974022632","0.124693288138049"
"No worries","1988","direct migration background","Rural Area","89","0.431835967951875","0.364842151620825","0.498829784282925"
"No worries","1988","direct migration background","Urban Area","582","0.420076790124335","0.394922411554779","0.44523116869389"
"No worries","1988","indirect migration background","Rural Area","8","","",""
"No worries","1988","indirect migration background","Urban Area","46","0.547160488131616","0.448608685121949","0.645712291141284"
"No worries","1988","no migration background","Rural Area","450","0.51050128076967","0.477473381388793","0.543529180150548"
"No worries","1988","no migration background","Urban Area","1717","0.578070347659643","0.56028485358909","0.595855841730197"
"Some worries","1988","direct migration background","Rural Area","65","0.316259053115999","0.25336555925321","0.379152546978788"
"Some worries","1988","direct migration background","Urban Area","577","0.388225025147997","0.363387883088672","0.413062167207323"
"Some worries","1988","indirect migration background","Rural Area","6","","",""
"Some worries","1988","indirect migration background","Urban Area","34","0.344984536758901","0.2508691472231","0.439099926294702"
