"plh0042","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","1-pers.-HH","2","","",""
"Big worries","1984","Not Employed","(Married) couple without C. ","3","","",""
"Big worries","1984","Not Employed","Single parent ","2","","",""
"Big worries","1984","Not Employed","Couple + C. LE 16 ","9","","",""
"Big worries","1984","Not Employed","Couple + C. GT 16 ","11","","",""
"Big worries","1984","Not Employed","Couple + C. LE and GT 16","10","","",""
"Big worries","1984","Employed","1-pers.-HH","96","0.149534174563364","0.120660773373793","0.178407575752935"
"Big worries","1984","Employed","(Married) couple without C. ","205","0.133137945484483","0.114727252284927","0.151548638684039"
"Big worries","1984","Employed","Single parent ","68","0.182781342776172","0.139264052493988","0.226298633058355"
"Big worries","1984","Employed","Couple + C. LE 16 ","409","0.176690381550767","0.15982231141269","0.193558451688843"
"Big worries","1984","Employed","Couple + C. GT 16 ","218","0.192467526015519","0.169440511977681","0.215494540053357"
"Big worries","1984","Employed","Couple + C. LE and GT 16","233","0.183676920385772","0.159470550549155","0.207883290222389"
"Some worries","1984","Not Employed","1-pers.-HH","3","","",""
"Some worries","1984","Not Employed","(Married) couple without C. ","3","","",""
"Some worries","1984","Not Employed","Single parent ","5","","",""
"Some worries","1984","Not Employed","Couple + C. LE 16 ","12","","",""
"Some worries","1984","Not Employed","Couple + C. GT 16 ","12","","",""
"Some worries","1984","Not Employed","Couple + C. LE and GT 16","9","","",""
"Some worries","1984","Employed","1-pers.-HH","160","0.26382637532436","0.228144430671435","0.299508319977286"
"Some worries","1984","Employed","(Married) couple without C. ","388","0.291076736703416","0.266459030651957","0.315694442754874"
"Some worries","1984","Employed","Single parent ","114","0.377653140579369","0.323066096424249","0.432240184734488"
"Some worries","1984","Employed","Couple + C. LE 16 ","629","0.314313973931703","0.293782418899678","0.334845528963728"
"Some worries","1984","Employed","Couple + C. GT 16 ","389","0.332908337369825","0.305382915237656","0.360433759501994"
"Some worries","1984","Employed","Couple + C. LE and GT 16","308","0.304591324789028","0.275820643299826","0.33336200627823"
"No worries","1984","Not Employed","1-pers.-HH","7","","",""
"No worries","1984","Not Employed","(Married) couple without C. ","9","","",""
"No worries","1984","Not Employed","Single parent ","3","","",""
"No worries","1984","Not Employed","Couple + C. LE 16 ","13","","",""
"No worries","1984","Not Employed","Couple + C. GT 16 ","11","","",""
"No worries","1984","Not Employed","Couple + C. LE and GT 16","20","","",""
"No worries","1984","Employed","1-pers.-HH","330","0.586639450112275","0.54676915698668","0.626509743237871"
"No worries","1984","Employed","(Married) couple without C. ","715","0.575785317812101","0.549001815894206","0.602568819729997"
"No worries","1984","Employed","Single parent ","121","0.43956551664446","0.383679776235679","0.49545125705324"
"No worries","1984","Employed","Couple + C. LE 16 ","926","0.508995644517531","0.486886239545007","0.531105049490054"
"No worries","1984","Employed","Couple + C. GT 16 ","519","0.474624136614656","0.445457331205592","0.503790942023719"
"No worries","1984","Employed","Couple + C. LE and GT 16","442","0.5117317548252","0.480483788632072","0.542979721018329"
"Big worries","1985","Not Employed","1-pers.-HH","2","","",""
"Big worries","1985","Not Employed","(Married) couple without C. ","4","","",""
"Big worries","1985","Not Employed","Single parent ","3","","",""
"Big worries","1985","Not Employed","Couple + C. LE 16 ","4","","",""
"Big worries","1985","Not Employed","Couple + C. GT 16 ","4","","",""
"Big worries","1985","Not Employed","Couple + C. LE and GT 16","7","","",""
"Big worries","1985","Employed","1-pers.-HH","58","0.0880488865219194","0.0638558435699216","0.112241929473917"
"Big worries","1985","Employed","(Married) couple without C. ","164","0.122682337500503","0.103891804423851","0.141472870577155"
