"plh0042","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","1-pers.-HH","West Germany","98","0.148871196749117","0.120341281421582","0.177401112076651"
"Big worries","1984","1-pers.-HH","East Germany","","","",""
"Big worries","1984","(Married) couple without C. ","West Germany","208","0.133449060866336","0.115124947141271","0.1517731745914"
"Big worries","1984","(Married) couple without C. ","East Germany","","","",""
"Big worries","1984","Single parent ","West Germany","70","0.186128913481345","0.143010710428902","0.229247116533787"
"Big worries","1984","Single parent ","East Germany","","","",""
"Big worries","1984","Couple + C. LE 16 ","West Germany","418","0.176920602553596","0.160188118512189","0.193653086595003"
"Big worries","1984","Couple + C. LE 16 ","East Germany","","","",""
"Big worries","1984","Couple + C. GT 16 ","West Germany","229","0.196774164003794","0.173895957853186","0.219652370154402"
"Big worries","1984","Couple + C. GT 16 ","East Germany","","","",""
"Big worries","1984","Couple + C. LE and GT 16","West Germany","243","0.18459948751023","0.160813379937211","0.208385595083249"
"Big worries","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Some worries","1984","1-pers.-HH","West Germany","163","0.263438151548202","0.228132726512465","0.298743576583939"
"Some worries","1984","1-pers.-HH","East Germany","","","",""
"Some worries","1984","(Married) couple without C. ","West Germany","391","0.289754801530196","0.265309936548801","0.314199666511591"
"Some worries","1984","(Married) couple without C. ","East Germany","","","",""
"Some worries","1984","Single parent ","West Germany","119","0.380883107264858","0.327086101423655","0.434680113106061"
"Some worries","1984","Single parent ","East Germany","","","",""
"Some worries","1984","Couple + C. LE 16 ","West Germany","641","0.314988955826934","0.294621030259658","0.33535688139421"
"Some worries","1984","Couple + C. LE 16 ","East Germany","","","",""
"Some worries","1984","Couple + C. GT 16 ","West Germany","401","0.333429497936177","0.306299850429676","0.360559145442679"
"Some worries","1984","Couple + C. GT 16 ","East Germany","","","",""
"Some worries","1984","Couple + C. LE and GT 16","West Germany","317","0.300977706935324","0.272856411638971","0.329099002231678"
