"plh0042","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Schleswig-Holstein","Male","27","","","","1"
"Big worries","1984","Schleswig-Holstein","Female","14","","","","1"
"Big worries","1984","Hamburg","Male","21","","","","1"
"Big worries","1984","Hamburg","Female","15","","","","1"
"Big worries","1984","Lower Saxony","Male","99","0.224477704659177","0.183741616832801","0.265213792485552","1"
"Big worries","1984","Lower Saxony","Female","41","0.161177380475961","0.114065843235384","0.208288917716539","1"
"Big worries","1984","Bremen","Male","11","","","","1"
"Big worries","1984","Bremen","Female","6","","","","1"
"Big worries","1984","North Rhine-Westphalia","Male","267","0.213880085425533","0.190046058136258","0.237714112714808","1"
"Big worries","1984","North Rhine-Westphalia","Female","112","0.157782687995776","0.12849187908946","0.187073496902093","1"
"Big worries","1984","Hesse","Male","93","0.148616747438426","0.116004072732935","0.181229422143918","1"
"Big worries","1984","Hesse","Female","50","0.148641701997162","0.106130980840884","0.19115242315344","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","Male","55","0.177610918314745","0.132358029618302","0.222863807011187","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","Female","24","","","","1"
"Big worries","1984","Baden-Württemberg","Male","151","0.138087833718821","0.115255121224199","0.160920546213443","1"
"Big worries","1984","Baden-Württemberg","Female","79","0.113032978329139","0.0856865382602742","0.140379418398003","1"
"Big worries","1984","Bavaria","Male","131","0.162779426694247","0.13543185470527","0.190126998683223","1"
"Big worries","1984","Bavaria","Female","81","0.138238745135484","0.107584404156746","0.168893086114222","1"
"Big worries","1984","Berlin","Male","49","0.241747716814608","0.172060656627786","0.311434777001431","1"
"Big worries","1984","Berlin","Female","28","","","","1"
"Big worries","1984","Brandenburg","Male","","","","","1"
"Big worries","1984","Brandenburg","Female","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","Male","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","Female","","","","","1"
"Big worries","1984","Saxony","Male","","","","","1"
"Big worries","1984","Saxony","Female","","","","","1"
"Big worries","1984","Saxony-Anhalt","Male","","","","","1"
"Big worries","1984","Saxony-Anhalt","Female","","","","","1"
"Big worries","1984","Thuringia","Male","","","","","1"
"Big worries","1984","Thuringia","Female","","","","","1"
"No worries","1984","Rhineland-Palatinate,Saarland","Female","90","0.59487163823692","0.518324756584042","0.671418519889797","3"
"No worries","1984","Rhineland-Palatinate,Saarland","Male","111","0.434438070433593","0.375746351186201","0.493129789680986","3"
"No worries","1984","Schleswig-Holstein","Male","67","0.532559284793712","0.447119589186848","0.617998980400576","3"
"No worries","1984","Schleswig-Holstein","Female","40","0.47257134137848","0.367056289249779","0.578086393507182","3"
"No worries","1984","Hamburg","Male","51","0.569735736550465","0.472206491483727","0.667264981617202","3"
"No worries","1984","Hamburg","Female","41","0.611069662657527","0.496865918422029","0.725273406893025","3"
"No worries","1984","Lower Saxony","Male","180","0.456556558474794","0.407924792909494","0.505188324040093","3"
"No worries","1984","Lower Saxony","Female","123","0.546351215216475","0.482563654469749","0.6101387759632","3"
"No worries","1984","Bremen","Female","6","","","","3"
"No worries","1984","North Rhine-Westphalia","Male","511","0.483739347910898","0.454691893490665","0.512786802331132","3"
"No worries","1984","North Rhine-Westphalia","Female","307","0.561082855624073","0.521208435534914","0.600957275713232","3"
"No worries","1984","Hesse","Male","231","0.573598002200871","0.528255715213964","0.618940289187779","3"
"No worries","1984","Hesse","Female","149","0.578081852408457","0.519064364215941","0.637099340600973","3"
"No worries","1984","Bremen","Male","9","","","","3"
"No worries","1984","Baden-Württemberg","Male","434","0.537081624860808","0.504081114876812","0.570082134844804","3"
"No worries","1984","Baden-Württemberg","Female","268","0.577581890178413","0.534921725776071","0.620242054580755","3"
"No worries","1984","Bavaria","Male","323","0.504566940446178","0.467528647827437","0.541605233064919","3"
"No worries","1984","Bavaria","Female","251","0.555719987375448","0.511589369632539","0.599850605118357","3"
"No worries","1984","Berlin","Male","56","0.475549504773192","0.394263794171682","0.556835215374701","3"
"No worries","1984","Berlin","Female","45","0.470434241203483","0.376300434003961","0.564568048403005","3"
"No worries","1984","Brandenburg","Male","","","","","3"
"No worries","1984","Brandenburg","Female","","","","","3"
"No worries","1984","Mecklenburg-Western Pomerania","Male","","","","","3"
"No worries","1984","Mecklenburg-Western Pomerania","Female","","","","","3"
"No worries","1984","Saxony","Male","","","","","3"
"No worries","1984","Saxony","Female","","","","","3"
"No worries","1984","Saxony-Anhalt","Female","","","","","3"
"No worries","1984","Thuringia","Male","","","","","3"
"No worries","1984","Thuringia","Female","","","","","3"
"No worries","1984","Saxony-Anhalt","Male","","","","","3"
"Some worries","1984","Mecklenburg-Western Pomerania","Male","","","","","2"
"Some worries","1984","Brandenburg","Female","","","","","2"
"Some worries","1984","Saxony","Female","","","","","2"
"Some worries","1984","Saxony-Anhalt","Male","","","","","2"
"Some worries","1984","Bavaria","Male","246","0.332653632859575","0.297749981927802","0.367557283791349","2"
"Some worries","1984","Brandenburg","Male","","","","","2"
"Some worries","1984","Saxony-Anhalt","Female","","","","","2"
"Some worries","1984","Berlin","Female","35","0.34282876512133","0.253309993685114","0.432347536557546","2"
"Some worries","1984","Saxony","Male","","","","","2"
"Some worries","1984","Schleswig-Holstein","Male","37","0.276525854654439","0.199932371031581","0.353119338277296","2"
"Some worries","1984","Schleswig-Holstein","Female","32","0.36421116869018","0.262508595216995","0.465913742163366","2"
"Some worries","1984","Lower Saxony","Male","124","0.31896573686603","0.273461475847551","0.364469997884509","2"
"Some worries","1984","Hesse","Male","133","0.277785250360702","0.236719689476795","0.31885081124461","2"
"Some worries","1984","Hesse","Female","70","0.273276445594381","0.220021779068939","0.326531112119823","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","Female","44","0.279280183621929","0.209324526597016","0.349235840646841","2"
"Some worries","1984","Baden-Württemberg","Male","292","0.324830541420371","0.293836149761885","0.355824933078857","2"
"Some worries","1984","Mecklenburg-Western Pomerania","Female","","","","","2"
"Some worries","1984","Thuringia","Male","","","","","2"
"Some worries","1984","Hamburg","Female","14","","","","2"
"Some worries","1984","Baden-Württemberg","Female","168","0.309385131492448","0.269463143671728","0.349307119313168","2"
"Some worries","1984","Bavaria","Female","155","0.306041267489068","0.265111391485916","0.346971143492221","2"
"Some worries","1984","Berlin","Male","40","0.2827027784122","0.20940704369036","0.35599851313404","2"
"Some worries","1984","Thuringia","Female","","","","","2"
"Some worries","1984","Hamburg","Male","27","","","","2"
"Some worries","1984","Lower Saxony","Female","70","0.292471404307564","0.234186798165409","0.350756010449719","2"
"Some worries","1984","Bremen","Male","12","","","","2"
"Some worries","1984","Bremen","Female","5","","","","2"
"Some worries","1984","North Rhine-Westphalia","Male","359","0.302380566663569","0.275684081763459","0.329077051563678","2"
"Some worries","1984","North Rhine-Westphalia","Female","176","0.281134456380151","0.245012565161202","0.317256347599099","2"
"Some worries","1984","Rhineland-Palatinate,Saarland","Male","108","0.387951011251662","0.33025386327671","0.445648159226614","2"
"Big worries","1985","Schleswig-Holstein","Male","19","","","","1"
"Big worries","1985","Schleswig-Holstein","Female","8","","","","1"
"Big worries","1985","Hamburg","Male","21","","","","1"
"Big worries","1985","Hamburg","Female","9","","","","1"
"Big worries","1985","Lower Saxony","Male","61","0.16260440272804","0.123381464916839","0.201827340539242","1"
