"plh0042","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","lower secondary degree","1-pers.-HH","32","0.1596009113875","0.109096085738961","0.210105737036039"
"Big worries","1984","lower secondary degree","(Married) couple without C. ","110","0.164692014041293","0.135660217763559","0.193723810319027"
"Big worries","1984","lower secondary degree","Single parent ","36","0.181698099993283","0.124892201870743","0.238503998115823"
"Big worries","1984","lower secondary degree","Couple + C. LE 16 ","166","0.209671238975547","0.18174089168901","0.237601586262085"
"Big worries","1984","lower secondary degree","Couple + C. GT 16 ","128","0.217950544287447","0.185107013919534","0.250794074655361"
"Big worries","1984","lower secondary degree","Couple + C. LE and GT 16","115","0.195040247364196","0.161146651863062","0.22893384286533"
"Big worries","1984","secondary school degree","1-pers.-HH","11","","",""
"Big worries","1984","secondary school degree","(Married) couple without C. ","23","","",""
"Big worries","1984","secondary school degree","Single parent ","11","","",""
"Big worries","1984","secondary school degree","Couple + C. LE 16 ","23","","",""
"Big worries","1984","secondary school degree","Couple + C. GT 16 ","34","0.158817760971392","0.111886231034999","0.205749290907786"
"Big worries","1984","secondary school degree","Couple + C. LE and GT 16","21","","",""
"Big worries","1984","college entrance qualification","1-pers.-HH","14","","",""
"Big worries","1984","college entrance qualification","(Married) couple without C. ","8","","",""
"Big worries","1984","college entrance qualification","Single parent ","2","","",""
"Big worries","1984","college entrance qualification","Couple + C. LE 16 ","16","","",""
"Big worries","1984","college entrance qualification","Couple + C. GT 16 ","14","","",""
"Big worries","1984","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Big worries","1984","Other degree","1-pers.-HH","25","","",""
"Big worries","1984","Other degree","(Married) couple without C. ","43","0.242067169732294","0.174851721728366","0.309282617736222"
"Big worries","1984","Other degree","Single parent ","13","","",""
"Big worries","1984","Other degree","Couple + C. LE 16 ","141","0.326616105602911","0.282993985760168","0.370238225445654"
"Big worries","1984","Other degree","Couple + C. GT 16 ","26","","",""
"Big worries","1984","Other degree","Couple + C. LE and GT 16","54","0.375180679541183","0.298462227126867","0.451899131955498"
"Big worries","1984","no degree/no degree yet","1-pers.-HH","15","","",""
"Big worries","1984","no degree/no degree yet","(Married) couple without C. ","22","","",""
"Big worries","1984","no degree/no degree yet","Single parent ","8","","",""
"Big worries","1984","no degree/no degree yet","Couple + C. LE 16 ","66","0.348531955781056","0.284389139989386","0.412674771572725"
"Big worries","1984","no degree/no degree yet","Couple + C. GT 16 ","25","","",""
"Big worries","1984","no degree/no degree yet","Couple + C. LE and GT 16","47","0.360837408294779","0.276983314400849","0.444691502188709"
"Some worries","1984","lower secondary degree","1-pers.-HH","55","0.264466401555896","0.203644650801278","0.325288152310514"
