"plh0042","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","in school","","","",""
"Big worries","1984","16-34 y.","inadequately","41","0.279386618443626","0.206852324900176","0.351920911987076"
"Big worries","1984","16-34 y.","general elemantary","216","0.273903632276548","0.241707005374768","0.306100259178329"
"Big worries","1984","16-34 y.","middle vocational","258","0.161891980507144","0.142906280658282","0.180877680356006"
"Big worries","1984","16-34 y.","vocational + Abi","","","",""
"Big worries","1984","16-34 y.","higher vocational","","","",""
"Big worries","1984","16-34 y.","higher education","","","",""
"Big worries","1984","35-65 y.","in school","","","",""
"Big worries","1984","35-65 y.","inadequately","135","0.33577626632174","0.290930083397522","0.380622449245959"
"Big worries","1984","35-65 y.","general elemantary","200","0.209816860384223","0.181930604278214","0.237703116490233"
"Big worries","1984","35-65 y.","middle vocational","363","0.171372827527826","0.154715439570077","0.188030215485574"
"Big worries","1984","35-65 y.","vocational + Abi","","","",""
"Big worries","1984","35-65 y.","higher vocational","33","0.130071175891221","0.0888651717299427","0.171277180052499"
"Big worries","1984","35-65 y.","higher education","","","",""
"Big worries","1984","66 and older","in school","","","",""
"Big worries","1984","66 and older","inadequately","","","",""
"Big worries","1984","66 and older","general elemantary","","","",""
"Big worries","1984","66 and older","middle vocational","","","",""
"Big worries","1984","66 and older","vocational + Abi","","","",""
"Big worries","1984","66 and older","higher vocational","","","",""
"Big worries","1984","66 and older","higher education","","","",""
"Some worries","1984","16-34 y.","in school","","","",""
"Some worries","1984","16-34 y.","inadequately","60","0.443333334270649","0.363026551978155","0.523640116563144"
"Some worries","1984","16-34 y.","general elemantary","255","0.346600056189062","0.312242820995666","0.380957291382457"
"Some worries","1984","16-34 y.","middle vocational","481","0.334076573146323","0.309765781439911","0.358387364852735"
"Some worries","1984","16-34 y.","vocational + Abi","36","0.322529266544557","0.233119847033132","0.411938686055982"
"Some worries","1984","16-34 y.","higher vocational","53","0.329791102134196","0.255778307383561","0.40380389688483"
"Some worries","1984","16-34 y.","higher education","37","0.18966406652293","0.134211384708104","0.245116748337757"
"Some worries","1984","35-65 y.","in school","","","",""
"Some worries","1984","35-65 y.","inadequately","138","0.314913073591845","0.270805671701446","0.359020475482244"
"Some worries","1984","35-65 y.","general elemantary","262","0.29998903966082","0.268604825839591","0.331373253482049"
"Some worries","1984","35-65 y.","middle vocational","621","0.314997831755993","0.294464657655039","0.335531005856948"
"Some worries","1984","35-65 y.","vocational + Abi","","","",""
"Some worries","1984","35-65 y.","higher vocational","74","0.285340233029997","0.230023148731613","0.340657317328381"
"Some worries","1984","35-65 y.","higher education","86","0.219591977128966","0.177914868374277","0.261269085883655"
"Some worries","1984","66 and older","in school","","","",""
"Some worries","1984","66 and older","inadequately","","","",""
"Some worries","1984","66 and older","general elemantary","","","",""
"Some worries","1984","66 and older","middle vocational","","","",""
"Some worries","1984","66 and older","vocational + Abi","","","",""
"Some worries","1984","66 and older","higher vocational","","","",""
"Some worries","1984","66 and older","higher education","","","",""
"No worries","1984","16-34 y.","in school","","","",""
"No worries","1984","16-34 y.","inadequately","46","0.277280047285725","0.204914182602017","0.349645911969433"
"No worries","1984","16-34 y.","general elemantary","266","0.37949631153439","0.344462264362612","0.414530358706167"
"No worries","1984","16-34 y.","middle vocational","707","0.504031446346533","0.478261125145664","0.529801767547401"
"No worries","1984","16-34 y.","vocational + Abi","50","0.549449846448539","0.454282263199536","0.644617429697542"
"No worries","1984","16-34 y.","higher vocational","92","0.611576485087459","0.534847334901276","0.688305635273643"
"No worries","1984","16-34 y.","higher education","131","0.691577415972589","0.626250679348784","0.756904152596394"
"No worries","1984","35-65 y.","in school","","","",""
"No worries","1984","35-65 y.","inadequately","153","0.349310660086415","0.304037995412105","0.394583324760724"
"No worries","1984","35-65 y.","general elemantary","357","0.490194099954957","0.455957343879787","0.524430856030126"
"No worries","1984","35-65 y.","middle vocational","982","0.513629340716181","0.491535819896552","0.535722861535809"
"No worries","1984","35-65 y.","vocational + Abi","57","0.650368126871576","0.556906524175172","0.74382972956798"
"No worries","1984","35-65 y.","higher vocational","149","0.584588591078782","0.524222579041661","0.644954603115903"
"No worries","1984","35-65 y.","higher education","264","0.714495400561465","0.669024373972054","0.759966427150876"
"No worries","1984","66 and older","in school","","","",""
"No worries","1984","66 and older","inadequately","","","",""
"No worries","1984","66 and older","general elemantary","","","",""
"No worries","1984","66 and older","middle vocational","","","",""
"No worries","1984","66 and older","vocational + Abi","","","",""
"No worries","1984","66 and older","higher vocational","","","",""
"No worries","1984","66 and older","higher education","","","",""
"Big worries","1985","16-34 y.","in school","","","",""
"Big worries","1985","16-34 y.","inadequately","","","",""
"Big worries","1985","16-34 y.","general elemantary","139","0.204483380287859","0.17347742979801","0.235489330777708"
"Big worries","1985","16-34 y.","middle vocational","175","0.109964299081161","0.0930682651750262","0.126860332987297"
"Big worries","1985","16-34 y.","vocational + Abi","","","",""
"Big worries","1985","16-34 y.","higher vocational","","","",""
"Big worries","1985","16-34 y.","higher education","","","",""
"Big worries","1985","35-65 y.","in school","","","",""
"Big worries","1985","35-65 y.","inadequately","63","0.179006266081688","0.138786511559177","0.219226020604198"
"Big worries","1985","35-65 y.","general elemantary","147","0.136870054353076","0.112336824366774","0.161403284339379"
"Big worries","1985","35-65 y.","middle vocational","239","0.126386013370224","0.110831141798542","0.141940884941907"
"Big worries","1985","35-65 y.","vocational + Abi","","","",""
"Big worries","1985","35-65 y.","higher vocational","","","",""
"Big worries","1985","35-65 y.","higher education","","","",""
"Big worries","1985","66 and older","in school","","","",""
"Big worries","1985","66 and older","inadequately","","","",""
"Big worries","1985","66 and older","general elemantary","","","",""
"Big worries","1985","66 and older","middle vocational","","","",""
"Big worries","1985","66 and older","vocational + Abi","","","",""
"Big worries","1985","66 and older","higher vocational","","","",""
"Big worries","1985","66 and older","higher education","","","",""
"Some worries","1985","16-34 y.","in school","","","",""
"Some worries","1985","16-34 y.","inadequately","37","0.323960712796043","0.233140995508654","0.414780430083433"
"Some worries","1985","16-34 y.","general elemantary","236","0.357992929736309","0.321137749203998","0.39484811026862"
"Some worries","1985","16-34 y.","middle vocational","434","0.318691059236752","0.293525175408309","0.343856943065195"
"Some worries","1985","16-34 y.","vocational + Abi","34","0.31739583356436","0.223796799577957","0.410994867550762"
"Some worries","1985","16-34 y.","higher vocational","34","0.259771195860704","0.188149379274958","0.33139301244645"
"Some worries","1985","16-34 y.","higher education","33","0.183273480042775","0.126115101643093","0.240431858442457"
"Some worries","1985","35-65 y.","in school","","","",""
"Some worries","1985","35-65 y.","inadequately","132","0.385775748612447","0.334705694417112","0.436845802807782"
"Some worries","1985","35-65 y.","general elemantary","226","0.278327772713178","0.246338034479234","0.310317510947123"
"Some worries","1985","35-65 y.","middle vocational","540","0.301845862002296","0.280356406849964","0.323335317154628"
"Some worries","1985","35-65 y.","vocational + Abi","","","",""
"Some worries","1985","35-65 y.","higher vocational","71","0.282606635259236","0.226680053963493","0.338533216554979"
"Some worries","1985","35-65 y.","higher education","67","0.173653319113115","0.135002598469959","0.21230403975627"
"Some worries","1985","66 and older","in school","","","",""
"Some worries","1985","66 and older","inadequately","","","",""
"Some worries","1985","66 and older","general elemantary","","","",""
"Some worries","1985","66 and older","middle vocational","","","",""
"Some worries","1985","66 and older","vocational + Abi","","","",""
"Some worries","1985","66 and older","higher vocational","","","",""
"Some worries","1985","66 and older","higher education","","","",""
"No worries","1985","16-34 y.","in school","","","",""
"No worries","1985","16-34 y.","inadequately","44","0.41875900008074","0.323015741855468","0.514502258306013"
"No worries","1985","16-34 y.","general elemantary","275","0.437523689975832","0.399386884010433","0.475660495941232"
"No worries","1985","16-34 y.","middle vocational","708","0.571344641682087","0.544617137180866","0.598072146183307"
"No worries","1985","16-34 y.","vocational + Abi","49","0.627406530314861","0.530181424344246","0.724631636285476"
"No worries","1985","16-34 y.","higher vocational","105","0.698009542765481","0.623021134559726","0.772997950971235"
