"plh0042","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","lower secondary degree","West Germany","625","0.193618076596769","0.179782054842673","0.207454098350865"
"Big worries","1984","lower secondary degree","East Germany","","","",""
"Big worries","1984","secondary school degree","West Germany","131","0.114686314037315","0.0964591782474609","0.13291344982717"
"Big worries","1984","secondary school degree","East Germany","","","",""
"Big worries","1984","college entrance qualification","West Germany","64","0.0916630497993871","0.0707598297438103","0.112566269854964"
"Big worries","1984","college entrance qualification","East Germany","","","",""
"Big worries","1984","Other degree","West Germany","325","0.302696016128425","0.275090764968488","0.330301267288363"
"Big worries","1984","Other degree","East Germany","","","",""
"Big worries","1984","no degree/no degree yet","West Germany","196","0.318819491969595","0.282743140026709","0.354895843912482"
"Big worries","1984","no degree/no degree yet","East Germany","","","",""
"Some worries","1984","lower secondary degree","West Germany","1044","0.328064536541645","0.311624176734832","0.344504896348459"
"Some worries","1984","lower secondary degree","East Germany","","","",""
"Some worries","1984","secondary school degree","West Germany","353","0.300208203612322","0.273989588756436","0.326426818468208"
"Some worries","1984","secondary school degree","East Germany","","","",""
"Some worries","1984","college entrance qualification","West Germany","166","0.215495829969965","0.185710006312345","0.245281653627585"
"Some worries","1984","college entrance qualification","East Germany","","","",""
"Some worries","1984","Other degree","West Germany","350","0.340815785172847","0.312335749616666","0.369295820729028"
"Some worries","1984","Other degree","East Germany","","","",""
"Some worries","1984","no degree/no degree yet","West Germany","213","0.342975564299003","0.306226911132466","0.37972421746554"
"Some worries","1984","no degree/no degree yet","East Germany","","","",""
"No worries","1984","lower secondary degree","West Germany","1464","0.478317386861586","0.460825802106434","0.495808971616737"
"No worries","1984","lower secondary degree","East Germany","","","",""
"No worries","1984","secondary school degree","West Germany","690","0.585105482350363","0.556921654702263","0.613289309998463"
"No worries","1984","secondary school degree","East Germany","","","",""
"No worries","1984","college entrance qualification","West Germany","502","0.692841120230648","0.659422315275943","0.726259925185354"
"No worries","1984","college entrance qualification","East Germany","","","",""
"No worries","1984","Other degree","West Germany","389","0.356488198698728","0.327709038702094","0.385267358695361"
"No worries","1984","Other degree","East Germany","","","",""
"No worries","1984","no degree/no degree yet","West Germany","232","0.338204943731402","0.301580519040704","0.3748293684221"
"No worries","1984","no degree/no degree yet","East Germany","","","",""
"Big worries","1985","lower secondary degree","West Germany","412","0.135249857750677","0.122618632050966","0.147881083450388"
"Big worries","1985","lower secondary degree","East Germany","","","",""
"Big worries","1985","secondary school degree","West Germany","91","0.0827390444041946","0.0665834400604839","0.0988946487479052"
"Big worries","1985","secondary school degree","East Germany","","","",""
"Big worries","1985","college entrance qualification","West Germany","56","0.0697238429664984","0.0512108136568818","0.0882368722761149"
"Big worries","1985","college entrance qualification","East Germany","","","",""
"Big worries","1985","Other degree","West Germany","221","0.254958698137934","0.226389080865425","0.283528315410443"
"Big worries","1985","Other degree","East Germany","","","",""
"Big worries","1985","no degree/no degree yet","West Germany","92","0.203315043438902","0.168178350128408","0.238451736749395"
"Big worries","1985","no degree/no degree yet","East Germany","","","",""
"Some worries","1985","lower secondary degree","West Germany","897","0.313817065704654","0.296677887246785","0.330956244162523"
"Some worries","1985","lower secondary degree","East Germany","","","",""
"Some worries","1985","secondary school degree","West Germany","312","0.280218604520845","0.253881362418274","0.306555846623416"
"Some worries","1985","secondary school degree","East Germany","","","",""
"Some worries","1985","college entrance qualification","West Germany","141","0.193520759396401","0.164803614348049","0.222237904444753"
"Some worries","1985","college entrance qualification","East Germany","","","",""
"Some worries","1985","Other degree","West Germany","318","0.359837817294871","0.328376439278964","0.391299195310778"
"Some worries","1985","Other degree","East Germany","","","",""
"Some worries","1985","no degree/no degree yet","West Germany","193","0.376087052784891","0.333796923471103","0.418377182098679"
"Some worries","1985","no degree/no degree yet","East Germany","","","",""
"No worries","1985","lower secondary degree","West Germany","1507","0.550933076544669","0.532561910470141","0.569304242619198"
"No worries","1985","lower secondary degree","East Germany","","","",""
"No worries","1985","secondary school degree","West Germany","714","0.637042351074961","0.608843355863708","0.665241346286213"
"No worries","1985","secondary school degree","East Germany","","","",""
"No worries","1985","college entrance qualification","West Germany","530","0.736755397637101","0.704742699000143","0.768768096274058"
"No worries","1985","college entrance qualification","East Germany","","","",""
"No worries","1985","Other degree","West Germany","355","0.385203484567195","0.353303524908345","0.417103444226045"
"No worries","1985","Other degree","East Germany","","","",""
"No worries","1985","no degree/no degree yet","West Germany","219","0.420597903776207","0.377499974336575","0.46369583321584"
"No worries","1985","no degree/no degree yet","East Germany","","","",""
"Big worries","1986","lower secondary degree","West Germany","373","0.133393213319238","0.120433503548448","0.146352923090027"
"Big worries","1986","lower secondary degree","East Germany","","","",""
"Big worries","1986","secondary school degree","West Germany","100","0.089502391691683","0.0724692760987644","0.106535507284602"
"Big worries","1986","secondary school degree","East Germany","","","",""
"Big worries","1986","college entrance qualification","West Germany","59","0.0791117012746228","0.0597688215476362","0.0984545810016094"
"Big worries","1986","college entrance qualification","East Germany","","","",""
"Big worries","1986","Other degree","West Germany","195","0.226009715407213","0.197909178374466","0.254110252439961"
"Big worries","1986","Other degree","East Germany","","","",""
"Big worries","1986","no degree/no degree yet","West Germany","104","0.252017427057081","0.212972707066883","0.29106214704728"
"Big worries","1986","no degree/no degree yet","East Germany","","","",""
"Some worries","1986","lower secondary degree","West Germany","824","0.309136319539733","0.29152107962216","0.326751559457306"
"Some worries","1986","lower secondary degree","East Germany","","","",""
"Some worries","1986","secondary school degree","West Germany","269","0.243590433500243","0.217978286295637","0.269202580704849"
"Some worries","1986","secondary school degree","East Germany","","","",""
"Some worries","1986","college entrance qualification","West Germany","180","0.238351352865003","0.207817371216233","0.268885334513772"
"Some worries","1986","college entrance qualification","East Germany","","","",""
"Some worries","1986","Other degree","West Germany","294","0.357856771266656","0.32564950347631","0.390064039057003"
"Some worries","1986","Other degree","East Germany","","","",""
"Some worries","1986","no degree/no degree yet","West Germany","182","0.378836160981059","0.335211699149404","0.422460622812715"
"Some worries","1986","no degree/no degree yet","East Germany","","","",""
"No worries","1986","lower secondary degree","West Germany","1447","0.55747046714103","0.538538339331078","0.576402594950981"
"No worries","1986","lower secondary degree","East Germany","","","",""
"No worries","1986","secondary school degree","West Germany","710","0.666907174808074","0.638784753993289","0.695029595622859"
"No worries","1986","secondary school degree","East Germany","","","",""
"No worries","1986","college entrance qualification","West Germany","509","0.682536945860375","0.649178410864427","0.715895480856323"
"No worries","1986","college entrance qualification","East Germany","","","",""
"No worries","1986","Other degree","West Germany","362","0.41613351332613","0.383016098236003","0.449250928416257"
"No worries","1986","Other degree","East Germany","","","",""
"No worries","1986","no degree/no degree yet","West Germany","189","0.369146411961859","0.325748893087567","0.412543930836151"
"No worries","1986","no degree/no degree yet","East Germany","","","",""
"Big worries","1987","lower secondary degree","West Germany","333","0.113195302848215","0.101246786167987","0.125143819528442"
"Big worries","1987","lower secondary degree","East Germany","","","",""
"Big worries","1987","secondary school degree","West Germany","95","0.0765166814078616","0.0610040264878702","0.0920293363278529"
"Big worries","1987","secondary school degree","East Germany","","","",""
"Big worries","1987","college entrance qualification","West Germany","42","0.0522941099135618","0.0362760720479619","0.0683121477791617"
"Big worries","1987","college entrance qualification","East Germany","","","",""
"Big worries","1987","Other degree","West Germany","151","0.188251088245411","0.161560134637159","0.214942041853663"
"Big worries","1987","Other degree","East Germany","","","",""
"Big worries","1987","no degree/no degree yet","West Germany","76","0.183598478576535","0.148295321507662","0.218901635645408"
"Big worries","1987","no degree/no degree yet","East Germany","","","",""
"Some worries","1987","lower secondary degree","West Germany","934","0.343489339823069","0.325580670321596","0.361398009324543"
